,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601688.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.276691598513068,0,0.231427481091508,0.0374962759260958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377093246408509,0.00683042547701382,0,0,0.0250797473687218,0,0,0,0,0,0,0,0.0116395222486404,0.225214887772613,0,0,0,0,0,0,-0.0501962228443013,0,0,-0.00898589443887432,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0271591314780468,0,0,0,0,6.93889390390723e-18,0,0,0,0.218872126584091,0,0,0,0,0,0,0,0,0,0,0.0957978882218011,0,0.108904456115794,0,0,0,0,0,0,0,0,0,0,0,0,0.203192197355888,0,0,0.273571384177039,0,0
X601939.CH.EQUITY,0,0.0756095585127718,0,0.781948867398563,0,0,0,0,0,0.0384807524480846,0.0585361278283922,0,-0.0433247421040348,0.00710587315110772,0.0733621055754981,0,0,0,0,0.00279865020780125,0,0,0,0.0427047934390134,0,0,0,0,0,0.0770763775653958,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.20901390703811,0,0.803226892205609,0,0,0,0,-0.0471176982906468,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.000686316024734956,0,0,0,0,0,0,0,-0.0120349340514284,0,0,0,0,0,0.101696983167808,0,-4.33680868994202e-19,0,0,-0.0839771836641874,-0.162927486299466,0,0,0.049704311193395
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0314901452239528,0.224256957924936,0,2.77555756156289e-17,0,0,0,0,0,0.226414502827677,0,0,0,0,0,-0.00884391017969416,0,0,0,0,0.435849796326276,0,0,0,0,0,0,0,0,0.0174803314007579,0,0,0,0,0,0,0,0,0.148950284465579,0,0,0
X600036.CH.EQUITY,0.134468756845385,0,0.222726618280568,0.115391465770732,0,0,0,0,0.0372159296837005,0,0,0,0,0,0.0827648755504007,0,0.0288864125938125,0.0145041112849675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181940156461295,0,0,0,0.0515972714382362,0,0,0,0,0,0,0,0.014034743725561,0.184213459664636,0,-0.00486602194682586,0,0,0
X601988.CH.EQUITY,-1.73472347597681e-18,0,0,0.0652120444261793,0,0,0,0,0,-0.0428154974367325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00742788063627792,0,0,0,0,0,0,0,0,-0.102882400108049,0,0.988476596948099,0,0.0740236084575802,0,-0.0305443995738044,0,0,0,0,-0.0127810925823305,-0.0311382066174912,0
X1299.HK.EQUITY,0,0,-0.234672208505383,0,0,0,0,0,0,0.390417888067302,0,0,0.0958649780565384,0,0,0,0,0,0,0.0465147889532905,0,0,0.0815709227010719,0.526715750061663,0,0,0,0,0,0,0,0.0092380205694566,0,0,0,-0.0414163489799129,0,0.0373510156067635,-0.023739503517149,0,0,0,0.157534602371941,0,0,-0.118563436855502,0,0,0.254311138751065,0
X5.HK.EQUITY,0,0.368239479268239,0,0,0.0671605402738039,0,0,0,0,0,0,0,0,-0.279197728780523,0,0,0,-0.415989095001592,0,0,0,0,0,0.119373826985477,0.399038816533812,0,0,0,0,0,0,0.316621624116791,0,0,0.074590553394207,0.395549138751249,0,0,0,0.309917729068614,0,0,0,0,-0.182569850216559,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.472607815437096,0,0,0.0964010850633308,0.190747695554895,0,0,0,0,0,0,0,-0.21203983446983,0,0,0,0,0.159594108851698,0,0,0,0,0,0,0,0,0,0.272746641258328,0,-0.167960150825499,0,0,0,0,0,-0.203269926923028,0,0,0.0374964910464297,0,-0.0784248479182562,0,0,0,0.203991846000188,0
