,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601077.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.18531430994219,0,0,0.0114316824593957,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.069974110918523,0,0,0,0,0,0,0.196295277744498,0,0.509429867340904,0.22359791459357,0,0,0,0,0,0.00204874493131322,0,0,0,0,0,0,0.0240642860548256
X601169.CH.EQUITY,-0.0458601694109926,0,0,0,-1.73472347597681e-18,0.237398881409057,0,0,-0.0713347345870828,0,0.143919055151367,0.205870694037111,0,0,0,0,0,0,0,0,0,0,0.0489439748294185,0,-0.0402337989539761,0.0129756841980369,0,0,0,0,0,0,0.571771087520104,0,0,0,0,0,0,0,0.19355716981574,0,0,0,0,0,0.0132301378227151,0
X2882.TT.EQUITY,-0.237721788523742,0,0,-0.00935086355983117,0,0,0,0,0,0,0,0,0.0693768545315157,0,0,0,0,0.212335906405482,0,0,0,0,0,0,0,0,0.000582396533940994,0,0.104830376818649,0,0,0,0,0,0.372105603725115,0,0.0672765291099306,0,0.00180835367898987,0,0,0,0,0,0,0.054454193530426,0,0.0305962799550505
X600015.CH.EQUITY,0,0,0,0,0.233624863725425,0,0,0,0,0,0,0,0,0,0,0,0,0.0389314098185873,0,0.0268091611820368,0,0,0.343742946465676,0,0,0,0,0,0.0431667200492897,0.153146984714976,0.229811547635897,0,0,0,0.0161336721127444,0.012459413491581,0,0,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340537237224481,0,0,0,0,0,0,0,0,0,0,0,0,0.0537287206090851,0,0,0,0,0,0,0.0925382503610591,0.268251456962957,0,0.279150654798791,-0.0144499862669578,0,0,0,0,0,0,0.275309360631629
X2881.TT.EQUITY,0,0,0,0,0,-0.0395137741645357,0,0,0,0,0,0,0,-0.136747617055585,0,0.283901020211685,0,0,0,0,0,0,0.13756857859276,0,0,0,0,0,-0.156750708760399,0.131095690390013,0,0.625097120136263,0.0190186929104446,0,0,0,-0.127098047069036,0,0,0,0,0,0,0.0824708547744341,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0.126892961638463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148066785733527,0,0,0.233068226961651,0.101484083185025,0,0,0.0567239480026311,0,0,0,0,0,0,0,0,0,0.217389755949813,0.0711443652726259,-0.0487994906156329,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.118926279527897,0,0.0833014532395221,0,0,0.259681620999383,0,0,0,0,0.0198179901444967,0,0,0,-0.110088203851914,0,0,0.495707562004288,0.0472516833045263,0.113730597409046,0,0,0,0.0861623300018287,0,0,0,0,0,0.0334246151518018,0,0,0,-0.0657828201102121,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.245080311626568,0,0.0656435148495541,0,0,0,0,0,0,0.13431713571932,0.100987939381666,0,0,0,0.0638818782602329,0,0.0665156130450411,0,0,0,-0.204064778060748,0,-0.0429578952376646,0,0.175709874087974,0,0,0.261891442647176,0,0,0,0,0,0.0817878418986413,0,-0.119298166702489,0.0353760110541262,0,0.0190121232169003
X2891.TT.EQUITY,0,0,0.027270774169871,0,0,0,0,0,0,0,0,0,0,0.0777803731652861,0,0,0.0729595643317226,0,0,0,0,0,0,0.0304705575945643,-0.0371143974848568,0,0,0,0.22712086021214,0,0.133168828618019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224924770880547,0.12536729425491,0.384311394958825,0
X000776.CH.EQUITY,0,0.0338299154878311,0,0,0,0.0385940103129336,0,0,0,0,0,0,0.10138633468504,0,0,0,0.0254671254474997,0,0,0.00202041767792648,0,2.16840434497101e-19,0,0,0,0.391912275619856,0,0.0285386944676793,0,0,0,0,0,0.153744323843373,0,0.151742652976729,0,0,0,0,0,0,0,0,0,0,0,0
X2886.TT.EQUITY,-0.102820011839171,-0.0130743764220277,0,0,0,0,0,0,0.0810415766779063,0.0164825277912143,0,0,0,-0.14837923548039,0,0,0,0,0.128924667271992,0,0,0,-0.12462531542519,0,0,0,0,0,0,0,0,0.0247581959606223,0,0,0,-0.0545059105612789,0,0,-0.0518975573626399,0,0,0,0,0,0,0,0.834499773886143,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0.0999072766933135,0,0,0,0,0,0,0,0,0,0.0653531815798521,0,0,0.464101924325671,0,0,0.145787783749614,0.0401250119278092,0.0221267224348386,0.146424750098661,-0.044206127745357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00860133438643449,0,-0.00920875217487134,0
X600919.CH.EQUITY,0.0236398967805258,0,0,0,0,0.398180024591101,0,0,0,0,0,0.149580411860096,0,-0.083133382368869,0,-0.0922508047663628,-0.08524515348477,0.213166571850718,0,0.031689904267268,0,0,0.0524281040382623,0,0,-0.0219038073537436,0,0,0.0673057604601973,-0.137922630641334,0.238167854741835,0,0,0,0,0,0,0.0704587112897155,0,0,0,0,0,-0.0282700985635183,0,0,0,0
X601077.CH.Equity,0,0,0,0,0,0,0,0,-0.383327303740613,0,0,0,0,0.141660865635877,0,0,0,0,0.17426242523079,0,0,0,-0.192257430496357,0,0,0,0,0,0,0,0,0.274520783807515,0,0,0,0,0.159814967381804,0.0277799562272885,0,0,0,0,-0.0923697945327455,0,0,-0.210433096311309,0,0
X601009.CH.EQUITY,0.278755153456589,0,0,0,0,0,0,0,0,0.393038701262522,0,0,0,0.344985995561692,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.241417282836001,0,0,0,0.027842686789013,0,0.0605919032852184,0,0,-0.086909578804606,0,-0.0628328923569502,0,-0.0523754351812479
X2884.TT.EQUITY,0,0.134778733938044,0,0,-0.0325084064374031,0,0,0,0,0,0,0.0301857414134298,-0.011984208261303,0,-0.0336128503228374,-0.0514032828912586,0,0,0,0,0,0,0,0.214293374586772,0,0.0776580348092598,0,0,0,-0.174599105639958,0,0,0,0,0,0,0.149082993168281,0.131648096984496,0,0.147649066913889,0.14242231176021,0,0,0,-0.0895975173817726,0,0,0
X2892.TT.EQUITY,0,0,0,-0.118604266632778,0,-0.030994160519036,0,0,0,0,0,0,0.389687393360039,0,0,0.0884888918068878,0,0,0.0804429436158612,0,0.214045162697715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54012475496366,-0.220851937452587,0,0,0,0.196053510068147,0,0
X600958.CH.EQUITY,0,0,0,0,0,0,0,0,0.0357855451359351,0,0,0,0,0.0704804223017441,0,0,0,0,0.079043989642996,0,0,0,0,0.0744491789294278,0.134985427798933,0.0405694161980522,0.304749340805472,0.161014861022636,0,0,0,0,0,0.242268759044488,-0.0289290104723103,0,0,0,0,0,0,0.0410519673208588,0,0,0,0,-0.0968032408186234,0
