,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X600926.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X600919.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.273609264640805,0,0.0831427574838868,0,0,0.41095230954901,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.058302505841192,0,0,0,0.121545061119262,0,0,0,0.0947345525110159,0,0.0489939589172933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119452775649654,0,0,0.00448320408170927,0,0,0.0491600641235568,0
X601318.CH.EQUITY,0,0,0.0218788930569822,0,0,0,0,0,0.282468277675632,0,0,0,0.0335235725811518,0,0.0579041420989613,0,0,0,0,0.041387587330111,0,0,0,0,0,0.238655715835657,0.180825358616566,0,0,0,0,0,0,0,0,-0.0630722696583954,0,0,0.0274533408947088,0,0,0,0,0,0.0696923587655931,0,0,0.213768609852845,0,0
X601939.CH.EQUITY,0.364992113849103,0.0173714150743151,0,0,0,0,0,0.255081620697834,0.224127092209375,0,0,0,0,0,0,0,0.0926071489033617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00811481303270508,0,0,0,0,0,0.370784549503652,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.206291656019011,0,0,0,-0.159480282652605,0,0,0,0,0,0,0,0.00794042097589465,0,0,0,0,0.110041118830283,0,0,0.139604369723504,0.108891882117869,0,0,0,0,0.0550343151992028,0,0,0,0,0,0,0,0.372866602675376,0,0,0.116805556894955,0,0.0361555384355659,0,0,0,0.0446488336616064,0
X601288.CH.EQUITY,0,0,0.207128921574843,0,0,0,0.0398230499640284,0.383543615541022,0,0,0,0.0797420892879682,-0.0339295412934864,0,0,0,0,0.0319326766618121,0,0,0.129067025919447,0,0.0567077277810502,0,0,0.103776715929922,0,0,0,0,0,0,0,0,0,0,0,0.0243954009304141,0,0,0,0,0,0,0,0.0483475417837004,0,0,-0.0231248275483571,0
X1299.HK.EQUITY,0,0,-0.027467344123849,0.123454662895689,0,0,0,0,0,0.206162489596252,-0.077621116385725,0,-0.0751159560300157,0,0,0,0,0,0,0,0.295289652824175,0,0,0.0889231363819224,0,-0.247824413489763,0,0,0,0,0,0.0993654688339459,0,0.0467226702682432,0,0,0,0,0,0,0,0,-0.0487714859705076,0.308880592140543,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,-0.0354072249804363,0,0,0,0,0,0.0313998538656897,0,0,-4.33680868994202e-19,0,0,0.129996288470714,0,0,0.0235771377581515,0,0,-0.105889912843728,0,0,0,0,0,0,0,0,-0.0483885689899835,0.475854965710318,0,0.0154629389758835,0,0,0,0,0,0,0,0,0,0,0,0.0553606881389278,0,0,0,0
X601988.CH.EQUITY,0.109382447083124,0,0,0,0.394499135117179,0,0,0,-0.0479780312211867,0,0,0,0,0,0,0,0.217772081515295,0.113961658518195,0.0789341725265301,0,0,0,0,0.137760069463067,0,0,0,0,0,0,0,0,0,0,0,-0.0510394266186359,0,0,0.0236476833299074,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.310536750776189,0.168926305943988,0,0,0,0,0,0,-0.0739472533544544,0,0,0,0,0,-0.0255171921935967,0,0,0,0,0.406297895861183,0,0,0,0.11900034327082,0,0,0,0,0,0,-0.14482246546712,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.120693245066334,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-3.46944695195361e-18,0,0.087431079792401,0,0,0,-0.128312858478719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109015003170896,-0.215346400372322,0,0,0,0.222208631248605,0,0,0,0,0.405533465800838,0,0,0,0.000827447126843905,0,0,0,-0.312175041894085,-0.00559789789338421,0,0,0.177410221552847,0
