,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X601696.CH.Equity,X2891.TT.EQUITY,X601236.CH.EQUITY,X601916.CH.Equity,X600958.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,1.73472347597681e-18,0.217019821653874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075152118049164,-0.139251526552021,0,0,0,0,0,0.299847058646212,-0.116173424484079,0,0,0,0,0,0,0,-0.091235384395687,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0541231659694426,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.170044239367137,0,0,0.0550138921823279,0,0,0,0,0,0,0,0,0.264018205600593,0,0,0,0,0,0.154050772234503,0,0,0,0,0,0,0,0.230697530138065,0,0,0,0,0.0610632712730685,0,0,0,0,0,0,0.0498434194318902,0,0,0,0.0454431563354847,0
X601939.CH.EQUITY,0,0,0,0.791716460700641,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307326804055889,0,0.0566310503187642,0,0,0,0,0.0457881407686572,0,0,0.0279178523720577,0,0,0,0,0,0,0,0,0,0,0,0,0.0319776423390912,-0.0126131393823365,0.0986784867577141,0,0,-0.0948522316020209,0,0.0964454168082357,0,0
X601288.CH.EQUITY,0.0645532206085269,0,0.821418185239735,0,-0.0833172947598155,0,0,0,0,0,0,0,0,0,0,0,0.0821572196024541,0,0,0,0,0,0,0.0757722700633157,0,0,0,-0.0101993262758449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391852565736233,0,-0.0328894140665578,0,0,0.12038335872985,0,0
X601628.CH.EQUITY,0,0.273767783929988,-6.7762635780344e-21,0,0,0,0.263779097617626,0.0362223657484468,0,-0.126439239732694,0,0,0,0,0,0,0,0,0,0.0668920999634036,0,0,0.012938480923219,0.058087451467571,0,0,0,0,0,0,0.118098799672781,0,0.0379522262378032,0,0,0,0.147837683620126,0,0,0,0,0,0,0,0.0101317363381128,0,0,0,0,-0.050666438847559
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.149831975408643,0.912229214781265,0,0,0,0,-0.20034768863928,0,0.0962414956575024,0,-0.0139376486115679,0,-0.0621655124249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135796414722806,0.0305925906266577,0,0,0,0.0893991747342393,0,0.143616775397488,0,-0.328520982865496,0
X600036.CH.EQUITY,0,0,0.260578390775498,0.17074668081082,0,0,0,0.0782484036579843,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0474491972054849,0,0.143310899712543,0,0,0,0.273537777347778,0,0,-0.0368724666644133,0,0.0152740993923076,0,0,0.0389904294573544,0,0,0,0,0,0,0.0919537485455277,0,0,0,0,-0.0131685691673331,0,0
X1299.HK.EQUITY,0,0.0286495978187758,0,0,0.0491922588767299,0,0,0,-8.67361737988404e-19,0.267478061219265,-0.00131217189086876,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.161877582058395,0.241235979823064,0,0,0,0,0,0,0,0,0,0,0,-0.00849991101940118,0,0,0,0,0,0.263052666257133,0.188666001616593,0,0.392590021225369,0,0,-0.0564543106707866,0,-0.114930432948237
X5.HK.EQUITY,0,0,0,0,-0.034406696664643,0,-6.93889390390723e-18,0,0,0.0565293602991782,0,0,0,0,0,0,0,0,0,0,0,0,0.621610965933526,0.0529454430016685,0.0659379341123079,0.176841629443292,0,0,0,0,-0.0904834839633882,0,0,0,4.33680868994202e-19,0.120279718950519,0,0,0,0,0,0,0,0,0,0.137917024771372,0,-0.207788286661278,0,0
X388.HK.EQUITY,0,0.170053813896124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969880112311872,0,0,0,0,0,0,0,0.29758853855571,0,0.0633715090672955,0,0,0,0.246648960782887,0,0,0,0,0,-0.242007759032713,0,0,0,0,0,0,0.00353946784986337,0,-0.0389921793905811,0,-0.196831812923392,0.0678267057828067,0,0.0268923721662732
X601658.CH.Equity,0,0,0,0.219275853628617,0,0,0,0,0,0,0,0,0,0,0,0,0.0863610176469688,0.12162857654511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213707019029606,0,0,0,0,0,0,0,0,0,-0.014607931481923,0,0,0,0,0,0,0
