,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X601236.CH.EQUITY,X601009.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X2892.TT.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0.468295216029098,0.087880484273179,0,0,0.111718762522308,0,0,0.0770474187436884,-0.0864586234099559,0.0544172654097788,0,0,-0.0562725562221419,0,0,0.0819804604790934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628471070351719,0.0257640156436205,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.215872392074497,0,0,0.241799139291236,0,0,0,0,0,0,0.124381122688147,0,0,-1.73472347597681e-18,0,0,-0.15862741821718,0.0438592017243254,0,0,0,-0.071081690946796,0.273389921012158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255042568199905,-0.0265969479964788,0.0682024268822828,0,0,0,-0.112626880276402,0,0,0,0,0,0
X601318.CH.EQUITY,0.0218153184780306,0,0,0,0.268611969436837,0.191003817704618,0,0,0,0,0,0,0,0,0,0,0.214900060529683,0,0,0,0,0,0,0.100325279287925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986823961096321,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.297124147707627,0.0953128555209941,0,0,0.17436862444773,0,0,0,0,0,0,0,0,0.189428680377726,0,0,0,0.0452868686041341,0,0,0,0,0,0,0,0,0.121959428186931,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.380203970136226,0,0,0,0,0,0.509083581243382,0,0,0,0,0.0863107859746267,0,0,0,0,0,0,0.0108083100715263,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166043907117857,-1.38777878078145e-17,0,0.1282325626486,0,0.113651480468635
X600036.CH.EQUITY,0,0.0713722584371862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714257558009811,0.292304346899076,0.0318199757437435,0,0,0.0464461812654048,0,0,0,0,0.255368872846089,0,0,0,0,0.0788984990392396,0,0,0,0,0,0,0.024982894029728,0,0,0,0,0,0,0,0,0.0508807235022078,0,0.14611785698626,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.172876825348823,0,0,0.267658266621049,0,0,3.46944695195361e-18,0,0.168508727009847,0,0,0,0.43284579886877,0,0,0,0,0,0,0,0,0,-0.0304427676755749,0,0,0,0.0602908991412534,0,0,0,0.0365180688662069,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316120404955817,0.641440548954857,0,0.130458663406801,0.650674118350098,0,0,0,-0.178501597879753,0,0,-0.166725542038008,0,-0.124985291769097,0,-0.0324018320777299,0,0,0.177236265385301,0,0,0,0.205739807875179,-0.188245926541134,0,0.0818665556385519,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.110946447541223,0,0,0,0,0,-0.152458781037495,0,0,0,0,0.26023287937346,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0143239226672831,0,0,0,0,0.276595540434614,0,0,0,0,0,0,0.154860176337647,0,0,0,0,0,0.0580464761290044,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0689878383358536,0,0,0,0,0,0,0,0,0,0.113188089479815,0,0,0,0,0.335698304016391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337681328687769,0,0,0,0,0,0.0511768103895252,0,0,0.253198633472738,0,0,0,0
