,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,-0.154115352046585,0,-0.3483096115478,0,0,0,0,0,-0.00903660335247035,0,0,0.487380969048002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766938526518011,0,0.0207327914111507,0,0,0,0,-0.125934278399505,0,0,0,0,0,0,-0.129001376573232,-0.155119773747341,0,0.0201641869286204,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0125296461441768,0,3.46944695195361e-18,0.0236074612863246,0,0,0,0.128500650815052,-0.0246035498039926,0,0,0,0,0,0,0.129366795322339,0,0,0,0,0,0.41996721942875,0,0,0,0.0836282862210278,0,0,0,0,0,0,0,0.0318787206473255,0,0,0.044701910026231,0.0574495757508836,0.0694462274762301,0,0,0
X601939.CH.EQUITY,0.258088357692368,0,0,0,0,0,0,0.108439410281034,0,0,0,0,0,-0.0952379930554257,0,0.0386992097041474,0,0,0,0,0,0,0,0,-0.134908647114179,0,0,0,0.491350609046613,0.0446026021239249,0,0,0,0,0,0,-0.195606068221321,0,0,0,0,0,0,0.252142562355066,0,0.158123371522131,-0.13923530357505,-0.00900474505373868
X601288.CH.EQUITY,0,0,0,0,0,0.083717044818779,0,-0.158032343045445,0.23979315395245,0,0.6500974646368,0,0,0,-0.273009687272801,0,0,0,0,0,0,0,0,-0.768531139956838,0,0,0,0,0,0,0.325407933321444,0,0,0,0,0,0.0277962645489705,0,0,0,0,0,0,0,0,0,0,-0.236357951505047
X5.HK.EQUITY,0,-0.0747866303393897,0,0,0,-0.0541731538800265,0,0,0,0,0,0,0,0,0,0,0.0173432220865529,0,0,0,0.211018065723331,0,0,0,0,0,0,0,0,0,0,0.277776170388368,0.352516458367069,0,0,0,0,-0.0769972029166706,0,0.0538718428594017,0.150770141646943,0,0,0,0,0,0.111849762831617,0.173092347912231
X601988.CH.EQUITY,0.0338861585539543,0,0.084006814555293,0.104936232085959,0,0,0,0,0,0,0.213620410232549,8.67361737988404e-19,0,0,0.152757836010123,-3.46944695195361e-18,0,0,0,0.0364775407283328,0,0,8.67361737988404e-19,0,0,0,-0.012113086138253,0,0.143524669497533,0,0,0,0.330045125419234,0.0345387983253253,0,0,0,0,0,0.0405816736104617,0,0,0,0,0,0,0,0.0939202682413217
X600036.CH.EQUITY,0,0.0674295290134048,0,0,-0.13919416132498,0,0,0,0,0.0870506555639149,0.0113980853501386,0.498099996359589,0,0,0,0.257024992936088,0,0,0,0,0,0,0.153239906144615,0,0,0,0,0.0568041489376035,0.0110111057210111,0,0,0,0,-0.202385312967039,-0.00111489894391005,0,0,0,0,0,0,-0.0780713604577317,0.269572616797878,0,0.0587704795572532,0,0.246671495344954,0
X1299.HK.EQUITY,0,0.0937919793117234,0,0,0.459826043728776,0,0,0,0.151961795655394,0,-0.060696447157538,-0.00145157595889144,0,0,0.111272790898424,0,0.0873220622391317,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530248284897384,0,0,0,0,0.0347402333652848,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0274277062037009,0,0,0,0
X601628.CH.EQUITY,0,0.0296591461220171,0.0166457995171874,0.060803256066171,0,0,0,0,0,0,0.0052556039980973,0,0,0.392945657546579,0,0,0,0,0,0,0,0.107925835560121,0,0,0,0.18281631227675,0,0.064213549101022,0,0,0,0,0,0,0.0421717847311193,0,0,0,0.0124489890542916,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0817391138834845,0,0,0,0,0.565448284432505,0,0,0,0,0,0,0,0,0,0,0,0.302811986908788,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.225352187874638,-0.0204562070299175,0,0,0.019065869090493,0,0,0
