,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.385685937528061,0,0,0,0,0,0.0907708924727484,0,0.0269087092450542,0,0.041149903239991,0,0,0.0142749261359782,0.0187802854402885,0,0,0.017825582412574,0,0,0,0,0,0,0.0130264844086816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241332160052866,0,0,0,0,0,0
X601939.CH.EQUITY,0.43841788268741,0,0,0,0,0,0,0,0,0,0.174885931815311,0,0,0,0,0,0,0,0.0784152924066937,0.128810257981225,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.038464836633857,0,0,0,0,0,0,0,0,0,0,-0.0547663221543781,0,0.17673421429205,0,0,0,0,-0.0800496864717273,0,0.0791118096169217
X601288.CH.EQUITY,0.538021249810426,0,0,0.467074566108068,0.13047096389507,-0.0106906834991487,0.0498124149201217,-0.233868944094148,0,0,0,0,0,0,0,0,0,0,0.180639371467909,0,0,0,0.0677215817071884,0.220423160504765,0.092000286254078,0,0,0,0,0,0,-0.0771083130290497,0,0,0,0,0,0,0,0,-0.0782958606420359,-0.0682624173800887,0,0,0,0,0.158143191700595,-0.0816638844184486,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00872125598669411,0,0,0,0,0,0,0,0,0,0.146717036882515,0,0,0,0,0,0,0,0,0.0355775901894611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,-0.138680192180445,0,0,0.077785745063159,0,0,-0.280093339334208,0,0,0,0.160889918697372,0,0,1.73472347597681e-18,0.118278074728158,0,0,0.205121184850269,0.168933570734523,0,0,0,0,0,0,0,0,0.0993608947100905,0,0,0,0,0,0.0290066519948336,0,0,0,0,0,0,0,0.0123833716982316,0,0,0,0,0,0
X601658.CH.Equity,0.00565818660633894,0.102951264153892,0,0,0.0433900270028362,0,0,0,0,0.0448862281411095,0,0,0,0,0,0,0,0,0,0,0,0.134133371125113,0,0.0164571189777878,0,0,0,0.418302650727567,0,0,0.0310420496560037,0,0.0888005555461178,0,0,0.0585071655076276,0,-0.0631874162295174,0,0,0,0,0,0.0307441893562442,0,0,0,0,0,0.111750246461185
X601328.CH.EQUITY,0,0,0.101927813117582,0,0,0,0,0,0,0,0,0.213557366357694,0,0,0,0.0984591136549309,0,0,0,-0.0217642826078686,0,0.216240410562783,0,0,0,0,-0.0754705003469764,0.0598371977540972,0,0,0,0,-0.0229549220976134,0,0,0,0,0,0,0,-0.00148511650710082,0,0,0,0,1.73472347597681e-18,0,0.0509582429060833,0,0
X601318.CH.EQUITY,0.169767292768127,0,0,0,0,0.0463028252886594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340985609810774,0,0,0,0,0.0439237238831867,0,0,-0.202075450458637,0,0,0,0,0,0.564248929061982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251424325850881
X600036.CH.EQUITY,0,0.0661814939545692,0,0,0,0,-0.00414793509014923,0,0,0,0.121223041733542,0,-0.134558583944668,0,0,0.184143450093155,0.257170140128742,0.0613546816849718,0,0,0,0,0,0,0,0,0.031733580663756,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0735608728457932,0,0,0.0935865386031825,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.0429868892110057,0,0.396105001285047,0,0.151966313059661,0.196229094299253,0,0,0,0,0.122305330476049,0,0.113546515497683,0,0,0.255382274708783,0,0,0,0,0,0,-0.0656196016126379,0.0553795515313681,0,0,0,0,0,0.0691299386331362,0,0,0,0,0,0,8.67361737988404e-19,0,-0.0952235228375618,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.0945263754325812,0,0,0,-0.170655899436916,0,0.261508280011683,0,0,0,0,0.0776017336520762,0.0122470485695421,0,0,0,0,0,0,0.138634713686703,0,-0.0154592388677763,0,0.111961843811274,0,0.160693245398308,0,0,0,0,0,-0.172692610920134,0,0,0,0,0.0986908881935837,0,0,0,-0.0436039187339419,0,0,0,0,0,0,0.334979699895877
X601998.CH.EQUITY,0,0.0899362867709475,0.127708841135807,0,-0.0559543343688909,0.0635082515281938,0.146778646817464,0.110860732152379,0,0,0,0,0,0,0.149511479482654,0,-3.46944695195361e-18,0,0.158334878854506,0,0.0861656973821864,0.0357218312742427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0.0209863269039962,0,0,0,0.024240249038142,0,-0.0992218799744481,0,0,0,0,0,0,0.0444303693854961,0,0,0.258928475508289,-0.0410762039069322,-0.13766910947826,0,0,0,0,0,0,0.101918385864639,0,0,0,0,0,0,0,0.273188390504321,0,0,0,0,0,0,0,0,0.0518329912653332,0,0,0
