,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.0444816635874994,0,0.378648309082772,0,0,0,0,0.125147058975619,0,0,0,0.0527228700524728,0.115279516543709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00422814162449608,0,0,0,0,0,0,0.19307886885606,0.0198621597189499,0,0
X601318.CH.EQUITY,0.242554867741574,0,0,0,-0.0285868175961092,0,0,0,0.232859533975734,-0.000294346582972288,0,0,3.46944695195361e-18,0,0.39408407752186,0,0.084959628252134,0,0,0,0,0,0,0.0246267648961431,0,0,0,0.00695815564700053,0,-0.0394322080888305,0.0745943912380585,0,0,-0.125302510931251,0,0,0,0,0,0.150194117371212,0,0,0,0.00541380368046628,0,0,0,0,0,0.0444019443858132
X601939.CH.EQUITY,0.210079342548279,0,0,0,0,0,0,0,0,0,0,0,0.478510830157619,0,0,0.0666424064707619,0,0,0,0,0,0,0,0,0,0,0,0.15978010004945,0,0,0,0,0,0,0,0,0,0,0,0.0334520723520933,0,0,0,0,0,0.030862094804868,0,0,0,0
X601288.CH.EQUITY,0.315368628055901,0,0.0969995724582115,0,0,0.386872368102755,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0167401463343039,0,0,0,0,0.0242553563944445,0,0,0,0,0,0,0,0,0,0,0.0659889529388206,0,0,0,0.035153696929053,0,0,0,0,0,0,0.0437389271722375,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.318027592165422,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.671811275328725,0,0,0.231620422868254,0.154934879330866,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,-0.106130576762855,0,0,0,0,-0.0542286786276797,0,0,-0.269144380216494,0,0,0
X601988.CH.EQUITY,0.0873390963968752,0,0,0,0,0,0,0,0.145179135602148,0,0,0.0890757135653901,1.73472347597681e-18,0,0,0.0654061464187349,0.0913586662503989,0,0,0,0.178995267866799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222527705167555,0,0,0,0,0.100037027971374,0,0,0,0,0,3.46944695195361e-18,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.186600448880258,0,0,0,0.291532827068228,0,0,0.192257686185478,0,0,0,0,0,0,0,0,0.0218535259679324,0,0.103518274098485,0,0.0546639173222549,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0893935328279621,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.165431286884679,0,0.482233116957489,0.0133919012457215,0,0.127314400508958,0,0,0,0,0,0.443910302790273,0,0,0,0,0.0462925157143519,0,0,0,0,-0.193284228011263,0,0,0.0330331998337211,0,0,-0.0969933734996583,-0.0218894676606653,0,0,0,0,0,0,-0.0953369362745923,0,0.11698159841403,0
X601628.CH.EQUITY,0.16759771162181,0,0,0,0,0,0,0.233041141681283,0,0,0,0,0,0,0,0.0710986294898296,-0.0416637408313818,0,0,0,0,0,0,0,0,0.304612117464778,0,0.0469155119128987,0,0,0,0,0,0,0,0,0,0,0,0.231598018444221,0,0,0,0,0,0,-0.0524111947203589,0,0,0
X601658.CH.Equity,0,0,0,0,0,-3.46944695195361e-18,-0.226700044414366,0,0,0,0,0,0,-0.347850496440441,0,0,0,0,0,0,0.108434547609902,0,0,0,0,0,0,0,0,0,0,0.214783440133969,0,0,0,0,0.174685905781431,0,-3.46944695195361e-18,0,0,0,0.741176850514592,0,0,0,-0.262791712790496,0.41030088757379,-0.0360357931189282,0.0874172848000974
