,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2892.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0.236420347855123,0,0.269142535511444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152577045510347,0,0.0890028414866281,-0.0047758140671177
X601318.CH.EQUITY,0,0,0,0,0,0.154118732741521,0,0,0.180363074728562,0,0,0,0.19651078521311,0,0,0.0957900628076322,0,0,0.0752104185273473,0,-0.0430813660623001,0,0,0,0,0,0,0.190912657217007,0,0.371285127155063,-0.216058280926004,-0.0355701811763912,0,0,0,0,0,0,0,0,0.253969276338306,0,-0.0958889373470019,0,0,0,-0.0566620757907886,0,0,0
X601939.CH.EQUITY,0.75276915171265,0,0,0,0,0,0.0219227173865073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117928346957209,0.0738160373534904,0,0,0,0,0.0281846160246469,0.14874942930969,0,0.0119796182440154,0,0,0,0,0,0,0,0,0,0,0,0,0.0103785106694604,0,0,0,0,0,0
X601288.CH.EQUITY,0.402421188603198,0,0.0278379956728441,0,0,0.27834828617605,0,0,0,-0.0112961252617099,0.0723822189564021,0,0,0,0.0662148936203333,0.0283939999822935,0,0,0,0,0,0,-0.0343710614462126,0,0,0,0,-0.0710308842468867,0,0,0.199445140042329,0,0,0,0,0,0,0,0,0,0.0415555479603438,0,0,0,0,0,0,-0.0540058126267155,0.0422458454904083,0
X5.HK.EQUITY,0,-0.0964982792550636,0.167642714155355,0.0503182800816997,0,0.166219526284606,0,-0.198569900365367,0,0,0,0.0581948776039266,0.159676672607464,0,0,0,0,0,0.608223050765816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851474717740263,0,0,0,0,0,0,0,0.0886730563113444,0.111306666981153,0,0,0
X601988.CH.EQUITY,0.158249462321892,0.15798755601682,0.372184743170501,0,0,0,0,0,0.0342211962791311,0,0,0.0813884565227569,0,0,0,0,0,0,0.242645346825568,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.0590182213767953,0,0,0,0.00583719143378891,1.73472347597681e-18,0,0,0,0,0,0,0.0709092227379406,0,0,0,0,0,0,-0.0817613171541768,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.241601541918283,0,0,0.0608596438931956,0,0.152129283292822,0.322709699561175,0,0,0,0,0,0,0,0,0,0.0711791151313859,0,0,0,0.134228683935524,0.0619869654324326,0,0,0,-0.00331203227515521,0,0,0,0.0729752123320156,0,0,0,-0.0363654962703583,0.011018514839906,0,0,0,0,-0.0592871028420402,0,0,0
X1299.HK.EQUITY,0,0,0.14667185252427,0,0,0,0.00697175545680027,0,0,0,0.0932011331912624,0.0200703349984915,0,0,0.295554229614796,0,0,0,0.0820621787041968,0,0,0,0.340903086395416,0,0,0,0,0,0,0,0,0,-0.21054129648373,0,0,0,0,0,0,0,0,-0.0358246252309936,0,0,0,0,6.93889390390723e-18,0,-0.0514632504925349,0.0975109327695991
X601628.CH.EQUITY,0.258812897082749,0.13411984867852,0,0,0.108039071908029,0,0,0.260411916730959,0,0,0,0,0,0,0.00340792545237513,0,0,0,-0.307863167630234,0,0,0,0.0847498603018471,0,0,0.144465433903283,0,0,0,0,-0.101206513049212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595026894815205,0,0.0305340740065857,-0.0391946713154485,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.0575482084389888,-0.290912652470396,0,0,0,0,0,0,0,0.542792542760006,0,0,0,0,0,0,0,0,0,-0.397626529406202,0,0,0,0,0,0,0,0,-0.203985839821985,-0.0203598388398683,0,0,0.385067459677834,0.25244971725474,0.159435278802905,0,0.230365131115662,0.042584583470683,-0.013996985151193,-0.321387927342572
