,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.271643348192078,0,0.00826779711876419,0,0,0,0,0,0,0,0.101227311093208,0,0,0.00645898230390145,0,0.0709230237384672,0,0,0,0,0,0,0,0,0.111433320296121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11875821735526,0,0,0,0,0,0
X601939.CH.EQUITY,0.21040145279801,0,0.304040758016554,0,0,0.154036112296458,0,0,0,0,0,0,0.0278353661629939,0,0,0,0,0,0.0791237163069793,0.156170557027028,0,0,0,0,0,0,0.184747052571791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579949889579216,0,0,0,-0.0190698396687536,0,0
X601288.CH.EQUITY,0.700924696647667,0,0,0.27273979432047,0,0,0,0,0,0,0,0,-0.131898580549295,0,0,0,0,0,0,0,-0.0138160154281693,0,0,0.0389869322216329,0,-0.197675350927409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766421017265506,0,0,0,0,0,0.163100811636049,0,0,0
X601988.CH.EQUITY,0.0721165508597535,0,0.50824848559413,0,0,0,0,0,0,0,0.291887420554289,-0.19143850583792,0,0,0,0,0,0,0,-0.00829253953106759,0,0,0,-8.67361737988404e-19,-0.111449324956102,0,0.013561400069894,0,0.163789288261086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0148676215300621,0,0,-0.252792207749949,0,0,0,0.215948969243929,0,0,0.123558863350362,0,0,0,0.238952121687088,0.239037692906712,0,0,0.0509298265762583,0,0,0,0,0,0,0,0,0,0,0.306561188736217,0,0,0,-0.129936078675174,0,0,0,0,0,0,0,0,0,0,-0.0607131758686979
X601658.CH.Equity,0.123604917775674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098925980424433,0,0,0,0,0,0.238310357921374,0,0.0234643934144287,0,0,0,0.233770377732452,0,0,0.0237233580439097,-0.033973153379033,0.0303619541278119,0,0,0,0,-0.0515975539767888,0,0,0,0,0,0.0689284098897689,0,0,0,0,0,0.198240063135075
X601328.CH.EQUITY,0,0,0.0142251685521135,0.225362253170862,0,0,0,0,0,0,0.0280047826616962,0.187066368806157,0,0,0,0.0776879221809344,0,0,0,0,0,0.220923526141225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555893544307983,0,0,0,0,0
X601318.CH.EQUITY,0.0751200798155146,0.137620597096595,0,0.0182315272138017,0,0.0539772633775924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712973823924729,0,-0.188194529708778,0.0952217438260819,0,0,0,0,0,0.522236285079081,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0787703790377348,0.0637643795646558,0,0,0,0.166740283976748,0.252408133762181,0,0,0,0,0,0,0,0,0,0,0.204884014418625,0,0.0457354935553289,0,0,0.0548797068482268,0,0.0151468171503883,0,0,0,0,0,0,0,0,0.0557942094125359,0,0,0.0159218251256234,0.0543553895210243,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.0557476154404821,0,0.226541272422802,0,0.156336462118096,0,0,0,0,0.104049862477138,0.144504502656959,0,0.136383258193248,0,-0.166210275662874,0.295835197092559,0,0,-0.0813155459985124,0,0,0,0,0,0,0,0,0,0,0,0.159446744961517,0,0,0,0,0,0.119892602901904,0,0,-0.0197707403973208,0,0,-0.210288083310697,0
