,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.23355790981445,0,0.0685139968519292,0,0,0.193520833667373,0,0,0,-1.38777878078145e-17,0.0962567114754529,0,0,0,0.230319444197575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176814515790393,0,0.0110953583624477,0,0,0,0.12466907105527,0,0
X601318.CH.EQUITY,0.202999538288548,0,0,0,-0.0310491441776198,0,0,0,0.17356285030962,-0.0212326948936044,0,0,0,0,0.334995750088937,0.113113354953707,0,0,0,0,0,0,0,0.0763891579001496,0.0360343699597429,0,0,0,0.0495148414183236,0,0,0,-0.0859295437717528,0,0,0,0,0,0,0,0.218772266194379,0,0.00901378101166612,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.223017702289369,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.315635939426983,0,0,0,0,0,0.0198072998680436,0,0,0,0,-0.0784335086368947,0,0,0,0,0.226550894145463,0,0,0,0,0.1223071853507,0,0,0,0,0,0,0.0860133377873326,0,0,0,0,0,0,0,0,0.0702991870167308
X601288.CH.EQUITY,0.338693909772544,0,0.046030850182711,0,0,0.443024106650934,0,0,0,0,0.033412389640972,0,0,0,0.00237218463155258,0,-0.0157710474865525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820352296335743,0,0,0,0,0,0,0,0,0.0541516310390376,0,0
X5.HK.EQUITY,0.488085407969711,0,0,0,0,0,-0.605080013266387,0,0,0.0317547297040719,0,0,0,0.339699046249454,0,0,0,0,0,0.146198230060388,0,0,0,0,0,0.216708756214757,0,0,-0.0532074917461642,0,0,0,0.631662893553278,0,0,0,0,0,0,0,0,-0.473366737153902,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0370913732473417,-1.0842021724855e-19,0,0.284391008655213,0.0357240988982983,0,0,0,0,0.313083891737105,0,0,0,0,0.135204607940459,0.0096267689231318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116305602418792,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.185094791477463,0,0,0.23834330298937,0,0,0,0.205275737836238,0,0,0,0,0,0,0,0,0.0566120545944097,0.0746430527727845,0.0946296490518091,0,0,0.0426675434904655,0,0,0,0,0,0,0,0,0,0.000427294567195219,0,-0.0363217851137235,0.0933741721114148,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.150643449113612,0,0,0.0339446964356788,0,0.297359306972774,0,0,0,0,0,0,0.181068697470455,-0.0394258204714232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442340965265658,0,0
X601628.CH.EQUITY,0.322067777910733,0.00886874598918869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594931274135866,0,0.0653410677748023,0,0,0.153566192012821,0,0,0.111922201379262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14268168949619,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.391773070700377,0,0,0,0,0,0,0,-0.174875125375262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149602475923235,0,0,0,0,0,0.332195378757341,0,0,0,0,0,0,0.390474283092355,0,0,0,-0.471338887838174,0,0
