,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X267.HK.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601211.CH.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0,0.814527301511132,0,0,0,0,0,0,0,0,0.0221878936445606,0,0,0,-0.0243370449935989,0,0,0,0.0194123750090769,0.21208088001519,0,0,0,0.044216660686197,0,-0.19446993523475,0,0,0.0848713702548837,0,0,0,0,0,0,0,0,0,0.0140873456341585,0,0,-0.0958246923598211,0,0,0,0,-0.0362926436026466,0,0
X601288.CH.EQUITY,0,0,0.524451927688425,0,0,0,0.0522250370779093,0,0,0.0270862386281238,0,0,0,0,0.130303159756929,0.144860003050457,0,0,0,0,0,0,0,0,-0.140063592234821,0,0,0,0,0,0,0,0,0,0,0,0,0.0753888525266683,0,0,0,0,0,0,-0.27034039603777,0,0,0,-0.1118701150095,0
X601939.CH.EQUITY,0.308636656180794,0.287104420433652,0,0,0,0.0191299939354926,-0.0205784006532171,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.170831117656838,0,0,0.0217556445814142,0,0,0,0,0,0,-0.0653137129495315,0,0,0,0,0,0,0.262770500513373,0,0,0,0,0,0,-0.0113768979439319,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0698851928192337,0.0872237032028664,0.334864163317943,0,0,0.0720208304475915,0.0365016746155574,0,0,0,0,0.138160751284119,0.179925422347445,0,0,0,0,0,0,-0.0170917296544456,0,0,-0.232045506224612,0,0,0,0,0,0,0,0,0,0,0.0176321082108528,0,0.0392922166056661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0255206781528659,0,0.114186887707089,0,0.0483516942435595,0,0,0.39270895129734,0,0,0,0,0,0,-0.319833700323685,0,0,0,0.0450685648798405,-0.370724808539016,0,0,0,0,0,0,0,0,0.146516064367728,0.151699776315057,0,0,0,0.621407229506652,0,-0.120273051202609,0,0,0,0.322774456162925,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0.694332784623217,0,0,0,0,0,0.204605827769824,0.0753516370452958,0,0,0.195139053449582,0,0,-0.307178897196679,0.0255653270267611,0,0,0,0,0.00679556608962696,-0.0585452140518473,0,0.115282276042679,0,-0.0431003452726988,0,0,0,0,0.165208409521577,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.231470870195097,0.108007588625212,6.93889390390723e-18,0.282777649381014,0,0,0,0,0.237516346537688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154697225890792,-0.075189518674685,0.118913632968974,0,-6.93889390390723e-18,0,0,0.0404867305799921,0,0,0,0,0,0,0,0,0,0.0642828130064483,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,8.67361737988404e-19,0,0.12679319522357,0.310651571662082,0,0,0,0,0,0.414142180237149,0.226332957000613,0,0.161779955913715,0,0.0216536678217073,0.0808438681832097,0,0,0,0,0,3.46944695195361e-18,0,-0.10345065739745,0,0,0,-0.0649985655118995,0,0,0,-0.325564113530231,0,0,0,0,0
X267.HK.EQUITY,0.00540451826245052,0,0,0.249718322135682,0.4620630072429,0,0,0,0,0,0,0,0.0107222247937234,0,0,0,0,0,0,0,0,0.311730259904985,0,0,0,0,-0.0317606834895313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.109491562180461,0,0,0,0,0.174317116101955,0,0,0.0504133697287826,0,0,0,0,0,0.0906442310390077,0,0.683439287552243,0,-0.0511920778409003,0.115394859330709,0,0,0,0.0264335496573851,0,0,0,0,0,0,0,0,-0.184672325122131,0,0,0,0.0521692539330964,-0.0212173963842135,0,0,0,0,0,0,0,0,0,0,0,0
