,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.439088864007601,0.217272397252875,0,0.118863120558898,0,0.0766611204879921,-0.0839550778138468,-0.129644517667873,0.00996432807965778,0,0,0,0,0,0,0,0,0,0,0,0.307160447095569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355425934322003,0.0192328073402183,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.154595234619959,0,0,0,0,0.180408246882481,0,0,0,0.0631558280231576,0,0,0,0.0727908901746997,0,0,0,0,0.0711550170452161,0,0,0,0,0,0,0,0,0.0431183556348496,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.1083252511325,0.194531405415506,0,0.050303135539918,0,0,0,0.050276332719647,0,0,0,0,0,0,0,0,0,0,0.349249813357808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416035698152451,0,0.0628668008070765,0,0,0,0,0
X601988.CH.EQUITY,0.0682977151084009,0.0627105648522302,0.398542599848694,0,0,0,0,0,0.0357036338526808,0,0,0,0,0,0,0.0777813726400771,0.0623714530510963,0,0,0,0,0.0978461394567084,0,0,0.0459059564353076,0,0,0,0.0758349969506365,0,0,0,0,0,0.0636413405487561,0,0,0,0,0,0,0,0,0,0,0,0,0.0139058595931325,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.201014314918421,0,0,0,0,-0.0998532333667558,0,0,0.140916615508766,-0.186501440379862,0,0,0,0,0,0,-0.0207624384940475,0,0,0.585780283206897,0,0,0,0.227419486074577,0,-0.0370434313308138,0,0,0,0,0,0.19301496699836,-0.211770287553796,0.325651124430293,0.0338733954624362,0,0,0,0
X601658.CH.Equity,0,0,0.034159507777646,0,0,0,0,0,0,0,0,0,0,0.114500405723491,0,0,0,0,0,0.294396171847509,0,0,0,0.0752372435168442,0,0,0,0.192686254098949,0,0,0,0,0,0,0,0.203960009373999,0,0.028415697753734,0,0.259981923751726,0,0,0,-0.150115226202602,0,0,0,0,0,0
X601328.CH.EQUITY,0.086727561609601,0.0116653129615865,0.00303635211627682,0.155699737603319,0,0,0,0,0,0,0.16873582431697,0,0,0,0.218194179285777,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0672021532623697,0,0.200964075627942,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497433791557033,0,0,0,0,0,0,0.141838242605763,0.168819533088759,0,0,0,0,0,0,0.0903203052912171,0,0,0.122206401494332,0,0,0,0,0,0,0,0,0,0,0.114676656341687,0,0,0.116151594704165
X600036.CH.EQUITY,0,0.0748825363635233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418280574177918,0,0,0,0,0,0,0.0599517760964748,0,0,-0.0972977384911048,0,0,0,0,0,0,0,0,0,0,0,0,0.343475132566608,0,0,0,0,-0.00785814766944319,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.150963763908917,0,0,0.00359714361573951,0,0.168797952609979,0,0.0635432870670133,0,0,0.168695650154143,0,0,0,0,0,0.166942603759466,0,0,0,0,0,0,0,0,0,-0.260508899096933,0,0.122813260717597,0,0,0,0,0,0,0,0,0.03001378160895,0
