,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.00697880269712751,0.0493377740985547,0.186232552798898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575714264694082,-0.30092059167997,0,0.0323028950009301,0,0,0,0,-0.17380931361336,0,0,0,0,0,0,0,0,0,0,0.164516254690339,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.168901654063256,0,0,0,0,0,0,0,0,0,0,0,0,0.0181855468096237,0,0,0,0,0,0,0,0,0.0401439055255508,0,0.0443521762372115,0,0.186950436080367,0.0624726839431956,0.093717708317146,0,0,0,0,0.208983411812304,0,0,0,0,0,0,0,0,0,0,0.142743755805193
X601939.CH.EQUITY,0,0.0736003190901176,0,0.803606261815299,0,0,0,0,0,0.0248346225821711,0,0,-0.0188037900572683,0.0107101833263306,0,0,0.0895674206904339,0,0,0.0058970626926895,0,0,0.0248472362837464,0,0,0,0,0,0,0,0,0.069881088293315,0,0,0,0,0,0,0,0,0.0173803097746263,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.79429226444953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400507841760965,0,0,0,0.0115067941011869,0.0432009853823378,0,0,0,0,0,0,0,0,0,0,0.0813119440531559,0,0,0,0.027166279302207,0,0,0,0.104509303046828,0,0,0,0,-0.227343965011157,0,0.0220088758434835,0
X601628.CH.EQUITY,0.0106935367905416,0,0,0,0,0,0,0,0,0.225781221276074,0,0.1846381786453,0,0,0,0,0,0,0.227465548215149,-8.67361737988404e-19,0,0,-0.125102726338316,0,0,0,0,0,0,0,0,0.310771183692475,0,0,0,0,0,0.216761369486234,0,0,0,0,0,0,0,0,0.120713057840859,0,0,0
X600036.CH.EQUITY,0,0.0371518343151085,0,0.355780172022229,0,0,0,0,0.0601868333755175,-0.000462971803305964,0,0,0,0,0,0.137484917825107,0.0299625089884664,0,0,0,0,0,0.0744252165663103,0.11224361406344,0,0,0,0.0446876500489119,0,0,0,0,0,0,0,0.014774730546891,0,0,0,0.0302592749630559,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0334660743133848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191274224178645,0,-0.0349780537425534,0,1.00866097459586,0,0,0.0179607303590051,0,0,0,0,-0.0687729528039249,0,0,0.040498521147429
X1299.HK.EQUITY,0,0,0,0,0.166836312924356,0,0,0,0,0.37552999050071,0,0,0,0,0,0,0,0,0,0,-0.0245785097107739,0,0,0,0.43332337271734,0,0,0.235687934817841,0,0,0,0,0,0,0,0,0,0.088624051422922,0,0,0,0,0.056413810962781,0.0314151275379225,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00613556799332548,0,0,-0.0167217431065304,0,0.174136905431831,0,0.464283747272662,0,0,0.0459645120802248,0,0,0,0,-0.0702260640265481,0,0,0.192167730429938,0,-0.215937880098335,0,0.0766491061814502,0,0,0,0,0,-0.281440492214827,0,0,0,-1.73472347597681e-18
X388.HK.EQUITY,0,0,0,0,0.294486638586847,0,0,0.289580585070237,0.241184784332955,0,0,0,0,0,0.0975243379794478,-0.248961229324854,0,0,0,0,0,0.260114213758712,-0.0419772355353296,0.260685820708541,0,-0.312173571977764,0,0.243034049089268,0,0,0,0,0,-0.0126528787700472,0,0,0,0,0,-0.393723806767257,0.148093380454161,0,0,0,0,-0.294914748323324,0,0,0,0
