,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.636263858138786,0,0.00829503804205551,0,0,0,0,3.46944695195361e-18,0.0223449378509275,0.0693919850260445,0,0,0,0.112606790608793,0,0,0,0,0,0,0,0,0,0,0,0,0.0975592593673217,0,0,0,0,0,0,0,0.0362361538006041,0,0,0,0,0,0,0,-0.03910121727108,0,0,0
X601318.CH.EQUITY,0,0,0,0.100017710183156,0,0,0,0,0.0557936133826605,0.0464186496160394,0,0,0,0,0,0.239803596965565,0,0,0,0,0,0.0285855930984317,0.203327169829007,0,0,0,0,0.0313894480379915,0.112000401329921,0,0,0,0,0.0206060645543917,0,0,0,0.105923662370073,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.188359141840375,0.0542495099807455,0,0.362342448140152,0,0.0554604013084191,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.153237095608637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116424049400634,0,0
X601288.CH.EQUITY,0.0619593138749737,0,0.222477038788173,0,0,0.0107234329816924,0,0,0,0.222895430148219,0,0,0,0,0,0.029737497482047,0,0,0.0634739763618623,0,0,0.235712338775024,0,0,0,0,0,0,0,0,0.0530920000745025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480207027151053,0
X5.HK.EQUITY,0,0,0,0,0,0.417461069150273,0,0.163237636999713,0,0,0.380675775585062,0,0.0537316940421732,0,0.295917894194621,-0.199785710818803,0.218056233066317,-0.303246033491722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0986649006624211,0,0,0,0,0,0,-0.0753591336447236,0,0.264367083998693,0.0571459583635375,-0.683881025882172,0,0.21596734764416,0
X601988.CH.EQUITY,0.0622799769871674,0,0.19530967220796,0,0.0311046116156871,0,0,0,0,0,0,0,0.116013620415885,0,0,0.202003825380796,0,0,0,0.337391681284635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537221030942758,0,0,0,0.0708056036690403,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342167832421109,0,0,0,0,0,0,0.658262288623816,0.130397965968682,0,0,0,0,0,0,0,0,0.139445265545171,0,0.0153088060144001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.323774540691954,0,0,0,0,0.112617576512433,0,0,-0.070789212915239,0,0.109947349843256,0,0,0.313348489097963,0,0,-0.0697262805953262,0,0,0,0,0,0.0892494371764029,0,-0.131705515094358,0,0,0,0,0,0,0,0,0,0.0517975829355709,0,0,0,0,0,0,0,0,0.00279432248262436,0,0,-0.0708569769295014
X601628.CH.EQUITY,0,0.214201862299114,0,0,0,0,0.0313275115769173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570803666745057,0,0,0,0.399895066206211,0,0,0,0.230824158294506,0,0.0278476891144631,0,0.00139754442677796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0205339654714565,0.148113553837099,0,0,0,0.112868789720193,0,0,0,0,0,0.236591801807553,0,0,0,0,0,0.230249586052704,0,0,0,0.0620670934347382,0,0,0.00876250013945629,0,0,0.194471030964085,0,0,0,0,0,0,0,0.0148662550515825,0,0.00956082306545561,0,0,0,0,0,0,0,0,0
