,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X000069.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.57847444214171,0,0,0,0.155922949341144,0,0,0.00681029380886737,0,0.0921402358429518,0,0,0,0,0.0471670218459453,0,0,0,0,0,0,0,0,0,0,0,0.00408009304733264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0944447986337308,0,0,0,0,0.0491585917630645,0.0476419490480399,0,0,0,0,0,0,0.234377891869299,0,0,0,0,0.0468171832562752,0.154071990616798,0,0,0,0,0,0.143637047092726,0,-3.46944695195361e-18,0,0.0143616221224889,0,0,0,0,0.137204216260731,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.193515748195903,0.0406142432864298,0,0.367066880728873,0,0.0224230339366835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159016910210834,0,0,0.0109847206502058,3.46944695195361e-18,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.00271084364923776,0,0,0,0,0,0,0,0,0.130307881665341,0
X601288.CH.EQUITY,0.0491774909579623,0,0.191455445110975,0,0,0.118140827938688,0,0,0,0.247469347222689,0,0,0,0,0,0,0.0611956675497889,0,0,0,0,0.179449573839759,3.46944695195361e-18,0,0,0,0,0,0,0,0.0651649188960291,0,0,0,0,0,0,0,0,0,0,0,-0.0115104260626888,0.0172793543834445,0,0.0439897732085048,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.103885758782529,-0.0739941354997677,0.342613924456883,0,0.195477102499095,0.0227429879333936,-0.0701822870755828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129278236865767,0,-0.0156061800428835,0.590640421143866,0.0198830342649421,-0.862986180768767,0.16160987330401,0,0
X601988.CH.EQUITY,0.20464819612247,0,0.11725128004947,0,0.0244994963817527,0,0,0,0.0606221797310728,0,3.46944695195361e-18,0,0.127474457354017,0,0,0,0.089709911571006,0,0,0.35457464974225,0,0,0,0,0,0,0,0,0.000727738369032952,0,0,0,0,0,0,0,0,0.0581831500863917,0,0,0.00126789816707476,0,0,0,0.0199067895065832,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.0341004352087034,0,0,0,0,0,0,0,0,0,-0.0316927468425621,0,0.00429395032838148,0,0,0,0,0.71328171066334,0.117966649538305,0,0,0,0,0,0,0,0,0.134480917418403,0.0287052714776859,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0104687784574185
X1299.HK.EQUITY,0,0.22401898622135,0,0,0,0,0.072392144579256,0,0,0,0.179400090715967,0.0864151036690037,0,0,0.293521555614736,0,0,0,0,0,0,0,0,0.0613866932464131,0,-0.0799097996912178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14688023888959,0,0,0,0
X601628.CH.EQUITY,0,0.259848426999054,0,0,0,0,0.0054271601703303,0,0,0,0,0,0,0,0,-0.0487346825498553,0,0,0,0,0,0.00890510587436096,0,0,0,0.401409381387719,0,0.224656658587441,0,0,0,0.0692850589313351,0.0102457340640129,0,0,0,0,0,0,-0.0218067476651554,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0210305775219227,0.150567898180695,0,0,0,0.114823073673334,0,0,0,0,0,0.23907139360937,0,0,0,0,0,0.235073697430573,0,0,0,0.062847744909293,0,0,0.00900563720747335,0,0,0.199323621496063,0,0,0,0,0,0,0,0.0166020786750539,0,0,0.00960980802681274,0,0,0,0,0,0,0,0
