,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601077.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.322552566625939,1.0842021724855e-19,0,0.348428241924829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0505857800069914,0.18716225870464,0,0,0,0,0,0,0,0,-0.113011628954006,0,0,-0.157706791597217,0,0,0,0,0,0.199044197477616,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.129911115116155,0,0.0403412513029193,0.211739942116865,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.459198264317562,0,0,0,0,0,0,0,-0.0183587397318414,0.0239390752509661,0,0,0,0,0,0.05317773054114,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.000244152751902163,0,0,0,0,0.193682857095178,0,0,0,0.00386006803310756,0,0,0,0,0.0250144427986227,0,0,-3.46944695195361e-18,0.512947915230016,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421468184069084,0,0,0
X601288.CH.EQUITY,0.119399491023809,0,0,0,0,0.0960252425816347,0,0,0,0,0,0,0,0,0,0,0,0,0.0881780237085339,0,0,0,0.0829034998100141,0,0.0246039094953994,0,0,0,0,0.232520993086368,0,0,0.261823055286547,0,0,0,0.0126941135604479,0,0,0,0,-0.0924614882223212,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.124211518156135,0,0.382170523488222,0,0,0.060866313052518,-0.213219966004487,0,0,0.0204254367272972,0,-0.21691218717322,0,0,0.068216709352714,-0.0510348571874821,0.228710246681348,-0.0969797779839089,0,0.365402698262986,0,0,-0.157256864767504,0,0,0,0,0,0,0.370629458324676,0,0,0,0,0,0,0,0,0,0.094571503734836,-0.00883130038833292,0,0,0,0,0,0
X601988.CH.EQUITY,0.194559656009068,0,0,0.0612850683499065,0,0,0,0,0,0.0615836623164048,0.226293257224268,0,0,0,0,0,0,0,0,0.290214329436793,0,0,0,0,0,0,0,0,0,0,0,0,0.210828351294412,0,0.062956259259077,0,0,0,-0.0201237276024533,0,-0.0341180753862085,0,0,-0.137188749721299,0,0,0,0
X600036.CH.EQUITY,0,0.361632550552493,0,0.12974557479888,-6.93889390390723e-18,0,0,0.0797612121593324,0,0,0,0.0205548539568452,0,0,0.117561990980331,0,0,0,0,0,0,0,0,0.143635865488257,-0.195367946042887,0.0472408359549038,0,0,0,0.0913044720185069,0.176366849784198,0,0,0,0,0,0,0,0,0,0.0763373714023786,0,0,0,0,0,0,0
X1299.HK.EQUITY,0.0509332598851609,0.22845686283784,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.144364456733906,0,0,-0.111179110912652,0,0.244883546157043,0.34842458396983,0,0.165717257997918,-0.106129533333313,0.131542766821535,0,0,0.0562453404534006,0,0,0,0,-0.188157946850825,0,0,0,0,0,0.114136969218874,0,0,0,0,0,0,0,0,0,0,0.0211145182994358,0,-0.00720289555211523
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0566980448463077,0,0.0368800767783876,0,0.196762456079488,0,0,0,-1.73472347597681e-18,0,0.17870090042918,0,0,0,0,0,0,0,0,0.185686746769196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.100460105700157,0.0155195692174383,0.0298113871095907,0,0.0930709640289504,0.426772155038599,0,0,0,0,0,0.09774724171188,0.109878139124042,0,0,0,0,0,0,0.0386599435569242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108078800273512,0,0,0.057317515973018,0,0,0,0,0,0,0,0,0
