,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity,X601009.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.131876722129013,0,0.112031768332734,0,0.0718214104819813,0,0,0.335366837560168,0.0494726226092544,0,0,0,0,0,0.122068654589972,0,0,-0.0734508384952861,0,0,0,0,0,0.196959870362334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.377539094611361,0,0,0,0.0751452095785359,0,-0.099123556472081,0,0,0.0224298220224951,0,0,0.471084662054861,0,0,0,0,0,0,0,0,0,-0.0160175449724482,-0.0265807200553538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855344774019583,0,0,0,0,0,0,0,0.0363994367703367,0,0
X601318.CH.EQUITY,0.00151870293755294,0,0,0,0,0,0,0,0.080620780552245,0,0,0.268933245480339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104070454709955,0,0,0.108548953318806,-3.46944695195361e-18,0,0,0.11782210998275,0,0,0,0,0,0,0,0,0.0210898553168046,0,0,0.279179210049053,0
X601288.CH.EQUITY,0.335768001023468,0,0,0,0.323191371090638,0,0,0,0,0,0.0602063493810955,0,0,0.0632929294116288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344858352576069,0,0,0,0,0,0,0,0.133953626208514,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.318141609576071,0,0,0,0,0,0,0.371424568786085,0,0,0,0,0.0821691740910219,0,0,0,0,0,0,0,0.0156291468974931,0,0,0,0.0803884974149534,0,0,0.0600862583744421,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0115647276701637,0,0,0,0,0.116369450788479,0
X600036.CH.EQUITY,0,0,0.0582623497540981,0,0,0,0.062931530609844,0,0,0.0291644342674442,0,0.382913988121845,0,0,0,0,0,0,0,0,0,0,0,0.180910396493204,0,0.0198823519730612,0,0,0,0,0.00193726826086036,0,0,0,0,0,0,0,0,0.163806314323403,0,0,0,0.0436235422982603,0,0,0.106103754072357,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0938998973008038,0,0,3.46944695195361e-18,0.183263014014435,0,0,0,0,0.070946219340932,0,0,0,0.39391287403753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334457837771396,0,0,0,0,0,0.165686508197858,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.485523212022036,0,0,0.843602843141663,0,-0.696967102331398,0,0.70265782858114,0,0,0,0,0.115681520350144,0,0,0,0,0,0.159463594090459,0,0,0,0,0.174039142650088,-8.67361737988404e-19,0,0,0,0,0.300716681393604,0,0,-0.271368948584774,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189131765672976,0,0,0,0.210999700835498,0,0.381179049450613,0,0,0,0,0,0,0,0.0165350936431541,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0834583238349717,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224795937930783,0,0,0,0,0.454525614730748,0,0,0,0,0,0,0,0,0,0,0,0,0.521126295241576,0,0,0,0,0,0.0607981409149181,0,-0.543643000755716,0,0,0,0,0
