,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X600000.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601788.CH.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0.11272987065865,0,0,0,0,0,0,-0.0284548448492548,0,0,0,0,0,0,0,0,0,0,0.467484344177013,0,-0.15108389162855,0,0,0,0.258337349920495,0,0,0,0,-0.201392020503899,0,0,0,0,0,0,0,0,0.0816824745140433,0,-0.153154151736826,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.214856917337675,0,0,0,0,0,0,0.0538372891309447,0,0.0692209296775289,0,0.019430235038932,0.300723206815378,0,0,0,0,0,0.0811974959558511,0,0,0,0,0.133387105669867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122761546416471,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.695680553620202,0,0,0.113221270724022,0,0,0,0,0,0,0.000482834707060406,0,0,0,0,0,0.00820986463852012,0,0,0,0,0,0.0440114177607331,0.00623261164324057,0,0,0,0,0,0,0,0,0,0,0,0.0394551366472098,0,0,0,0,0,0,0,0.124171817186052,-0.00221291429438207,0,0
X601288.CH.EQUITY,0.00880102916595509,0,0.815403371679401,0,-0.0478421971942494,0,0,0,0,0,0,0,0,0,0,0,0.0622526206295545,0,0,0,0,0,0,0.111193492351659,0,0.0193030321212335,0,0,0,0,0,0,0,0,0,0,0,0,-0.035594633790302,0.0433144501085918,0,0,0,0,0,-0.0698738082568323,0.0841316246432679,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00817821763895786,0.700733404223669,0,0,0,0,0,0,0,0.00823480375971864,0,0,0,0,0,0,0.0414596133578758,0,0,0.322067704728827,0,-0.120440685979587,0,0,0.206314904626332,-0.125451866292159,0,0,0.078918308304068,0,0,0,0,0,0.0771322675384261,0.0870002335838243,0,0,-0.0585737901342368,-0.0375735670432708
X601988.CH.EQUITY,0.109638886069288,0,0,0,-0.260941100737338,0,0,0,0,0,0,0,0,0.821544206578337,0,0.106988567401094,0,0,-0.244169321826727,0,0.125748262624162,0,0,0,-0.124508112702108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126486838663106,0,0.127164187847345,0,0,0,0.0435379354418707,0,0.115162482285881,0,0
X600036.CH.EQUITY,0,0.039431635911273,0.395944823270965,0.0672052068564501,0.0228093751915913,0,0,0.010562347528321,0.0414105630474863,0,0,0,0.00277482103234088,0,0,0,0,0,0,0,0,0,0,0.0905459275731142,0,0,0.378695545667619,0,0,0,0,0,0,0,-0.0242382802053441,0.0379206959176878,0,0,0,0,0,0,0,0,0,0,-0.0854660670213044,0,0,0
X1299.HK.EQUITY,0,0.115770776073665,0,0,0.102506324628659,-0.169402397141197,0,0,0.249303217120341,0.190717279936039,-0.00980905964303141,0,0,0,0,0,0,0,0,0,0,0,0,0.35050336771729,0,0,0,0,0,0,0,0,0,0,0,-0.0307561411505009,0,0,0.108953084024429,0,0.298577742202353,0,0,0,-0.127977543913176,0.318473504266727,0,-0.0546910585316235,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.22627501363122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.618542255161721,0,0.0145002175546689,0.0654805582293604,0,0,0,0,0,0,0,0,0,-0.0682793387093164,0.0873570342273449,0,0,0,0,0.0129903272336733,0,0,0,0.0776692171105193,0,-0.235842421333059,0,0,0
X388.HK.EQUITY,0,0,0,0,0.569495654923128,0,0,0.115101993785635,0.0699699888551842,0,-0.49630675953207,0,0,0,0,0,0,-0.0568991653219192,0,0,0,0,0,0,0.281777725830347,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226918364663485,-0.00839791606666046,-0.194083428803213,0,0,0,0,-0.171978349861821,0,0,0,0
