,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601696.CH.Equity,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.0805326944424213,0,0.456328901737038,0,0.068827971347924,0,0,0.227702413726132,0.0258209637791736,0,0.0160926046388049,0,0,0,0.0331476677631765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101471993061225,0,0,0.0411448010154916,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.385231777073193,0,0,0,0.0647076271990561,0,-0.0976042842360558,0,0,0.0246782929045667,0,0,0.472652463006993,0,0,0,0,0,0,0,0,0,-0.0180632479564861,-0.0244838329828566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838749743156206,0,0,0,0,0,0,0,0.0369469731360322,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.224283869487537,0,0,0,0,0,0,0,0,0,0.0569208556616501,0,0,0,0,0,0,0,0.0576008944700264,0,0,0.0616318677523813,0,0,0.0184727990540801,0.121706200938266,0,0,0,0,0,0,0,0,0,0,0.340158078347002,0,0
X601288.CH.EQUITY,0.338195980933507,0,0,0,0.323755387666857,0,0,0,0,0,0.0603526647854598,0,0,0.0603021361593286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346993533518541,0,0,0,0,0,0,0,0,0,0,0.134945608445379,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.318192430349587,0,0,0,0,0,0,0.400191781063133,0,0,0,0,0.119491853770106,0,0,0,0,0,0,0,0.0180719462117953,0,0,0,0.0594857475269039,0,0,0,0.00988554501753906,0,0,0,0,0,0,0.0201327833764448,0,0,0,0,0.0195780043915887,0,0,0,0.0976894424606325,0,0
X600036.CH.EQUITY,0,0,0.05002672896781,0,0,0,0.0577215630816765,0,0,0.0253607354036782,0,0.38880243808824,0,0,0,0,0,0,0,0,0,0,0,0.18087829028181,0,0.0166192357368839,0,0,0,0,0,0.00626218565351504,0,0.00749931023214039,0,0,0,0,0,0,0.166324150174594,0,0,0.0403832104999719,0,0,0.104245898641586,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0892075562085516,0,0,0,0.200910105701859,0,0,0,0,0,0,0.05683667144138,0,0.422148686593375,0,0,0,0,0,0,0,0,0,-0.0617251799905364,0,0,0,0,0,0.35989147005817,0,0,0,0,0,0,0,0.149914057863979,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152413034525478,0,-0.555742212800196,0,0,0,0,0.682292316204844,-0.645539578878299,0.734185548328111,0,0,0,0,0.047093083028105,0,0,0.198552215967046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374032298588375,0,0,0,-0.237226559753695,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174929677533272,6.93889390390723e-18,0,0.124025725493361,0.259700376451292,0,0,0,0,0,0,0,0,0,0.144384855805543,0,0,0,0,0,0.0829437528904126,0,0,0,0,0,0,0.036678902807925,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20777312660927,0,0,0.475216128394577,0,0,0,0,0,0.0332110580875021,0,0,0,0,0,-8.67361737988404e-19,0.502072838807899,0,0,0,0,0,0.061873554099746,0,-0.588106171102305,0,0,0,0,0
