,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175386331662149,0,0,0,0.518920944825379,0,0,0,0,0.115723246969017,-0.250221530078144,0.500854292137491,0,0,0,0,0,0,0,-0.0233140350886843,0,0,0,0,0,0,0,0,0,0.0587508708362064,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0975429849945719,0,0.238836797789041,0.0190162967079154,0,0,0,0,0.131279055357563,0,0.0688660118217279,0.0254736136080613,0,0,0,0.0369663753511123,0,0,0,0.134381630047178,0,0,0.073423941649256,0.0743699745305574,0.0467686610263131,0,0,0.0235268302937481,0,0,0,0,0,0,0,0,0.109538028873487,0,0,0,0,0
X601939.CH.EQUITY,0.658982517758837,-0.0254387402248239,0,0,0,0,-0.0267027954498945,0,0,0,0,0,0,-0.0164127447538442,-0.104201482972199,0,-0.222015183755015,0,0,0.173837220338392,0,0,0,0,-0.38808437523024,0,0,0,0,0.7636693554896,0,0,0.12066221097539,-0.0434346902098055,0,0,0,0,0,0,0,0,-0.0398326486528128,0,0,-0.021048722010882,0,-2.77555756156289e-17
X601288.CH.EQUITY,0,0,0,0,0,0,-0.271023497238647,0,0.206021193015716,0,0.580190075398524,0,0,0,0,0,0,-0.0984376427567335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222314875850524,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.190848074861635,0.368419952383954,0,0,0,0,0,0,0,0,0,0.0638655392032124,-0.152992989655174,0,0.289001367126918,0,-6.93889390390723e-18,0,0,0,0,0,0,0.13164326318502,0,0,0,0,0,-0.181645922016499,0,0.0971497223051487,0,0,0,0,0.178798049297294,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.29546398482163,0,-1.73472347597681e-18,0,0.128209235879175,0,0,0,0,0,0,0.0585572149032026,0,-0.17227259693835,0,0,0,0.205838957802865,0,0,0,0,0,0,0,0.0726609212100133,0,0,0,0,0,0,-0.241639848235229,0,0,0,0,0,0,0,0,0,0.412201504124005,0
X1299.HK.EQUITY,0,0.139969888873063,0,-0.0408119934206274,0.31654626843149,-0.063364885192339,0,0,0.0650074663091947,0,0.0291818669528724,0,0,0.370159215059233,0,0.175653680168403,0,0,0,0,0,0,0,0,0,0,0,-0.141097681845949,0,0,0,0,0,-0.136963006179476,0,0,-0.008111496472364,0,0,0,0,0,-0.143399024757655,0,0,-0.0479582526001038,0,0.140486324849692
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.574791283424924,0,0,0,0,0.0866266146495467,0,0,0.288124345238747,0,0,0,0,0.139459806533108,0,0,0,-0.117032754821952,-0.0318810994684837,-0.0374671733145026,0,0,0,0.18351053644525,0,-0.103301362217514,-0.000450678566118103,0,0,0,0,0,0,0.0112286857450171,0,0,0,0,-0.142306392923202
X601628.CH.EQUITY,0,0.235444320346614,0,0.0592794092802618,-0.0496435391771067,0,0,0,0,0,0,0,0,0,0.143323882626101,0,0,0,0,0,0,0.000705723840898213,0,0,0.147213987241883,0.135461252112817,0,0,0,0,0.150652611274721,0,0.116266686802673,0.107958879945002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.711410098258045,0,0,0,0,0,0,0,0,0,0.0845227017276109,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0144728265452977,0,0,0,-0.196185148198788,0,0,0,-0.0629271491986236,0,0,-0.00383396681201368,0,0,-0.0413341786635879,0,0,0.120287666032139
X601166.CH.EQUITY,0.1752195598789,0,0.00172886452537566,0.219471689760236,0,0.0219087071709623,0,0,0.0109443331421089,0.146544847542802,0,0,0.287987713862878,0,0,0,0,-0.0698000935425227,0,0.0464211544759965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151031623316021,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0312577791490328,0,0,0,0.0411611979436512,0,0,-0.202220468717894,0,0,0,0,0,0,0,0,0.322327879591905,-0.0973126010489793,0.0244006324116031,0,0,0,0.462173306155052,0,0,0,0,-0.0334185681450038,0,0.0506200934039262,0.178396998686731,0,0.0765355111198239,0,0.0368043882384764,0,-0.0402844415653771,0,0
X600000.CH.EQUITY,0,0,0,0,0.0323676685360037,0,0.067110301997256,0,0,0.355297983723531,0.468988594026603,0,0,0,0.0241361374382393,0.022909664528628,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,-0.14528019380719,0,0,0,0,0.0265193821974754,0,-0.0489004141312795,0,0,0,0,0.161104785553451,0,-0.00621370728539876,0,0,0,0,0,0.159953177924338,0
X11.HK.EQUITY,0,0,0,0,0.42244608180081,0,0,0.0971811595564082,0,0,0,0,0,0,0.220674789522608,0,0,0,0,0,0,0,0,-0.428586720522918,0,0.163453131501062,0,0,0,0,0,0.471637915183636,0,0,0,0,0,0,0,0,0,0,0,0.110848050033995,0,0,0.171011070833235,0
X601601.CH.EQUITY,0,0.104855613213096,0,0,0,0,0,0.0480595607231799,0.23986021539335,0,0,0.00382172439789059,0.0559514119194459,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.306262455393296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320567916457417,0,0,0.0137912544988335,0
X388.HK.EQUITY,0,0,0,0,0.100800712017929,0,0,0,0,0,0,0,0,0.0155720081924568,0.313189825784165,0,0.547906752087062,0.054812686195682,0,0,0,0,0,-0.0709741576094799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529295546657299,0,0,0,0.0420531920339739,0,0
