,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.364140017911398,0,0,0.107961469908661,0,0.315958117534484,0,0,0.109301236955049,0,0,0,0.0644917065158234,0,0.00865860100884676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.359709684511451,0,0,0.0242342439297155,0.069539182009425,0,0,-0.082401470133071,0,0.0595289640688665,-1.38777878078145e-17,0,0.437806079574978,0,0,0,0,0,0,0,0,0,0,-0.0603775366350656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712291906592056,0,0.0219522006264164,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.029902463383691,0,0.0182966808194807,0,0.100853562645611,0,0,0.426222066783814,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0524037942190556,0.00852847322194934,0,0,0,0,0,0,0.0697800697452235,0,0,0,0,0.0794597478791735,0,0.135066379560487,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0
X601288.CH.EQUITY,0.428809654098506,-4.33680868994202e-19,0,0,0.353464137141026,0,0,0,0,0,0.0862600166124034,0.0160135334763292,0,0.0237746090464623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451232316588428,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0568788282555853,0.275387564090344,0,0,0,0.0476824317545812,0,0,0,0,0,0,0.0238989730579238,0.109067678147151,0.0862518203201401,0,0,0,0,0.0483158873812139,0,0,0,0,0,0,0,0,0,0,0,0,0.159997651488981,0,0.140398979987331,0,0,0,0,0,0,0,0,0,0,0.0595912300266922,0.0110923524156402,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.26543338192007,0,0,0,0,0,0,0,0,0,0,0,0,0.430752617811369,0,0,0,0,0.0452063995230106,0,-0.00246963796044434,0,0.452692752551685,0.166656390704441,0,0,0,0,0,0,0,-0.271468434182943,0,0,0,0.110433795156345,0,0,0,-0.114383904062869,0
X600036.CH.EQUITY,0,0,0.0147212069404083,0,0,0,0,0,0,0,0,0.431588564848392,0,0,0,0,0,0,0,0.0393476562193146,0,0,0,0.102954235436191,0,0.0139917907740983,0,0.0878244581337355,0,0,0.0438339796489464,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.246811345201772,0,0,0,0.0376215626119045,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0532060969800967,0,0,0,0.340626572773127,0,0,0,0,0,0.0101970322242084,0,0.466580799912025,0,-0.0652358715111375,0,0,0,0,0,0,0,0,0,0,-0.094094622279465,0,0,0,0,0.298535568218543,0,0,0,0,0,0,0.0621573118814595,0,-0.0794015355563122,0
X601628.CH.EQUITY,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.124708637824835,0.00358872904130645,0,0,0.191877996173618,0,0,-8.67361737988404e-19,0,0.125973932335027,0,0,0,0,0,0,0,0,0.16982951608276,0,0.0229790082015442,0,0,0,0.115025128538189,0,0,0,0,0,0,0,0,0,0,0,0.043265968594978,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156210920032341,0,0,0,0,0,0.21629005080568,0,0,0,0,0,0,0,0.173659443165051,0,0,0,0,-0.48991404172393,0,0,0,0.361432303029939,0,0,0,0,0,0.684245163668919,-0.171761011814494,0,0,0,0.646400084742985,0.0238799703682378,0
