,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601009.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.478469849246176,0.105115867684704,0,0,0.0364702850725384,0,0,0.0731890945309501,-0.0569063855823404,0.0806293536425312,0,0,-0.0751838796883476,0,0,0.0849391800770596,0,0,-0.00849382915462551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494877884686427,0.0725565696574896,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.111505579338337,0,0,0.181662996326182,0,0,0,0,0,0.0528636880645178,0.231911333594435,0,0,0.105622064993236,0,0,-0.122836575832392,0,0.0124832494064993,0,0,-0.0929979935392284,0.295353731603186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872116837786269,0,0,-0.02288647270701,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.264027195702526,0.181229464934907,0,0,0,0,0,0,0,0,0,0,0.232458837387057,0,0,0,0,0,0,0.105129879215365,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.0239869125892363,0,0,0.105447009049822,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.192994698888522,0.224264925600358,0,0,0.164947763312778,0,0,0,0,0,0.0267811328095702,0,0,0.03148307518741,0,0,0,0,0.163260255891408,0,0,0,0,0,0,0,6.93889390390723e-18,0.0478467877387714,0,0,0,0,0.0782473479730165,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.00227157581469092,0,0,0.0841772081150346,0,0.0330859382098815,0,0
X601988.CH.EQUITY,0,0,0,0.38795183550156,0,0,0,0,0,0.375807679229865,0,0,0,0,0.0409868594288201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461239097537179,0,0,0,0,0,0,0,0,0.18988273515591,0,0,0,0.0983490645759241,0,0
X600036.CH.EQUITY,0,0.0799991026396179,0,0,0,0,0,0,0,0,0,0.0346465877371138,0,0,0,0.0542003800722057,0.297827780978808,0,0.025307504043889,0,0.0347584534233601,0,0,0,0,0.264305227158826,0,0,0,0,0.0747484321670515,0,0,0,0,0,0,0.0510979935030757,0,0,0,0,0,0,0,0.0521936516853111,0,0,0.104154566630223,0
X1299.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0.230447243151319,0,0,0.265950735498731,0,0,0.130140232605237,0,0.0267268847893069,0,0,0,0.321064712142115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316467493915578,0.652265994016676,0,0.130681956786234,0.651617075479664,0,0,0,-0.178665823299319,0,0,-0.166141274392015,-0.12468034651199,0,0,0,-0.03250753728472,0,0.17759654979933,0,0,0,0.207037410736418,-0.188257492922506,0.0820596669943595,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.198189722286455,0,0,0,0,0,0,-0.204349409489618,0,0,0,0.138530906301026,0,0,0.0202572848921358,0,0,0,0,0,1.73472347597681e-18,0,0.146932749994573,0,0,0.237704098065644,0,0,0,0,0,0,0.132791006111199,1.73472347597681e-18,0,0,0,0,0,0,0,0.0962334956190688,0,0,0.00476992828483081
X601658.CH.Equity,0,0.145913555541815,0,0,0.0996523201697584,0,0,0,0,0,0,0,0,0,0,0,-0.0522895143735203,0.264753318436246,0,0,0,0.0976035108110395,0,0,0,0,0,0,0.00413923595051189,0,0,0,0,0,0,0,0.097931453305655,0,0,0,0,0,0.411024646153946,0,0,0,0,0.0793148748791484,0,0.0819635473502269
