,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X600919.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.62654074199017,0,0.0108580771942109,0,0,0,0,-6.93889390390723e-18,0.0463348139446632,0.073818842049239,0,0,0,0,0.0928424422782612,0,0,0,0,0,0,0,0,0,0,0,0.102431457893042,0,0,0,0,0,0,0.0351368896099546,-0.0108085552343814,0,0,0,0,0,0,0,-0.0299570268700767,0,0,0
X601318.CH.EQUITY,0,0,0,0.116406461353237,0,0,0,0,0.0657347277995539,0.00140145931785945,0,0,0,0,0,0,0.242127407560844,0,0,0,0,0,0.303925997278246,0.0985650814875416,0,0,0,0.0177115487082295,0.074029722811647,0,0,0,0,0.00212010878980106,0.0138688820213213,0.035160376724055,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.188712157612491,0.0527649858375184,0,0.363652601723376,0,0.0534577117170549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156168552141816,0,0,0,6.93889390390723e-18,0,1.73472347597681e-18,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.000108534764555408,0,0,0,0,0,0.116545026228972,0,0
X601288.CH.EQUITY,0.0619825514528089,0,0.222375808406957,0,0,0.0105758702018649,0,0,0,0.223450322595865,0,0,0,0,0,0,0.0296291037269906,0,0.0636960792234977,0,0,0.234025924448237,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0528999199051053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481358525678453,0
X5.HK.EQUITY,0,0.196368269446356,0,0,0,0.215297400163417,0,0.0773897636817338,0,0,0.20053384685953,0,0.0333971100580363,0,0.285963457342275,0.263827560633281,-0.126260235144947,-0.201128074731193,0,0,0,0,0,0,0,0.216522385658792,0,0,0,0,0,0,0,-0.250088975737962,0,0,0,0,0,0,0,0,0.165642834902552,0,-0.74988719190995,0,0.275579526484691,0
X601988.CH.EQUITY,0.0631101709185306,0,0.197637563992007,0,0.0314641827030083,0,0,0,0,0,0,0,0.117841375619127,0,0,0,0.203655635719737,0,0,0.342453495211729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548424808322199,0,0,0.0719055830101923,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355508836009567,0,0,0,0,0,0,0.66127273854274,0.133233993858588,0,0,0.001396692364234,0,0,0,0,0.142331821913458,0,0,0.015235078736716,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0
X1299.HK.EQUITY,0,0.388961943459617,0,0,0,0,0,0,0,0,0,0.0698767280065813,0,0,0.351569005420036,0,0,0,0,0,0,0,0,0,0.0599251086121199,-0.110026015948781,0,0,0,0,0,-0.111923316414783,0,0,0,0,0,0,0.0163886879379498,0,0,0,0,0,0,0,0,-0.0991548097014463
X601628.CH.EQUITY,0,0.215910699554059,0,0,0,0,0.0306771335194258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492914679613079,0,0,0,0.399722872374537,0,0,0,0.233254419815465,0.0293862181023695,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0203969769118904,0.147657547540356,0,0,0,0.111001956046098,0,0,0,0,0,0.236805722648502,0,0,0,0,0,0.230470230995308,0,0,0,0.0622251778426265,0,0,0.00872330325085062,0,0,0.194644592155636,0,0,0,0,0,0,0.0152405209586845,0,0,0.0094114646578436,0,0,0,0,0,0,0,0,0
