,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X600926.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.263308258255456,0,0.344188150529701,0,0.00670115497536345,0.00896932916110061,0,-0.0329837379094381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132156225314382,0,0,0,0,0,0,0.0994189635659331,0,0,0.0716776304910807,0,0,0,0,0,0.0980564691225368,0,0,0,0.153301182173374,0.0678178804585731,0.0558901503841769,0,0,0
X601318.CH.EQUITY,0,0,0.0162647283202799,0,0,0,0,0.0288894787601167,0.0635135961538303,0.00972818119631401,0,0,0,0.0626237305291335,0,0.0449488105956145,0,0.142256773896967,0.346455290746342,3.46944695195361e-18,0.106882846925029,0,0,0,0,0,0,0.113342008521813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06427766379275,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.3451759053098,0,0,0.0832932293981189,0,0,-0.125639920436268,0,0,0,0,0,0.0245716784844459,0,-0.070740250010916,0,-0.137918603628052,0.563843068077611,0,0.161310107885311,0,0,0,0,0,-0.121866678237572,0.0288828932350126,0,0,0,0,0,-0.0643488728164153,0,0,0,0,0,0,0,0,-0.0774504032349678,0,0,0,0
X600036.CH.EQUITY,0,0.0691789694469136,0.240401384965063,0,0,0,0.225360558698643,0.0974959797831755,0,0,0,0.058738094699006,0,0.170283265190352,0,0,0,0,0,7.06790827781899e-05,0,0,0,0,0.244332629756734,0,0,0.00965518717790425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140389441792897,0,0,0,0,0
X601288.CH.EQUITY,0.320632651910712,0.292485142069632,0.043741152482952,0,0,0,-0.111360214606122,0.165789512588958,0.0403298458787422,0,0,0,0,0,0.0537797622088365,0.0592227276759343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139010448875069,0,0,0,0,0.14132678351149,-0.065588242999908,-0.0178522050780161,0
X601628.CH.EQUITY,0.109373429030834,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0625321486742935,0.274509866153984,0,0,0,0,-0.0717081125228536,0,0.0386717770786716,0,-0.100817011780947,0,0.165762572132431,0,0,0.0251465359945476,0,0.593737027620337,0,0.108482896282267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425433021987038,0
X1299.HK.EQUITY,0,0,0,0,-0.0533221429229262,0,0,0,0,-0.018284021622068,0.330580705715981,0,0,-0.0459650600237762,0,0,0,0,-0.0413270218741467,0.471527804038366,0,0,0.0377500356439579,-0.0193320681679734,0,0,0,0.0674158208917972,0,0,0,0,0,0,0,0.0164276858234984,0,0.139946848493061,0,0,0,0,0,0,0,0,0,0,-0.114463007058773,0.158398423851561
X601988.CH.EQUITY,0.300390225386651,0,0,0.323000167071473,0.0970499656025001,0,0,0,0,0,0,-0.0940417385880076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891158597586699,0.185819844436687,0,0,0,0,0,-0.118971408787838,0,0,0,0,0,0,0.198673437108016,0,0,0,0,0.167767301265892,0,0,0,0
X5.HK.EQUITY,0,0.189078598206117,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164841189862929,0,0,0,0.109271541587788,0.31899472618048,0,0.115877159832487,0.0372935600121273,0,0,0,0.207391131896971,0,-0.0435039668790898,0,0,-0.207999094329761,0.375971151456866,0,0,0.148273161542568,0,0,0,0,0,0,0,0,0,0.07553708823674,0,0,0
X601658.CH.Equity,0,0,0.00614610455531983,0,0,0,0,0.127634749174567,0,0,-0.0378350848416657,0.0194147735803501,0,0.23097705248703,0,0,0,0.0142010672623713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294639568493634,0,0.149531977779857,0,0,0,0,0,0.0385646985467222,0.106165766725291,0,0,0,0,0
