,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.138646614251676,0.184186339216982,0,0.199646254636932,0,-0.0813274666688669,0,0,0.0332688749255075,0,0,-0.0104615422301476,0,0,0,0,0,0,0,0,0.113255364787606,0,0,0,0,0,0,0,0,0,0,0,-0.0334177705890473,0,6.93889390390723e-18,0,0,-0.274231928674585,0,0,0.142115223831714,0,0.0758123792880995,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.241788347524072,0,0.258611343151711,0,-0.00241750460297085,0,0,0,0,0,0,0,0.0379074603982487,-0.0624148604500333,0,0,0,-0.276425315777282,0.260435357925701,0,0.196646674320228,0,0,0,0.0683762977286175,0.0819379740377569,0,0,0,0,0,0,0,0,-0.00956599682276685,0,0
X601939.CH.EQUITY,0.43667346322579,0,0,0.0892577971813275,0.114499225087733,0,0,0,0,0,0,0,0.140309607725401,0,0,0,0,0,0.132081185057148,0.0114150346003914,0.0319438457164006,0,0,0,0,0,0,0,0.328096624973351,0,0,0,0.00722505502810384,0,-0.174747441151837,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0
X601288.CH.EQUITY,0.362917319447832,0,0.168147346097564,0,0.0514845371772899,0.0282949095347628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13297267936164,0.0510513349685647,0,0,0.0661669895691864,0.218192729447513,0,0,0,0,0,0,0,0.00317956432332191,0,0,0,0.0692477522337037,-0.0255925542775419,0,0
X5.HK.EQUITY,-0.0383587961970484,-0.185723795817467,0,0.248435437421974,0,0,0,0,-0.213790210505852,0,0,0,0,0,-0.110935265710785,0,-0.0500989539537766,0.266266837341344,0,0,0.424939260219338,0,0,0,0,0,0,0,0,0,0.261143311754412,0,-3.46944695195361e-18,0,0,0.026329065733704,0,0,0,0,0,0.0343047372641447,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.120085962092702,0.368257821740855,0,0,0,0.106418423133381,0,0.150441399403326,0.247145948750256,0,-0.053608876525871,0,0,0,0,0,0.193047247727905,0,0,0,0,-0.0478455418028148,0,0,0,0.058311270643455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111781388121825,0,0,0,0,0
X600036.CH.EQUITY,0,0.423540984961636,0,0,0,0,0,0,0,0,0,0.0572339444603901,0,0.00914339317378153,0.066234440347663,0,0,0,0,0,0.221823730925982,0,0,0.239164328813938,0,0,0,0,0,0.0145629619438509,0.0599775638957264,0,0,0,0,0,0.05116991578751,0,0,0,0,0,0,-0.0353567759127879,0,0.0862049297303343,0,0
X601628.CH.EQUITY,0,0,0,0.283134475446907,0,-0.0384130391079321,0,0,0,0.171736733466736,0,0,0,0,0,-0.13026402278404,0,0.319621582151288,0,0,0,0,0,-0.17044881067104,0,0,0,0,0,0,0.157958296622051,0,0,0,0,0,-0.0843432934140153,0,0,0,0,0.0297044730396331,0,0.125849311694567,0,0,0,0
X1299.HK.EQUITY,0,0.0691369219151891,0,0,0,0,0.0925852678159584,0,0,0,0,0,-0.198249558462909,0,0.423156552002591,0.25845752455136,0,0,0.181476815678529,0,0,0,0,0.0278950063581916,0,0,0,0,0,0,0,0,0,0,0.00227647728552073,-0.00826544053818802,0,0,0,0,0,0,0,0.103712982598066,0,0,0,0
X601166.CH.EQUITY,0,0.0568308855982839,0.0271301912033295,0,0,0.193470687561476,0,0.0487971610345791,0,0,0,0,0,0.138301188968936,0,0,0,0,0,0,0,0,0,0.457170567574491,0.14212125526389,0,0,0,0,0.197029549390968,0,0,0,0,0,0,0,0,0,0,-0.0564340119018233,0,0,0,0,0,0.0135701069058253,0
