,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X000001.CH.EQUITY,X601628.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2801.TT.EQUITY,X2887.TT.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0.33566389246336,0.185054219857299,0,0,0.0617408859852602,0,-0.0711110069689824,0.00842168419698623,0,0,0,0,0,0,0,0,0,0.249790208112906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563808636615804,0,0.150282902472414,0,-0.0480714812525827,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.0672753957863566,0,0.0828271681924345,0,0.059416399656697,0.144721989392518,0,0,0.295387979380912,0.122001869534501,0,0,0,0.0348969816692289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.168984629722045,0.0674181984673137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27901538028816,0.0428173399832464,0,0,0,0,0,0,0.0605944747980135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121264600382911,0,0,0,0
X601988.CH.EQUITY,0.0520543159373382,0,0.417779706323464,0,0,0.0809946977783146,0,0.0547028108438068,0,0,0,0,0,0,0.0780331315599968,0.00494364930639713,0,0.0724111827643916,0.102231755541462,0,0,0,0,0,0.08842459072863,0,0,0,0,0.0253038213977135,0,0,0,0,0,0,0,0,0.0237528197630302,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.0756063070316736,0.0183255921471386,0,0,0,0.419871340234594,0,0,0,0.0361133047709789,0,0,0,0,0,-6.93889390390723e-18,0,0.339606904664105,0,0,0,0.00380604461622235,0,-0.10680724824423,0,0,0,0,0,0,0,0,0.0331740555198356,0,0,0,0,-5.61864205994538e-05,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0411428806341495,0,0,0.245558111333992,0,0,0,0,0,0.223203455637726,0,0,0.144980659880675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999080694223564,0,0,0,0,0,0,0,0,-0.0288419496820844,0,0.0836467582953693,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888159038713648,0.209526618091531,0,0,0,0,0,0.0583097175504936,0,0,0.17021919435706,0,0,0,0,0,0,0,0,0,0,0.0401389673957211,0,0,0.131202237247552,0.00318895026938638,0.0492571790043274,0,0,0.0949752270732339
X600036.CH.EQUITY,0,0.23787883300761,0,0,0.125511385309687,0,0.129088831520646,0,0,0,0,0,0,0,0,0,0,0.136140248519364,0,0,-0.0069489174038439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256712465055092,0,0,0,0.165192099284189,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.234526324993173,0,0,0,0.195228552742227,0,0,0.0786495378291935,0,0,0,0,0,0,0.320212336185577,0,0,0,0,0,0,0,0,-0.113093363027889,0,0.0815601478404067,0,0,0,0,0,0,0,0,0.0327710512563459,0,0,0,-0.0525651038598511,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.00846719002967296,0,0,0,0,0,0,0,0,0,0,0,0,0.0410204153424212,0,0,0,0,0,0,-0.0224493917664265,0,0,0.508648168575496,0.180234206490354,0.0546130789691133,0,0,0,0,0.0124331502844768,0,0,0,0,0,0.117214973360117,0,0,0.143395300565786,0,0,0,0,0
