,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY,X601997.CH.EQUITY,X2801.TT.EQUITY,X2887.TT.EQUITY,X000166.CH.EQUITY,X2890.TT.EQUITY
X601398.CH.EQUITY,0,0.517469295723047,0.0179347072898289,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0287552971148937,0.0664269777509371,0,0,0.094291493263967,0.0562652120253849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537961895624149,0.0475353426903508,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.730680449735422,0,0,0,0.171531620832117,0,0,0,0,0.00127461275431075,0,0,0.0838630010305931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055275911353743,0,0,0,0
X601288.CH.EQUITY,0.203117809171751,0,0,0,0,0,0,0,0.00691526312497661,0,0.0191716841441173,0,0,0,0,0,0.153743590361671,0,0.0748946733792341,0.249703947402187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0401206719234706,0,0,0,0,0,0.0596463860859865,0,0.042375290680194,0,0,0,0,0,0,0,0,0,0,-0.114217441251931,0,0,0,0,0,0,0,0,0,-0.16602498499048,0,-0.185024659604224,0,0,0.295929431822444,0,0,0,0.0481788670719205,-0.2810359826345,0
X601658.CH.Equity,0,0.216681767168815,0.0205809770369772,0,0,0,0,0,0.0546241508656761,0.204259518852906,0,0,0.0144488726618987,0,0,0,0,0.163733681589804,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0220231313689385,0,0,0,-0.0360099968349068,0,0,0,0,0,0,0,0,0,0.207141994885806,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0258847730702842,0,0,0.0855214219139094,0,0,0.283122127332765,0,0,0.0205025199018466,0,0.104857516979926,0,0.252352973282629,0,0,-0.082638624528735,0,0,0,0,0,0.0491806027476231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492330109423547
X601318.CH.EQUITY,0.0282548789508901,0,0,0,0,0,0,0,0,0,0,0,0.322672538988416,0,0,0,0,0,0.245175059160077,0,0.155147708129379,0,0,0.0612820376285198,0,0,0,0.468461588138596,0,0,0,0,0,0,0,0,0,0,-0.323728944047818,0,0,0,-0.0715601800048488,0,0.181257671134128,0.0994195924210071,0,0,0,0.157146023184752
X600036.CH.EQUITY,0,0.2567572284472,0,0,0,-0.138561615539695,0,0,0.135898587237854,0,0,0,0,0,0.121411381733086,0.106546136135969,0,-0.0391344155209309,0,0.097477658427581,0.046714751165505,0,0,0,0,0,0,0.220785610782696,0,0,0.246862821693803,0,0,0,0,0,0,0,0.00659454291199584,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.164949246498096,0,0.110275822963786,0.117041893727849,0,0.0482678927363637,0,0.294055520753391,0,0.122875476028999,0.306743219898349,0,0,0,0,0,0,-0.00535064680973293,0,0,0,0,0,0.0699956178529061,0,0,0,0,0,0,0.0944878568461562,0,0,0,0,0,0,0,0,0,0,0,-0.121552234516112
X600000.CH.EQUITY,0,0,0,0,0.0733377486073166,-0.136190016827383,0,0.115042794410681,0,0,-0.0858838459164953,0,0.396477155944195,0,0,0,-0.0399173279500249,0.040712963633764,0,0,-0.0166443177573067,0,0,0.0743180077803368,0,0,0,0,0,0,0,-0.0257900684776744,0,0,0,-0.00512366026255469,-0.00119279761858997,0,0,0,0,0,0,0,0,0.439229954843052,0,0,0,0
X601998.CH.EQUITY,0,0.0524892578008045,0,0,0.0306154328443366,0.298232334452381,0.154903633942457,0,0,-0.0580422853427928,0,0,0.0884782236509207,0,0,0,0.211918254287464,0.0403099298930147,0,-0.0193567812135647,0,0,0,0.123667850217431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184518188339808,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,-0.939225884613293,0,0,0,0,0,0,0,0,0,0.0324642523097348,0,0.0550104717496032,-0.148341176924812,0.10708770598273,0.245798870121352,0,0,0,0.510852285402154,0,0,0,0.137609930163397,0,0,-0.556244070413952,0,0,0,0.0703470518031097,0,0,0,0,0,0,0.501076259619086,0,0.100901657131376,0,0,0,-0.414886605161201,0,0,0,0,0,0
X601818.CH.EQUITY,0.0862436378403928,0.0675894440327383,0,0,0,0,0,0,0.0537386678938743,0.19890006264167,0,0,0,0,0,0.114380005830462,0,0.257936126175748,0,0,0,0,0,0,0,0,0.020830118893832,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.0118456925306152,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.00695478102606693,0,0,0,0,0,0,0,0,0.104280787443585,0,0,0.0340211331704734,0,0,0,0,0.23188469173922,0,0,0,0,0.199009694572563,0,0,0.0219831144231753,0,0,0,0,0,0,0,0,0,-0.00679035273004478,-0.120621541679445,0.0806993613432708,0,0.302132625835782,0,0,0,0.10723479495094,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824956707064567,0,0,0.182819279149556,0,0,0.025319878672879,0,0,0,0,0,0.0330095692615506,0,0,0,0,0,0,0,0,0.123160676950324,0,0,0,0,0,0.221485767980365,0,0.105616530161212,0,0,0
X600015.CH.EQUITY,0,0,0,0,-0.0114340433712403,0.222391111410993,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.455044620810422,0.0646225568734512,0,0.0704937568729281,0,0,0,0.158455919709054,0,0,0.0770355191249876,0,0.0668804303301875,0,0,0,0,0,0,0,-0.13482454065642,0,0,0,0,0.0830019959350248,0,0,0.139012358059304,0,-0.0699736985473156,0,0,0
X601169.CH.EQUITY,0.136669411464446,0,0,0,-0.0351619724059772,0.203049833759253,0.126825075616932,0,0,0,0.145100642517937,0,0,0,0,0,0,0,0.28158434081483,0,0.131288629227997,0,0.37304740040833,0,0,0,0,0,0,0,0,0.0482554471458861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509188263521602,0,0,0,0.181512298248053
X601229.CH.EQUITY,0.0908972943042471,0,0,0,0.253753431299097,0,0,0,0.158875955069841,0,0.00737293033580047,0,0,0,0.000150250516439812,0.0177869719735101,0,0,0,0,0,0,0,0.282232140277603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314361466897086,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0.061654990426098,0,0.163115968360501,0,0.206430345564189,0,0,0,0,-0.189163726081387,-0.00909804423918544,0,0,0,0,0.0415304953649721,0,0,0,0,0,0.142847874559807,0,0,0,0,0.110398272117658,0,0,0,0,0,0,0,0,0,0.337377806359049,-0.0983871409337901,0,0,0,0,0,0,0,0,0,0
