,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0988649447781573,0,0.210911175840736,0.00188114584077162,0,0,-0.0327513966651395,0,0,0,0,0,0.0140021253995254,0,0,0,0,0,0,0,0.0470560473707825,-4.33680868994202e-19,0.185959301340954,0,0,0,0,0.0156786462217405,0,0,0,0.0164924895862243,0.198853652040918,0,0,0,0,0,0,-0.0808519657566617,0,-0.00737461472282776,0,0,0,-0.0373240019467126,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.024312436363756,0,0,0,0.0488810521644296,0.0290133757981407,0,0,0,0.372414988385029,0,0,0,0,0,0,0,0,0,0,0,0,0.0954225655205077,0,0,0,0,0,0,0.0197462948395842,0,0,0,0,0,-3.46944695195361e-18,0.0234614109212411,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.775461889515489,0,0,0,0,0,0,0.115914205725998,0,0,0,0.0987936949020098,0,0,0,0,0.00729926515507431,0,0.0141606132501938,0,0,0.0731959901184813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382987350072898,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.14219447733771,0,0.79414650618138,0,0,0,0,-0.0372321238634413,-0.0121074923439134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502815491286266,0,0,0,0,0,0,0,0.0357643031440542,0,0.12686956998267,0,0,-0.021526311805281,0,0,0,0.122219594792352,0,0,-0.0290952891236895,0,0,0.00874615901731518,-0.139665205091552,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.217711823515145,0,0,0,0,0,0,0,0.177752499656105,0,0,0,0,0,0,0,0,0,0,0.439577765713778,0,0,0,0,0,0,0,0,0.0356209603243294,0,0,0,0,0,0,0,0,-0.0247231106606421,0.135434230818466,0,0
X600036.CH.EQUITY,0.161216652352946,0.013792281311992,0.194919364069914,0.0912707953704885,0,0,0,0,0,0,0,0,0,0,0.123523814900261,0,0.0157674118142217,0,0,0,0,0,0.0872012274313498,0.0611190870281079,0,0,0,0,0,0,0,0,0,0,0,0.0991720264215855,0,0,0,0,0,0,0,0,-0.0581445900775021,0.149517592493904,0,0,0,0.0562183072793438
X601988.CH.EQUITY,0,0,0,0,0,0.0908884447953845,0,0,0,0,0,0,0.0708921402394623,0,0,0,0,0,0,0,0,0,0,0,0.0106368209423888,0,-0.0358148289645584,0,0,0,0,0,0,0,0,0,-0.0721850165861637,0,0,0.916795666740936,0.0577157603732157,0,-0.0337213068880888,0,-0.105515938781991,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0311998904769048,0.458727382239001,0,0,0,0.0455720352931984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635311871342999,0,0,0.357969293176363,0,0,0,0,0,0,0,0,0,-0.0712198709511399,0,0,0.0335461620885786,0,0
X5.HK.EQUITY,0,0.091778814123436,0,0,0,0,0,0.0374428248731716,0,0,0,0,-0.237145888504142,0,0,0,0,-0.120496281958592,0,0,0,0,0.365151171587751,0,0,0,0,0,0,0,0,0.311409026058335,0,0,0.153270537702349,0.238203451784332,0,-0.0584268494071369,0.247780808805141,0,0,-0.0980115101428157,0,0,0,0,0.0330257608350885,0,0,0
X388.HK.EQUITY,0,0.0467766475067837,0,0,0.472128581489081,0,0,0.0960535355306135,0.223798846784223,0,0,0,0,0,0,0,-0.213335402676806,0,0,0,0,0.0235072359276786,0,0,0,0,0,0,0,0,0,0.263605461908168,0,0,0,0,0,0,-0.138275490196149,0,0,0,0.219330643145592,0,0,0,0.204147592107318,0,0,-0.270628888558628
