,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X600918.CH.Equity,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0.122726051114105,0.251947760656316,0,0,0.141534422986081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183088282614178,0,0,0.0869729403642674,0,0,0,0,0,0,0,0,0,0,0,0.16963588299193,0.0387292611364323,0,0,0,0.0971114303342128,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.116063232871445,0.0847567696372445,0,0.0347261813183469,0,0,0,0.0189405790509205,0,0,0,0.0358511693358018,0.108293061918514,0.407932426970894,0,0,0.0207657101956907,0.0571841543560457,0,0.0823878026297969,0,0,0,0,0,0,0.0392806764239834,0,0,0,0,0,0,0,0,0,0,0,0.0319944439772565,0,0.0741369558752954,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.28003937018842,0,-0.0512972408606597,0,0,0,-0.032047347693454,0,0,0,0,0,0,0,0,0,0.667064950545656,0.0109547357480518,-0.195969185671388,-0.186325321577661,0,0.0933828519950256,0,0,0,0,0,0,0,0,0,-0.094853537712169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565053000422704
X601288.CH.EQUITY,0.399635029415602,0.235266085382259,0.0974539289093237,0,0,0,0.0172268827779708,0,0,0,0,0,0,0,0,0,0.0549873474956112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297834993302417,0,0,0,0,0,0,-0.098579463927132,-0.00308617229755897,0.0690912661233894,0
X601628.CH.EQUITY,0.0371709450940263,0,0,0,0,0.0615763468333191,0,0,0,0.0138040776811081,0,0,0,0,0,0,0.255386740648082,0,0,0,0.123007479099433,0.208592514840861,-0.186704211312704,0,0,0,0.416364547694195,0,0.0618908857323589,0,0,0,-0.0630897476110369,0,0.0634827119090843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.155534547002023,0,0.0995503366846337,0,0.105985204065371,0.187341154333489,0,0,0,0,0.208292953766348,0,0,0,0,0,0,0,0,0,0,0.284206729855679,0,0,0,0,0,0,0,0.0964379781049399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102911241082669,0,0,0,0
X601988.CH.EQUITY,0.129928752192578,0,0.164234933379174,0,0,0.404358633011151,0,-0.0262181951011933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730816574922224,-0.0637362700664905,0,0,0,0,0,0,0,0,0,0,0,0,0.300717801962413,0,0,0,0.0951095225684804,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0764836617038748,-0.0362056433974081,0,0.107957707174503,0,0,-0.0497845417429581,0.358321142605884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284468723772338,0,0,0,0,0,0,0.129385120044715,0,0,0.13375531887729,0,0,0,0,0,0,0,0,0,0,0,-0.0517979694934043,0,0,0
X5.HK.EQUITY,0,0.199294983647667,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0650531989790201,0,-0.0388774708842264,0,0,-0.0399179049880301,0,0,0,0,0.0572844019989738,0.424538356927162,0,0,0,0,0,0,0,0,0.233120950919164,-0.0306351135823468,0,0.293508909869748,0.0659813583941769,0,0.129708326799799,0,0,0,0,0,0,0,0,-0.158349013190735,0,0,0
X388.HK.EQUITY,0,0,0,0,0,-0.233695714513593,0,0.00182450057388263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511980268500416,0.0581036147646166,-0.0300917424122696,0.214534978674061,0,0.21587780941088,0,0,0,0,0.28672519135401,0.121024385845659,0,0,-0.455615693177863,0,-0.105996942064699,0,0.168626981073947,0,0,0,0.158798650640564,0,0,0.0424359925058082,-0.0272311196566744,0,0
