,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0670808257032263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129592095674845,-0.0232034499748975,0,0,0.492188814688011,0,0,0,0,-0.127033317027545,0,0,0.572171440539896,0,0,0,0.0399651674293813,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0924817825878955,0.141581404579703,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.155182549093548,0,0.179161875697791,0,0,0.123387477827503,0,0,0,0.257543277089472,0.134425137342062,0,0,0,0,0,0,0,0,0.0260229987767811,0,0,0.0601530995306781,0.0723769652558341,0.0522248734086876,0,0,0,0,0.0781020248700533,0,0.044375747978219,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.651987250291116,0,0.014422615250308,0,0,0,0.400426247629162,0,0,0,0,0,0,0.0421138262825988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792950250708278,0,0,0,0.0125544913419881,0,0,0.146632920307881,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.240767646568654,0,0.160717776007675,0,0.928256568823979,0,0,-0.0158762524709346,0,0,0,-0.315335366552222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259929833672069,-0.0263825894130422,0,-0.0880901237573434,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0811923955509095,0.457037335337314,0,0,0,0,0,0,0,0,0,0.00682323695722599,-0.0805714446224503,0.0352101847611796,0,0,0,0,0,0,0,0,0,0,0.247355281937366,0,0,0,0,-0.102179014473291,0,0,0,0,0.240348542032032,0,0,0,0.0654567856532668,0,0,0,0
X601988.CH.EQUITY,0,0,0.221141406637569,0,0.270822353653307,0,0,0,0.149345008473345,0,0,0,0,0,0,0,0,-0.0940032081214285,0,0,0,0.0179152087950055,0,0,0,0,0,0,0.1360483171832,0,0,0,0,0,0,0,-0.20233405702534,0,0,0,0,0,0,0,0,0,0.242184853199536,0
X1299.HK.EQUITY,0,0.0543347673395369,0,0,0.19869315446206,0,0,0,0,0,0,0,0,0.324296793252157,0.328311351323228,0,0,0,0,0,0,0,-0.160594919053899,0,0,0,0,0,0,0,0,0,0,-0.0669678840875437,0,0,-0.0873053544618305,0,0,0.0317191826384808,0,0,0,-0.156373145217208,0,-0.107477366312484,0,0.0704716013887964
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.471961627925629,-0.0905501081216393,0,0,0,0.00506048274803758,0,0,0,0,0,0,0,0.0567517605440048,0,0,0.139762174583997,0,0,0.190460045994274,0,-0.103996695728223,0.291033944781055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175375339975015,0,0
X601628.CH.EQUITY,0,0.00635956553982254,0,0,-0.0990206613978362,0,0,0,0,0,0,0.0700545138247466,-0.0041400424445195,0,0.0116391180896909,0.390652094699288,0,0,0,0,0,0,0,0,0.0495802883719226,0.338451997688349,0,0,0,0,0.231542785927293,0.0232556148413165,0,0.0531606209832511,-0.0334746186719109,0,0,0,0,0,0,0,-0.0392336125514313,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.104847475064451,0,-0.048523939868266,0,0,0.328169412273919,0,0,0,0,0.595443348064584,0,0,0,0,0,0.372077378793345,0,0,0,0,0,0,0,-0.0234310608380745,0,-0.165201412085868,0,0,0,0,0,0.0334539567756281,0,0,0,-0.0697018917477603,0,0,-0.242596999640079,0,0,0,0,0,0
