,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600918.CH.Equity,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.349216768389164,0.146933574265172,0.0330954702698409,0.233575679654064,0,0,0,0,0,-0.0103342394013507,0,0,0,0,0,0,0,0,0,0.131453372681397,1.73472347597681e-18,0,0,0.0584181827897894,0.0796165039312654,0,0,0.0404994921593591,0,0,0,-0.00566826175019026,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0310687620798056,0
X601318.CH.EQUITY,0,0,0,0.0933207573647303,0,0,0,0,0.18950031084426,0,0,0,0,0,0.0270693418314506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486255242272038,0,0,0.0241421853496095,0,0,0,0,0.155872804256753,0.249928369750365,0,0,0.000986689680872838
X600036.CH.EQUITY,0,0,0,0,0,0.162341652114928,0,0,0,0,0.0231508411173109,0,0.197486969782914,0,0,0,0,0,0,0,0,0,0.0871920547575808,0.122145792021592,0,0,0,0.0106942170526895,0,0,0,0,0,0,0,0,0,0.127602912504357,0.321285868554904,0,0,0,0,0.0814771319368964,0,0,0,0,0.058651230423526,0
X601939.CH.EQUITY,0.522623957953194,0,0,0,0,0,0,0,0.19187639135693,0,0.0338617727475114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108600366135194,0,-0.0429099601086974,0,0,0,0,0,0.133422201054649,0.124051935447811,0,0,0,-8.67361737988404e-19,0,0.105514068883798,0,0,0,0,0
X601288.CH.EQUITY,0,0.0285560896181212,0,0.264934116880437,0,0,0.405880947682638,0,0,0,0,0,0,0,0,0,0.120211700028311,0,0,0,0,0,0.0745511502126996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134076539670787,0,0,0,0,0.0217986050690013,0,0,0,0,0.0262641529710397,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.280866249279969,-0.222783226794683,-8.67361737988404e-19,0,0.27585697173148,0,0,0,0,0,-0.110495222000076,0,0,0,0,0,0.130043221214909,0,0.104165804736482,0,-0.0994051845113895,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.274493404462786,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.366043595276025,0,0,0.0842064733360033,-0.0453334866611934,0,-0.149202566602264,0,0,0,0,0,0,0.133317530418406,0,0,0,0,0.224890972997516,0,0,-0.0157241100790531,0.0615809456189518,0,0,0,0,0.201159836666231,0,0,0,0.162343676529094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.119046994111525,0,0,0,0,0,0.230409857418719,0,0.0429185435532376,0,0,0.0290983355227716,0,0,0,0,0,0.169402315543091,0.12555010931631,0.167695016375917,0,0,0,0,0.0854782002133759,0,0,0,0.0992536273294618,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.155111806250103,0,0.260457815012331,0,0,0,0,0,0,0,0.0164830187981325,0,0,0,0,0,0,0,0,0.219804694660702,0,0,0,0,0.240520694128934,0,0,0,0,0,0,0,0,0.0147564949016462,0,0,0,0,0,0,0,0.0557100367319783,0,0,0,-0.265818242291032,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472280187661131,0,-0.116610181461327,0,0,0,0,0,0,-0.0975336675540594,0,-0.167213584556536,0.110559082736858,0.0656254473664565,0,0,0.28629047592286,0,0.302081062794367,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0567944266972687,0,0,-0.151311607493522,0,0,0,-0.0580925315395677,0,0,0.420811827194313,0,0,0,0,0,0.080150050848258,0,0,0,0,0,0.0849492284146742,0,0,0,0,0.0747295553239312,0.0568375673170161,0,0,0,0.125685461144338,0,0,0.189694481696519,0.0943824392901,0,0.130084023610274,0,0,0,0,0,-0.266888205444452,0.145363633073051,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,1.73472347597681e-18,0.0800271704641721,0,0,0,0,0,0,0,0,0,-0.0641024996399248,0,0,0,0.300160525747222,0,0.173221098504337,0.0658215636149448,-0.246216165484105,0,0,0,0,0.317138480173841,0.0516116641949731,-0.0818107236969172,0,0,0,0,0,0,0,0,0,0,0.236147877423933,0,1.73472347597681e-18,0,0,0
X000001.CH.EQUITY,0,0.0236410867428936,0.0781692613560066,0,0,0,0,0,0,-0.101273626679473,0.577725220559502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448491658998527,0,0.136343703386421,0,0,0,0,0,0,-0.0236731104327946,-0.0682640060873975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165609489187899,0
X601601.CH.EQUITY,0,0.289479959933376,0,0,0,0.128674291764744,0,0.0614965765561809,0,0,0,0,0,0,0,0,0,0.17156448346424,0,0.0555948337462983,0.180958617599968,0.0712023568004358,0,0,0.0154531852752246,0,-0.117020983444663,0,0,0,0.203272123472131,0,0.0918080381299449,-0.0962577811449236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529403060158173,0,0
X300059.CH.EQUITY,0,0.21059422203397,0,0,0,0,0,0,-0.0676253127009263,0.0951406878497576,-0.0381133771278505,-0.0758977488796761,0,0,0,0.310130767705469,0,0,0.0226240578802631,0,-0.0961958127362677,0.0867022698507948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971950445190201,0,0,0,0,0,0.0996946729821527,0,0,0.223619555986112
X600030.CH.EQUITY,0,0.07640946575814,0,0,0,0,0,0,0,0,0,0,0.0541659689105511,0.0283064589339991,0.102418801745218,0,0,0,0,0.171755622269557,0,0,0,0,0,0,0,0,0.163057733707992,0,0.00841280678722749,0,0,0,0,0.233741751696411,0.136268072884749,0,0,0,0,0,0,0,0,-0.0834852824456201,0.126235702046947,0,0,0
X600000.CH.EQUITY,0.0758464147846074,0,0,0,0,0,0,0,0,0,0,0.0130081469081896,0.0229973485857886,0,0,0,0,0.148156104561735,0,0,0,0,0.0610692680077658,0,0.0254137703924997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302270612910277,0,0,0,0,0,0.0738623143759658,0,0,-0.0991169970151475,0.177155710810381,0
X601328.CH.EQUITY,0,0,0,0.116365070567166,0,0,0.34769428061639,0.0698198500384431,0,0,0,0,0,0.0215492095830791,0,0,0.164109453496782,0,0,0,0,0,0,0.0491230995958634,0,0,0,0.0247278667073712,0,0,0,0,0.0910007335425709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386077190151268,0,0,0.021237564494941
