,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,-0.0807280577225382,-0.215160090007317,0,0,0,0,0,-0.226357769838882,-0.0933339818334626,0,0,0,-0.214132395352198,-0.223547430999478,0,0.219018897482272,0,0.141021089486839,0.987857326174009,0,0,0,0,0,0,0,0,0,0.0331169524084427,0,0,0,0,0,0,0,0,0,0,0.0933410662025153,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0657108786471436,0,0.0425946682848379,0.0306515041577724,0,0,0.563823996773833,0,0,0,0,0.251358811294955,0,0,0.161997841844155,-0.105869103870602,0,0,0,0,0,0,0,-0.0548063135603707,0.00117062102157702,0,-0.699489551601149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.158680734473171,0,0,-0.0259393179487845,0,0,0,0,-0.0637149400704672,0,0,0.164270291492058,0,0,0.237266470489904,0,0,0.178103066046872,0,0,0,0,0,0,0,0,0,0,-0.0558818061823676,0,0,0,0,0,0.158117437962112,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179596002826389,0,0,0,0,0.0321985472639688,0,0,0,0,0,0.0725676395581402,0,0,0,0,-0.130232486993578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,8.67361737988404e-19,0.062370826969929,0,0,0,0,-0.201260169395082,0.241063023306586,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.168328359070667,0,0.181107608803526,0.026369489811746,0.0162957810127513,0,0,0,0,0.431065835288432,0,-0.186509726684782,0,0.0196199479336055,0,0,0,0,0,0.0298438479425241,0.0727077021417824,0,0,0,0.0281015027153858,0,-0.0410517656227942,0,0,0
X601658.CH.Equity,0,0,0.113674981507512,0,0,0,0,0,0,0.0398705358440785,0,0,0,-0.0662975932061239,0,0,0,0,0,0,0,0.155944736791343,-0.239118125645918,0.145430769252853,0,0,-0.251012227114886,0.575133927950016,0,0.00799002286905159,0.171049526394306,0,-0.0199507857309012,-0.16688819147418,0,0,0,0,0,0,0,-0.293173494419178,0.00426717427928477,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.000671168576765301,0,0,0,-0.107046904269699,0,0,0,0.190180838680234,0,0,0.0638951005880631,0,0.153291434091529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941461489814843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275021861206867,0,0,0,0,0.101160022594279,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0646443397195788,0,0,0,0,0,0,0,0.222085728623965,0,0.0956804739881877,0,0,0.223297036771341,0.30170098613153,0,0,-0.257059893790405,0,0,0.370877510173237,0,0,0.0483940300536969,0,0,0,0,0,0,0.0571850307760942,0,0,0,0,-0.0621175625794249,0,0
X600036.CH.EQUITY,0.0117415248626266,0.0161729640409477,0,0,0,0,0.104311634242773,0.0692122833089031,0,0.317423002315121,-0.0410050375619052,0,0,0,0,0,0.0666272729443763,0,0,0,0.0511323573214485,0,0,0.198317010662512,0,0.301769589991713,0.0942682863337145,0,0,0,0,0,0,0,0,0.109615868855581,0,0,0,0,-0.0602660935097358,0,0,0,0.116659883468199,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.06007070309714,0,-0.0389834476436023,0.0561278634445626,0.417258452349966,0,0,0.024002789568128,0.0629547572521351,0,0,0,-0.0996856113458226,0.226439485984376,0,0,-0.0206557350412181,0.241442368103031,0,0,0,0,0,0,0,0,0,0,0.0344347285400881,0,0,0,0,0,0,0,0,0,0.245096401535802,0,0,0
