,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.211065100306661,0,0.088965730979868,0,0,0,0,0.273853073494734,0.0446700475164362,0,0.0510895163287827,0,0,0,0.147037724666001,0,0,0,-0.0251785315740111,0,0,0,0,0.105498736080188,0,0,0,0,0,0,0,0,0,0,0.045164015514798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.442593053506484,0,0,0.0125437752808418,0.0106960198439708,0,-0.0277314567368864,0,0,0,0.208552186779272,0,0.219531910828684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00794172887634882,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0440688806451721,0,0,0,0,0,0,0.0927735952197258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0.0880046463669194,0,0,0.134197780302436,0,0.152028257470827,0.104694371130847,0,0,0,0,0,0,0,0,0,0,0.201400091043803,0,0
X601288.CH.EQUITY,0.422495888754227,0,0,0,0.186611364855644,0,0,0,0,0,0,0,0.0435793232369227,0,0,0,0.12732128245937,0,0.0768955066722378,0,0,0,0,0,0,0.0220468599326542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605792029469605,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.386012094953778,0,0,0,-0.0132011584200475,0,0.0350736256397075,0.213170300417848,0.1058243068172,0,0.0601235749715324,0,0,0.0569688233807524,0,0,-0.118531667711411,0,0.0486205140793598,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.12761239446791,0.0892480416206021,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0
X600036.CH.EQUITY,0,0,0.0934825570318309,0,0,0,0.0316776891401971,0,0,0.0534928624315315,0,0.278630528520254,0,0,0,0.0424138069340751,0,0,0,0,0,0.0990648036242415,0,0,0,0,0,0.0186461016111816,0,0.0292443164645614,0,0,0.0563831099995708,0,0,0,0,0,0,0.208463535915277,0,0,0,0.0456291484469758,0,0,0,0,0,0.0690750317076344
X1299.HK.EQUITY,0,0,0,0,0.362839795246991,0,0,0,0,0,0,0,0,0.31929304542673,0,0,0,0,0,0.287892298917963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714345305193275,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.208853656824728,0,0,0,0,0,0,0,0,0,0,0,0.586546802144228,0,-0.29219428354752,0,0,0,0.788611435258664,-0.928189654599971,6.93889390390723e-18,0,0.560259280377672,0,0,0,0,0,0,-0.0902179859431138,0.23678239173011,0,0,0,0,0,0,0,0,0,0,0,0,0.140780433031762,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232236143024302,0,0,0,0.18592888714868,0,0.187529878579637,0,0,0,0,0.118408750172815,0,0,0,0,0,0,0,0.0527057785454918,0,0,0,0,0,0,0,0,0,0,0.0671459158299552,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341862176559175,0,0.443526664304404,0,0,0,0,0,0,0,0,0.0458300610456911,0,0,0,0,0.558228705578751,0,0,0,0,-0.181005614253963,0.0708904086902258,0,0,-0.51909704788838,0,0,0,0,0
