,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600918.CH.Equity,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY
X601398.CH.EQUITY,0,0.00468727499412272,0.230203087003658,0.0850490140935783,0.0360235423644261,0,0,0.412280923121634,0,0,0,0.108908124465715,0,0,0,0,0,0,0,0,0,0.0714953658147887,0,0,0.0197408055553671,0,0,0,0,0,0,0.0899272819845498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.34483880329269,0,0,0.176495416365027,0,0,0,0,0,0,0,0,0.156796749017505,0,0,0,0,0.0261858110459075,0,0,0,0,0,0.113582928879662,0,0,0,0.081699280325177,0,0,0,0,0.0253878935535556,0,0,0,0,0,0,0.0166026947629946,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.424291805460601,0.178255170580303,0,0,0,0,0,0,0.0171469627669935,0,0,0.26167223027425,0,0,0,0.02404477006302,0,0,-0.146063312956848,0,0,0,0.085811585406114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115345081199281,0,0,0,0,0,0,0.284617719294067,0,0.0441421269759289,0
X600036.CH.EQUITY,0,0,0,0,0,0.214636391914706,0,0.0907249410229254,0,0,0,-0.0953473603715699,0.199583000222806,0,0,0,0,0,0,0,0,0.135285061221271,0,0,0,0.0714210055118516,0,0,0,0,0,0.0219227655968029,0,0.054162343887974,0,0,0,0,0,0.393042564866607,0,0,3.46944695195361e-18,0,0.0735771180458611,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.114500623286384,0,0,0,0.0213043704463737,0.391410569906513,0,0,0,0.0934801117921775,0,0,0,0,0,0,0,0.0103522881673093,0.0562061266144856,0.00945848293476637,0,0,0,0.12762663721397,0,0,0,0,0,0,0,0,0,0,0.0153896853965948,0,0,0,0,0,0,0,0,0,0.0699861168570429,0,0,0
X1299.HK.EQUITY,0,0,-0.0850712721007301,0.0799705219901956,0,0,0,-0.211394514585871,0,0.135258629370051,-0.147721500196477,-0.0381232409241799,0,0,0,0,0,0,0,0,0.187303320251148,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.305293224868059,0.0191928927678032,0,0,0,0,0,0,0,0,0.194845823302301,0,0,-0.00189804315880226,0,0,0,0,0
X601628.CH.EQUITY,0.115326476993099,0,0,-0.0707091439075636,0,0,0,0,0,0.113435197951116,0,0,0,0,0.000146795905532744,0,0,0,0.163358164034951,0,0,0,0,0,-0.0785723727509053,0,0,0,0.580929409552794,-0.127391845219144,0,0,0.0512254152015318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0565179474810498,0
X601988.CH.EQUITY,0,0,0.0540654106541078,0.0355135107168005,0.46621417126723,0,0,0,0,0,0,0,0.155547767434056,0,-0.0190614100290416,0,0,0,0,0,0.0419007567751899,0.0403028450244167,0,0,0,0,0,0,0,0,0,0.0624445964710769,0,0,0,0,0,0,0,0,0.135583795283921,0,0,0,0,0,0,0,0.0435574922919089,0
X5.HK.EQUITY,0,0.321027139812171,0.09387953169248,0,0,0,0,0,0,-0.0214674960725971,0,0.032212893898913,-0.119776204716573,0,0,0,0,0,-0.116993649485209,0,0.236387031712013,0,-0.0229080442924682,0.230148031631519,0,0,0,0,-0.00421095592433203,0,0,0,0,0,0,0,0.0391375836078007,0,0,-0.108747089693536,0,0,-0.236024601245843,0,0,0,0.208077011880664,0,0,0
X388.HK.EQUITY,0,0,0,-0.321316302587421,0,0.234343507157505,-0.0206587248648059,0,0,0,0.0424029129776059,0,0,0,-0.0382367284722039,0,0,0.135610671710036,0.326880699703707,0,0,0,0,0,0,0,0,-0.0919025285408144,0,0,0,0,0.0511380588480641,0.0718436820702335,0,0,0,0,0.120157828619393,0,0,0,0,-0.104381298115431,0,0,0,0.281498878112641,0,0
