,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600926.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.229960751398816,0.0445540154738383,0.0878816661902841,0,0,0.416034123207163,0,0,0,0.107635362684523,0,0,0,0,0,0,0,0,0,0,0.0696408365924694,0.0198168209621164,0,-6.93889390390723e-18,0.00940417921159423,0,0,0,0,0.083859035204748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.330719232797028,0,0,0.15718255575898,0,0,0,0,0,0,0,0,0.151274520608655,0,0,0,0.023109306287151,0,0,0,0,0,0,0.154318891283441,0,0,0,0.0845572898963941,0,0,0,8.67361737988404e-19,0,0.0149032612480252,0,0,0,0,0,0.0311492005089454,0,0,0,0,0,0.0249749944294256,0,0
X601939.CH.EQUITY,0.599960267876129,0.244656716263886,0,0,0,0,0.05496726259511,0,0.0131065506796843,0,0,0.0885135004527492,0,0,0,0,0,0,0,-0.210649350683744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10320950274065,0.14970549736035,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.108953930377452,0,0,0,0.0052191327662037,0.451916106834233,0,-0.0261035152741937,0,0.0384393908130153,0,0,0,0,0,0,0,0,0.16531364906607,0,0.0324368948670131,0,0,0.149958842505681,0,0,0,0,0,0,0,0,0,0,0,0.0202170020795631,0,0,0.0489819982017773,0,0,0,0,0,0.0202852993774232,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.16020542599241,0.0774845315022272,0.0586351181388638,0.0448141644247585,0,0,-0.157646843902558,0.220881970366605,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.181706623865074,6.93889390390723e-18,0,0.0289345886867689,0,0,0,0,0,0.0318236267383228,0.0344020904745075,0,0,0,0,0,0,0.386253506864389,0,0,0,0.0835696563633124,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0988069462565584,0,0.0774424164716645,0,0,-0.190754704895437,0,0.133267578404766,-0.138612116524848,-0.0294141862176704,0,0,0,0,0,0,0,0,0.180660238918911,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.319543305878238,0,0,0,0,0,0,0,0,0,0.210741820921316,0,-0.01576619780254,0,0,0,0,0,0
X601628.CH.EQUITY,0.160444845858632,0,0,0,-0.0706799471056939,0,0,0,0,0.0806771281076891,0,0,0,0,0,0,0,0,0,0.172159903305524,0,0,0,-0.098842972559138,0,0,0,0,0.579452320591218,-0.123693505033132,0,0,0,0.0497249178917381,0,0,0,0,0,0,0,0.0172395788183995,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0326844085812304,0,0.0618523747771992,0.499139147227407,0.0132731667439805,0,0,0,0,0.00888631627945257,0,0,0.17822565171655,0,-0.0373547276463196,0,0,0,0,0,0.0777278670493647,0,0.0440519552001058,0,0,0,0,0,0,0,0.0317270053129002,0.0172617509819821,0,0,0,0,0,0,0,0,0.0706046197047673,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.255652602900101,0.150935398186702,0,0,0,0,0,0,-0.0311753149229807,0,0,-0.0712481761894025,0,0,0,0,0,0,-0.224389779638577,0.242158113276851,0,0,0.0109676686993479,0.199472506566131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0955175771934553,0,0,-0.148321700455083,0,0,0,0.168132204143543,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.305059451744125,0.229518087864152,-0.081710106932308,0,0,0,0,0,0.165614064456411,0,-0.0196243335402286,0,0,0,0,0.467058771713962,0.0165449858340461,0,0,0,0,0,0,0,0,0,0,0,0.298031797893703,0.0453731563586218,0,0,-0.240454925233134,0,0.142480109136644,0,0,0,0,0.0677831845692877,0,0,0,0,0,-0.0291522979897572
X601166.CH.EQUITY,0,0,0.0960890633348682,0,0,0,0,0,0.0262943258296885,0,0,0.0743463608199292,0.263881964424672,0,0,0,0,0,0,0,0,0,0,0.171750890438152,0.0157995721649091,0.33240483236011,0,0,-2.16840434497101e-19,0,0.0121281140205025,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,-0.303231867381143,0,0,0.170661482635416,-0.0332989400921471,0,0.360943540899594,0,0,0,0,0.141379329372788,0,0,0,0.102588765957236,0,0,0,0,0,0,-0.132414348540487,0,-0.0906027618696295,0,0,0,0,0,0,0,0,0,0,0,0.346394384709655,0,-0.0166762073012312,0.216403222170692,0,0,0.0958383464124204,0,0,0
X000001.CH.EQUITY,0,0.114367502479414,0,0,0,0,0,0,0,0.0818825228225214,0.338119529674459,0,0,0,0,0,0,0,0,0,0.0848731385924724,0,0,0.366045246756584,0,0,0,0,0,0,0,-0.163647364858871,-6.93889390390723e-18,0,0,-0.0602284388673356,0,0,0,0,0,0,0,0.285722096463107,-0.0860758787164207,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00470032255126575,0,0,0,0,0,0,0.179769558716673,0,0.185277986687171,0,0,0,0,0,0,0.0955181308164696,0.197046392552998,0.0957247331651108,0,0,0.0304021413559271,0,-0.0588052584992745,0.157015255299867,0.0515517485422627,0,0,0.0404849752205435,0,0,0,0.0250653805092643,0,0,0,0,0,0,0.0530213212209367
X601601.CH.EQUITY,0,0.543694254942904,0.0413140533831185,0,0,0,0,0.131439860304119,0,0,0,0,0.188873318035075,0,0,0,0,0,0.183445153439542,0,0,0,0,0,0,0,0,0,0.0185124248267791,0,-0.095536431476757,0,-0.0624638791814089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0669859236903816,0,0,0,0,0.0169459186205985,0,0,0,0.15901925899002,0,0,0,0,0.215767225526113,0,0,0,0,0.13535263773251,0,0,0,0,0,0,0,0.0889940454089767,0.0736321591885409,0.0970350077571655,0,0,0.0280924615326248,0,0,0,0,0,0.0567750608200711,0.00492754624050887,0,0,0.0886577663546213,0,0,0.0403312154545639,0,0
X600000.CH.EQUITY,0,-3.46944695195361e-18,0,0,0.0988983166050683,0,0,0,0,0,0.0301234649152277,0,0,0,0,0.507191544072419,0,0,0.00861775147273113,0,0,0,0.0596799451660042,0,0,0,0,0,0,0,0,0,0.0214588164582514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182559473904397,0,0,0
