,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X2886.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X601901.CH.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0,0.514850817084551,0.0783332311740536,0.0413400047019961,0.084140860847313,0.0689086421916642,0,0,0,0,0,0,0.024951859581573,0.00957525941848495,0,0.0803526870392489,0,0,0,0,0.0140225044005064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0249327905793866,0,0,0.192738812932899,0,0,0,0,0.227458517612544,0,0,0,0,0,0,0.0850637935293939,0.101146439461369,0,0,0,0,0,0.21635780793029,0,0,0,0,0.0231096092448761,0.0250342582734955,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.437466340857978,0,0,0.246379129745409,0.0273820998503212,0,0,0,0,0.0301098057053904,0,0,0,0,0,0,0,0,0,0,0,0,0.163354421318471,-0.00814899427303461,0,0,0,0,0,0.0311767666129122,0,0,0,0,0,0,0,0,0,0,0.0378284876134017,0,0,-1.73472347597681e-18,0,0,0,0
X601288.CH.EQUITY,0.253786210376304,0.0445151900325532,0.0536736806010398,0,0,0.109737038343242,0,0,0,0.129294330517123,0,0,0,0,0.170332560316457,0,0.101431368877532,0,0,0,0,0.057073707975457,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.0418693124545539,0,0,0.0158388697103482,0,0.00415832383221166,0,0,0,0
X5.HK.EQUITY,0,0,0.262352055350361,0,0,0,0,0,0,0.183641025302585,0,0,0,0.249793220872422,-0.103901239821001,0.208073386791334,0,0,0,0,0,0,0,0,0,0,0,0.225831505687631,0,0,0,0,0,0,0,0,0,0,0.482976570544067,0.0534367360596659,0,0,-0.181444873841528,0.167523857980098,-0.983630682948546,0,0.0222511746748365,0
X601988.CH.EQUITY,0,0,0,0.115280673725062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175194183114405,0,0,0,0.117148856262876,0,0.00546362542221583,0,0,0.130999580889609,0.0260439971340261,0.10412781900177,0,0,0,0,0.0302767339529375,0,0,0,0,0,0.150361744252495,0,0,0,0,0,0
X600036.CH.EQUITY,0.0517920232598464,0.0934041875356746,0,0,-0.0649424087476891,0,0,0.0540871758811466,0,0,0.110648070870529,0,0.192007864872666,-0.039246784409013,0,-0.0343962139690318,0.0542888342522247,0,0,0,0,0.406983714773445,0,0,0,0.0822324104863872,0,0.0395175401409444,0,0,0,0,0,0.0884184008587977,0,0,-0.0752886455611422,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.00527578169150619,0,0.326478564940939,0,0,0,0,0,0,0.284780278688694,-0.144265308971999,0.104481376447545,-0.0664839829038398,0,0,0,0,0,0,-6.93889390390723e-18,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0387535303008189,0,0,0.21917424020932,0,-0.15223816157363,0,-0.210876465844082,0,0,0,0,0
X601628.CH.EQUITY,0,0.100047605604232,0,0,0.0378409031195867,0,0,0,0,0,0,0,0.11816539065359,0,0,0.0140798871072111,0,-0.136880639040912,0,-1.0842021724855e-19,0,0,0.116774585498396,0.250459673407341,0,0,0,-0.0242711566127216,0,0.11331808220027,0.170434610995521,0,0,0,0,0,0,0,0,0,0,0,0,0.0797719436293072,0,0,0,0
X601328.CH.EQUITY,0,0.242694007521373,0,0,0.0374112009794129,0,0.0138005585387236,0,0,0,0.0464728237818023,0,0.0302002673113633,0,0,0,0,0.00153945902348216,0.262702801629238,0,0,0,0.0387666377031115,0,0,0,0,0,0.140614097624452,0.175394567986455,0,0,0,0,0,0,0,0,0,0,0.0408360780386062,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.07310145417694,0.158032078872297,0,0,0,0.146688347137346,0.00748131314038019,0.117550670038396,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.267434274450126,0,0,0,0,0,0,0,0,0,0,0,0,0.0744697979604991,0,0,0,-0.0086695620731939,0,0,0,0,0,-0.0012448679640582,0,0,0,0,0
X601319.CH.EQUITY,0,-0.0908701820472414,0,0,0,0,0,-0.275438396867002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702178578144067,0,0,0,0,0,0,0,0,0,0,0,0.0544131316701999,0,0,0.0561723919907951,0,0.295635001609326,0,0,0,0.252353352790706
X600000.CH.EQUITY,0,0,0,0,0,0,0.166828041962151,0.0145020985243312,0,0.0208184889954212,0,0,0,0,0,0,0,0,0,0.167382941354313,0,0.121365428650359,0,0.031979208334096,0,0,0,0,0,0.063464625535029,0,0,0,0.00522753695200928,0,0.178503990902535,0,0,-1.35525271560688e-20,0,0,0,0,0.209457451879486,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0403415652456224,0,0,0.0120952510328677,0,-0.197750609307122,0,0,0,0,0.226357014269846,0.147892974926146,0.231115033635242,0.15147245917509,0,0,0,0,-0.0714431217373726,0,0,0,0.0832010432147797,0,0,-0.107181747139304,0,0,6.93889390390723e-18,0.121241945968827,0,0,0,0,0,0,0.156941372680869,0,0.245663556283868,0,0,0,0,0.163295835884801
X601601.CH.EQUITY,0.221246678220693,0.19363142522397,0,0,0,0,0,0,0,0,0,-0.0463896088438786,0,0,0,0,0.105098717944833,0,0,0,0,0,0,0.0582064416095745,0,0,0,0.0328571329770863,0,0,0,0,0,0.00696723030708648,0.137644163271076,0.0874026700852218,0,0.0408792974263406,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.189455900116806,0,0,0.0182771435234378,0,0,0,0,-0.06140906829665,0,0,0,0,0.0215099149046932,0,0,0.0203260844368045,0,0,0,0,0.0173458384878055,0,0,0,0,0,0,0,0,0,0,-0.000135634112095231,0.134807186364686,0,0,0.0966138946653221,0,0,0,0,0,0,0
