,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X2892.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0.156986434482377,0,0.263221419932351,0,0,0,0,0,0,0,0,0.228830961891178,0,0,0,0,0,0,0,0,-0.0250649441688272,0,0,0,0,0,0,0,0.196443390425715,-0.133223981436287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191072669691881,-0.0617586770404681
X601318.CH.EQUITY,0,0,0,0,0,0.210646940628386,0,0,0.141805419135912,0,0,0,0.180865324288003,0,0,0,0.0662903283815007,0,0,0,0,0,0,0,0,0,0.206411891308359,0,0,0.381584800484993,0,-0.232379231864679,0,0,0,0,0,0,0,0,0.220227415659261,0,-0.098477370919056,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.757716515954481,0,0,0.0171943459602951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123066813455818,0.0760744160252223,0,0,0,0,0,0.15325488529897,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033335646222358,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.444769868484851,0,0.00381910546652535,0,0,0.270793579647964,0,0,0,0,0,0,0,0,0.0395861309467947,0.067771714358193,0,0,0,0,0,0,0,0,0,0,-0.0522065546240534,0,0,0,0,0.196130080986347,0,0,0,0,0,0,0,0,0.0257291947032953,0,0,0,0,0,0,-0.0649268000567924,0.0393928184739978,0
X5.HK.EQUITY,0,-0.140407369084973,0.0990185750711507,0.114645245625856,0,0.0632844055478749,0,-0.205088020724941,0,0,0,0.0761091279213143,0.165429368690905,0,0,0,0.596277438653542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091755076145353,0,0,0,0,0,0,0,0.0787956350381135,0.180015687071542,0,0,0
X601988.CH.EQUITY,0.15592605967901,0.155021701996165,0.384599794246462,0,0,0,0,0,0.0330360614882143,0,0,0.0910846465539806,0,0,0,0,0.244005688303798,0,0,0,0,0,0,0,0,0,0,0,0,0.027152126811687,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0627656169766012,0,0,0,0.00180675064913929,0,0,-0.0749366147486129,-0.0275203245077685
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.227653919441436,0,0,0.0562544282954001,0,0.145358726958067,0.3493910638578,0,0,0,0,0,0,0,0,0,0.0945199624560382,0,0,0.12803313101329,0,0.0799392832386382,0,0,0,0,0,-0.0360185382693237,0,0.0633629791468928,0,0,0,-0.0319069873442894,0.00584314843737981,0,0,-0.0270284979527031,0,-0.0438553265605222,0,0,0
X1299.HK.EQUITY,0,0,0.112026384676528,0,0,0,0,0,0.106811675892945,0,0,0,0,0,0.0897141646608194,0.433595905097586,0,0,0,0,0.083312004573835,0,0.190685542696379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227192827166157,0,0,0,0,0,-0.0586279449108996,0
X601628.CH.EQUITY,0.267798969874655,0.135136518192401,0,0,0.114587567612823,0,0,0.264578387442517,0,0,0,-0.00480299251065324,0,0,0,0,-0.310025533992461,0,0,0,0,0,0.0851243266036082,0,0,0.150341983476849,0,0,0,0,0,-0.102606189818512,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.00515547387922342,0,0.0313009056125018,-0.0398165657047018,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,-0.0577663407513638,0,0.0408609446321083,-0.331629453777012,0,0,0,-0.0409960825362843,0,0,0,0,0.589668158070165,0,0,0,0,0,0,0,0,-0.413514242824095,0,0,0,0,0,0,0,0,0,-0.198638371897959,0,0,0.37723450724528,0.35463746231404,0.167493021058365,0,0.221759911643629,0.0346565179322761,-0.0205013903921555,-0.328267575887152
X601166.CH.EQUITY,0,0,0.0364964178606884,0,0,0,0.474789179244433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005795647702697,0,0.180303589315584,0,0,0,0,0,0,0,0,0,0,0.0753001847064955,0,0,0,0,0,0,0,0,0,0,0.26504825296075,0,0,0
X601328.CH.EQUITY,0,0,0.195130301740216,0,0,0.0248477907592741,0.0682411684171759,0,0,0,0,0,0.457541765806756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054256935112966,0,0,0,0,0,0,0,0,0,0,-0.123900370004626,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0223663697974574,-6.93889390390723e-18,0,0,0,0.10446879082102,0,0,0,0,0.552932206351587,0,0.21182145143948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284343090840354,0,0,0,0,0,0,0,0,0.164218401649875,0,0,0,0,0,1.35525271560688e-20,0,0,0
