,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.213481723304707,0,0.377982714305271,0,0,0,0,0.0783470640800838,0,0,0.153640555128092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118178826207912,0,0,0,0,0,0,0.161443879417976,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.391757889385651,0,0,0,0,0,0,0,0,0,0,0,0.478430447281309,0,0,0,0,0,0,0,0,0,0,-0.0505998424294508,0,0,0,0,0.0492146070327762,0,0,0,0,0,0,0,0.0332696263711013,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.110353421289765,0,0,0,0,0,0.0927733328954449,0,0,0,0,0,0,0,0,0,0.0784797311610488,0,0,0,0,0.177850065498091,-4.33680868994202e-19,0,0,0,0,0,0,0.4230446311292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477566766628461,0,0,0,0,0
X601288.CH.EQUITY,0.421483218377534,0.0478399593886802,0,0,0.332299492633104,0,0,0,0,0,0.107140091557047,0.0107557701032956,0,0,0.0353223159801868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.115514747123508,0.264634175674609,0,0,0,0.0323083919085191,0,0,0,0,0,0,0,0,0.0698482311295223,0.09002853874153,0,0,0,0.0321013232145128,0,0,0,0.0275988494886639,0,0,0.0267822186758876,0,0,0,0,0.190710748768766,0,0,0.16153037530686,0,0,0,0,0,0,0,0,0,0.0145235039890027,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.148194322139105,0,0,0,0,0,0,0,0,0,0,0,0,0.395746179002556,0.0319368453096169,0,0,0,0,0.132647833916523,0,0,0.604347476452847,0,0,0,0,0,0,0,-0.271058154305921,0,0,0,0.152786099539675,0,0,-0.226075184041883,0,0,0
X600036.CH.EQUITY,0,0,0.0697412385599075,0,0,0.0368117507022105,0,0.0510428012360005,0,0.0412180314797269,0,0.285162196966564,0,0,0,0,0,0,0.00509024269691411,0,0,0,0,0.11400040070357,0,0,0,0,0.0790145826354684,0,0,0,0,0,0,0,0,0,0,0.183927806478951,0.108324186496313,0,0,0.0819870771210228,0,0,0.00334446696309207,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270375902940052,0,0,0,0.0393653009050101,0,0,0.452176124025984,0,0,0,0,0,0,0.0927346053017421,0,0,0,0,-0.101910642112614,0,-0.125393475846396,0,0,0,0,0.402985654400383,0,0.0796110138638155,0,0,0,-0.108529650786503,0,0,0
X601628.CH.EQUITY,0.0594174793028497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404427922946552,0.283295878548812,0.203282364298443,0,0,0,0,0,0,0,0.0936415355318112,0.168164183918831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11182643603423,0,0,0,0.034446441176984,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,-0.00389237881462243,0,0,0,0,0,-0.333389783186886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734427027593286,0,-0.112814379703461,0,0,0,0,0.0892047041911471,0,-0.0338102007547968,0,0,0.90901609137589,0,0,0,0,0,0,0.508422811887747,0
