,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.207760981195168,0,0.0597464131390904,0,0,0,0,0.265327101190582,0.0334676134238091,6.93889390390723e-18,0,0,0,0,1.38777878078145e-17,0.162047509718041,0,0,0,0,0,0,0,0.161726761066251,0,0,0,0,0,0,0,0,0,0,0.0379946163593511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.476323725347363,0,0,0,0,0,-0.0449942232081816,0,0,0.00676542524783298,0.176060310896137,0,0.24742978390444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561526142167991,0,0,0,0.0102443347873019,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.147015497767411,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118986434576086,0,0,0,0,0.223678448874515,0,0,0,0,0,0,0,0,0,0,0,0.278590503741129,0,0
X601288.CH.EQUITY,0.381143882890062,0,0,0,0.352259207736414,0,0,0,0,0,0.0752096742120886,0,0,0.0506626042215178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885591774763885,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.314624858606773,0,0,0,0,0,0,0.32079154802154,0,0,0,0,0,0.103752454236025,0,0.0119313016160664,0,0,0,0,0,0,0,0,0,0.0878947030190026,0.0740405483537933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277875024680486,0,0,0,0.093098407037264,0,0
X600036.CH.EQUITY,0,0,0.11974535806138,0,0,0,0.0457103587290311,0,0,0.0537519151605736,0,0.292536867592077,0,0,0,0,0,0,0.101226078800173,0,0,0,0,0,0,0,0,0,0.0154731714243453,0.0175499792201017,0,0,0.0449470786310593,0,0,0,0,0.00807677819473801,0,0.205238923642328,0,0,0,0.0412011026372426,0,0,0,0,0.0536103618319333,0
X1299.HK.EQUITY,0,0,0,0,0.348745804882867,0,0,-0.056669899137719,0,-0.0257151235505551,0,0,0,0.351131602198197,0,0,0,0,0,0.325228917667223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994066814630431,0,0,0,0,0,0,0,0.052106317592013,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.101836958898226,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.308410792895435,0,0,-0.280375693787366,0,0,0.919274083959123,0,-0.797537683818903,0,0.620567506511542,0,0,0,0,0,0,0,0.270184831958879,0,0,0,0,0,0,0,0.0109976348137259,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0430669784022787,0,0,0,0,0,0.292299226728572,0,0,0.0606745829986894,0,0.217600527386508,0,0,0,0,0,0,0,0.145037820865115,8.67361737988404e-19,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0589651552500922,0,0,0.025040022620072,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0767382496718746,0,0,0,0,0.431878581608588,0.443933255878009,0,0,0,0,0,0,0,0,0,0,0.12383227198008,0,0,0,0,0.483310708814282,0,0,0,0.0911631706825149,-0.200710016590458,0,5.55111512312578e-17,0,0,-0.516379666066404,0,0,0,0
