,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.139070174010175,0,0,0,-0.0154412944738045,0,0,-0.0444565716210095,0,0,0,0,0,0,0,0.616020872606635,0,0,-0.177108612030299,0.120304702466923,0,0,0,-0.270706642393774,0,0,0,-0.038593254811177,0,0,0,0,0,0,0,0.181742577085771,0,0,-0.0369149808281368,0,0,0,0,0.072202059630196,0
X601318.CH.EQUITY,0,0,0,0,0,0.202168148591903,0,0,0,-0.013015500779059,0,0,0,0,0,0,0.027339561693248,3.46944695195361e-18,0,0,0,0,0,0,0,0.0935411102330277,0,0,0,0,0,0.261186059996662,0,0,0,0,0.109452744138894,0,0,0.30009498400315,0,0,0,0.0394457119205172,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.778718303391379,0,0,0.0132945872583841,0,0,0,0,0,-0.013858620804791,0,0,0.0278052498398627,0,0,0,0.0247629551143933,0,0.0484985151396207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412223537622426,0,0,0.0469097492460496,0,0,0,0,0.0634122629153054,0,0.0875486227928794,0,0,0,0
X601288.CH.EQUITY,0,0,0.816108798104547,0,-0.0802274574934465,0,0.117248733167586,0,0,0,0,0,0,0,0,0,0.00394970703271069,0,0,0,0,0.0339508015087171,0,0,0,0,0.0102653635474993,0,0,0.0858947813841722,0,0,0,0,0,0,-0.0243935593191338,0,0,0,0,0,0.0135945200528882,0,0,0.101114223612661,-0.0826597295572976,0,0,0
X601628.CH.EQUITY,-0.0326608726470185,0.121277121413838,0,0,0,0,0,0,0,0.0438193528784897,0,0.358834833254568,0.11334102141936,0,0,0,0,0,0,0.0176614847942675,0,0,0,0,0,0,0,0,-0.250230220792603,0.160000016366241,0,0.283339441011788,0,-0.0999928962201698,0,0.218785073306006,0,0,0,0,0,0,0,0,0,0,0.121883206257986,0,0,0
X600036.CH.EQUITY,0,0.0152708671372735,0.404594563665995,0,0,0,0,0,0.0274832544706287,-0.00537164374178198,0,0,0,0,0,0.104209873716689,0,0,0.000406570620948172,0,0,0.200628127039973,0,0,0.11136962050312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0098985622007653,-0.0951574455994448,0.041522176183767,0,0.00567669282374178,0,0.0279717120577799,0,-0.0559189703172411,0,0.383484152018769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795799296645001,0,0,0,0,0,0.739672650095184,0,-0.127312219103975,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.311577461549666,0,0,0,0,0,0,0.217919273647072,0.235300338868971,-0.00593064888829556,0,0,0,0,0,0,0,0,0,-0.0895608300657122,0.394612329497956,0,0,0,0,-0.00910223192140254,0,0,0,0,0,-0.176078191966301,0,0,0,0,0,0.0337087180112592,-0.086622797727593,0.231630651061513,0,0,0,-0.124640700308638,0,0.313181329062234,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303012976591615,0,0,0,0.0605878326629176,0.614574522916384,0,0,0.14280942698257,0,0,0,-0.0040896665369367,0,0,0,0,0.156286465643382,-0.227616011965505,-0.0783611831625736,0,0,0,0,0,0,0,0.0916653847155408,0,0,-0.264073588436401,0,0
X388.HK.EQUITY,0,0,0,0,0.313170069607447,0,0,0,0.303298309976731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666408423701168,0.0510899661657268,0.263383152068124,-0.142613791806007,0,0,0,0,0,-0.0197385281627688,0,0,0.164955680429925,0,0,0,0,-0.30879532867891,0,0,0,0,0,0,-0.126706412038073,0,0
X601658.CH.Equity,0,0,0,0.230648388009657,0,0,0,0,0,0,0,0,0,0,0,0,0.124288705691588,0.201049064958875,0.00377182531262269,0,0,0,0,0,0,0.073933690369279,0,0,0,0,0,0.123872812990926,0,0,0,-0.0305925630441638,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0
