,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.308281070338763,0,0,0,0,0,0,-0.0272795642686051,0,0,0,0,0,0,0,0.28102203792019,0,0,-0.171182155513182,0.140472969387734,0,0,0,0,-0.103693516213857,0,0,0,0,0,0,0,0,0,0.1008254424874,0,0,0,-0.0322666783192174,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.190548641748045,0,0,0,-0.0455815784727845,0,0,0,0,0,0,0.0253114908157269,0,0,0,0,0,0,0,0,0.0909616126184167,0,0,0,0,0.278485044299172,0,0,0.0972228857572605,0,0,0,0,0.321880857335402,0,0,0,0,0.0738938695787007,0,0,0,0.018722830124915,0,0
X601939.CH.EQUITY,0,0.0517367067284307,0,0.734918458315986,0,0,0.00683412060533467,0,0,0.035391677449111,0,0,0,0,0,0.00119200926547394,0,0,0,0,0,0,0.0119481467908756,0,0.0160334778187384,0,0,0,0,0,0,0,0,0,0,0.0613810156514267,0,0,0,0,0,0,0,0.0329900243408515,0,0,0.120433865841151,0,0,0
X601288.CH.EQUITY,0.065967705089418,0,0.790319595864136,0,-0.0624582022370538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555989412762994,0,0,0,0,0,0.101137463860194,0,0,0,0,0,0,0,0,0,0,0,0.0162619718443215,0,0,0,0,0,0.115166533154397,-0.10433088812137,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.100219691491565,0,0.242918854375999,0.156188302851444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174732935807325,-0.16919141764922,0.397003771925166,0,0,0,0,0,0.164692816896629,0,0,0,0,0,0,0,0,0,-0.0109781258630864,0.128426073536185,0,-0.0755935281877747
X600036.CH.EQUITY,0,0.0152907865292533,0.403269935868979,0,0,0,0,0,0.0285257806425319,-0.00535091541669194,0,0,0,0,0,0.10422919110936,0,0,0.000413106838085353,0,0,0,0.204468569521019,0,0.112755563187872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0765983213504425,-0.015886860748483,0,0,0,0,0,0,-0.0138589419079986,0,0.0530107235109545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190507666311783,0.958780997390158,0,0.0698451104485382,0,-0.0121304537335259,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.181283768671774,0,0,0.16086669694933,0,0,0,0.136645461255451,0.187017705770172,-0.0299735153126285,0,0,0,0,0,0,0,0,0,-0.10749545015944,0,0.483270557424439,0,0,0,0,0,0,0,0,0,-0.144745532613891,0,0,-0.0723501075435869,0,0,0,0.198950376841597,0,0,0,0,0,0.0242666985568898,0,0.326991207664451,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584325786860945,0.162720244746393,0,0,0.0830098136974481,0,0,-0.00563354878321781,0,0,0,0,-0.0679106740302721,0,0.132578168873538,-0.22370170761886,0,0,0.0169924039873636,0,0,0,0,0,-0.213980044255875,-0.0167161127610404,0,0,0
X388.HK.EQUITY,0,0,0,0,0.3851745787044,0,0,0,0.237921718067607,0,-0.31549003782931,0,0,0,0,0,0,0,0,0,0,0,0,0.0300628009394845,0.0598289657492467,0.29962879738904,-0.106944411806282,0,0,0,0,0,0,0.0895315307529434,0,0,0.172323356989335,0,0,-0.257348989373666,-0.177617515275732,0,0,0.11476982168585,0,-0.061453498916253,0,0,0,0
