,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X601788.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.048460696661533,0.00304872516077594,0.143622489268387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616611088095882,-0.35936237769336,0,0,0,0,0,0.00690793490358006,-0.149539198487717,0,0,0,0,0,0,0,0,0.0968838278742976,0.150841296578512,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.226247432250741,0,0,0,-0.0716940856661207,0,0,0,0.143938250686288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101760351273799,0,0.260811304795595,0,0.0228329445597218,0,0,0,0,0,0,0,0.160145980289217,0,0,0,0,0,0.0122595848221601,0,0,0,0
X601939.CH.EQUITY,0,0.0817631221178095,0,0.802133468213938,0,0,0.00154494571765773,0,0,0.04359108528013,0,0,-0.010326771080922,0.014437492901695,0,0,0.0800361056640037,0,0,0,0,1.73472347597681e-18,0.0266927023055267,0,0,0,0,0,0,0,0,0.0685593287896826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.794825134781137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018944822748282,0,0,0,0.0166439710614521,0.0493563207934574,0,0,0,0,0,0,0,0,0,0,0.0782329016254475,0,0,0,0.0234856162916137,0,0,0.106256496300408,0,0,0,0,-0.228332508400648,0,0,0,0
X601628.CH.EQUITY,0.0115551767327995,0,0,-3.46944695195361e-18,0,0,0,0,0,0.231465742839763,0,0.183807715720606,0,0,0,0,0,0,0.226695470493837,0,0,-2.77555756156289e-17,-0.125094272569626,0,0,0,0,0,0,0,0,0.316798904104177,0,0,0,0,0,0.22699065816561,0,0,0,0,0,0,0,0.101991562562047,0,0,0,0
X600036.CH.EQUITY,0,0.0270394470350684,0,0.375332808807161,0,0,0,0.0200942823644808,0.0405854072553072,0,0,0,0,0,0,0.131065358309066,0.010582325070119,0,0,0,0,0,0.0859053953575318,0,0.091125518899455,0,0,0.0175342747879089,0,0,0,0,0,0,0,0,0,0,0.0479547619258842,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0765735437590463,-0.0454810104741569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399670202495162,1.73472347597681e-18,-0.143961429520035,0,0,0.982611546174819,0.0926556970783827,0,0,0,0,0,0,-0.0318628589806364,-0.0198121026076942,0
X1299.HK.EQUITY,0,0,0,0,0.133236934832003,0,0,0,0.00327581730753987,0,0,0,0,0,0,0,0,0,0,0,-0.0497746854404337,0,0,0.141676447078899,0,0,0,0.470368653034666,0,0.274362217330857,0,0,3.46944695195361e-18,0,0.00958087677347797,0,0,0,0.00220486495713768,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017849359466348,-0.0209927032901362,0.227905463247506,0.525512194524969,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.150547134249074,0,-0.175543500371236,0.0640778193545118,0,0,0,0,0,0,0,-0.240428948065921,0,-0.056908714809395,0
X388.HK.EQUITY,0,0,0,0,0.346683950327896,0,0,0.320070999787853,0.177702112366886,0,0,0,0,0,0,-0.206229857212472,0,0,0,0,0,0.149980762560613,0,0,0.188721069623364,-0.116226917431248,0,0.199387140393744,0,0,0,0,0,0,0,0,0,0,-0.295249003811239,0,0,0.0907613289298279,0,0,0,0,-0.304994123741342,0,0,0
