,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.128251375282517,0,0,0,0,0,0,0.287571172350867,0,0,-0.212613510243027,0,0.0696583396228377,0,0.221959374502942,0,0,0,0,0,0.153208285596395,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375253079473891,0,0,0,0,0.179224855936084,0,0,0.114149499266126,0.0931741980417301,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.22869144417776,0,0,0.161596048218125,0,0.0594735884642886,0,0,0,0,-0.0850514451378741,0,0,0,0,0.173626930969941,0,0,0,0,-0.283299435878514,0.296918310887328,0,0.204762505479739,0,0,0,0,0.0897159218390405,0,0,0,0,0,0,0,0,-0.00412470909888342,0,0
X601939.CH.EQUITY,0.428385399494791,0,0,0.0919432686516901,0,0.101685344557877,0,0,0,0,0,0,0.0963543156550521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371106438277427,0,-0.0823333268447746,0.0522658041834722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0738056506578469
X601288.CH.EQUITY,0.541634388831146,0,0.0031243553323708,0,0,0.153604426011245,0,0,0.017720401834269,0,0,0,0,-0.0367415798528827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151072003075745,0,0,0,0,0,0.0394287827779367,0,0,0,0,0,0.338241991936905,0,0,-3.46944695195361e-18,0,-0.0226770525187413,0,0
X5.HK.EQUITY,0,0,0.131672347442416,0,0,0,-6.93889390390723e-18,-0.272782035978671,0,0,0,0.224388873539867,0,0,0,0.732006750230584,0,-0.0251848629002029,0,0,0.031927393419572,0,0,0,-0.0720336703743828,0,0,0,0,0,0,0,0,0,0.225358928608922,0.145226239325987,0,0,0,0,0,0,0,0,0,-0.0137891443196476,0,0
X601988.CH.EQUITY,0,0,0.109322415352794,0.348469629702578,0.0513824660083967,0,0,0,0.200642380623051,0.135584481749384,0.154520297371681,0,-8.67361737988404e-19,0,0,0,0,0.114071052105362,0,0,0,0,0,0,0,0,0,0.0413003900242902,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156884418645687,0,0,0,0,-0.193195832734191,0
X600036.CH.EQUITY,0,0.375088207047541,0,0,0,0,0,0.0368088053926329,0,0,0,0.0443779232185965,0.256005057169693,0,0.0269723272877245,0,0,0,0,0,0.128526666677188,0,0,0.0859891188665348,-0.0404308646297138,0,0,0,0,0,0.183736120273668,0,0,0,0,0.0193231667380336,0,0,0,0,0,0,0,-0.0125591954144608,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.157420729591785,0,0,0.0976587246414594,0,0,-0.179633440248143,0,0.346907864603411,0.251533145649454,0,0.108644360771499,0,0,0.0495320102912425,0,0,0.00992984296171618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127139820090869,0,0,0,-0.0615273274332306,0,0.110981395326427,0,0,0,0
X601628.CH.EQUITY,0,0.464518819106009,0,0,0,0,0,0,0,0,0,0,-0.111020417327839,0,0,-0.152763550601974,0,0,0,0,0,0,0,0,0.00329447745405426,0,0,0,0,0,0,0,0,0,0.242512082213061,0,-0.193531747530862,0,0,0,0,0,0,0.144699916169323,0,0,0,0
X601166.CH.EQUITY,0.0997006218489343,0,0,0,0,0,0.518969547426237,0,0,0,-8.67361737988404e-19,0,0.0374606756399147,0.260208297727255,0,0,0,0,0,0,0,0,0.0873252932594607,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,1.73472347597681e-18,0,0,0.0831614024721712,0,0,0,0,0
