,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601696.CH.Equity,X601009.CH.EQUITY,X600958.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.0631942725831995,0,0.392783401924115,0,0,0,0,0.226365642882207,0.00532541660136952,0,0.279173777045727,0,0,0,0,0,0.0261027511390945,0,-0.106287213834259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135795002227226,0,0,0,0,0.0530656017048057,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.26071068142681,0,0,0,0,0,0.127107699532443,0,0,0,-1.38777878078145e-17,0,0.367600263411833,0,0,0,0,0,0,0,0,0,0,-0.0247940601945092,0,0,0,0.0494163975400554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171820790767859,0,0.0261490934806931,0,0,0,0,0,0
X601318.CH.EQUITY,0.145720470114739,0,0,0,0,0,0.0596174947290136,0,0,0,0,0.302546529361698,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.170382484073741,0.0464315006699844,0,0,0,0,0,0,0.151625498120183,0,0,0,0,0.0426077892107334,0,0,0,0,0,0,0,0,0,0,0,0,0.00428155534047329,0,0
X601288.CH.EQUITY,0.403696825855175,0,0,0,0.388083183131952,0,0,0,0,0,0.0968610650323026,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507483187262557,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.149227100565914,0.241941826735319,0,0,0,0,0,0,0,0,0,0.064559628586615,0,0,0.0425221138028844,0.0924547711123434,0,0,0,0.0504927301449375,0,0,0,0,0,0.0341385494759126,0,0,0,0,0,0.166306066935216,0,0,0.122821802035255,0,0,0,0,0,0,0,0,0,0,0.0359413783616756,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0133312170388945,0,0.287923096335365,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.372341796791647,-4.33680868994202e-19,0,0,0,0,0,-0.0202043882900147,0,0.520833106184857,0,0,0,0,0,0,0,0,-0.185241718368827,0,0,0,0.172707693619211,0,-0.116471321651391,0,0,0
X600036.CH.EQUITY,0,0,0.0661674049929322,0,0,0,0,0.084733079549126,0,0,0,0.415235462116072,0,0,0,0,0,0,0,0.00553450078759007,0,0,0,0.0694795998010891,0,0,0,0.0967257788345554,0,0,0.00552819306885005,0,0,0,0,0,0,0,0,0,0.186889489235101,0,0,0,0.136313685326582,0,0.00226838734983801,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.100147382881219,0,0,0,0,0.265392731423648,0,0,0,0,0.0794093382177915,0,0.371318094651181,0,0,0,0,0,0.103867775720988,0,0,0,0,0,0,0,-0.068158393881893,0,0,0,0.394902651513883,0,0,0,0,0,0,-0.0245854300605699,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0495214704526861,0,0,0,0,0.0652120215763422,0.30973989229566,0,0.0919393498211121,0,0,0,0,0,0,0,0,0.153263053474435,0,0.0508879445010556,0,0,0,0,0.0773657949036205,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.454249641810862,0,0,0,0,0.294891208494175,-0.241863656140383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216413385960618,0,0,0,0,0.443020393425065,-0.0692264215668712,0,0,0,0.074626626202007,1.00135354441558,0,0
