,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601077.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.356309791724839,0,-0.0435511203299732,0,0,0,0,0,0,0,0,-0.0221937823797687,0,0,0,0,0,0,0,0,0.0666313421397731,0,0,0.0456998827480205,0,0,0,0,0,-0.0165094726016274,0,0,-0.036922399052568,-0.0128510459762589,0,0,0,0.207780888195158,0,0.0155005597715381,0,0,0
X601318.CH.EQUITY,-0.0437225321786627,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0304297143330258,0.285727332845701,-0.0206620170811513,0,0,0,-0.03880922542831,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.350988908981796,0.256769301128067,0,0,0,0,0,0,-0.0921637987528156,0.109203690206135,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0714160065607164,0,0,0,0,0,0,0,0,0,0.0590383827385042,0,0,0.0658919632428933,0,0,0,0.251432671937369,0,0,0,0,0.217403515272596,0,0.0680815699708907,0,0,0,0.0629933020162287,0,0,0,0,0,0,0,0,0,0.0155816347669473,0,0,0,0,0,0,0.0715141046759782,0,0
X601288.CH.EQUITY,0.280578103205651,0.0552382497290459,0,0,0,0,0,-0.0310337876390343,0,0,0,0,0,0,0,0,0,0,0.0503762985787695,0,0,0,0.0494256187054724,0,0.0921741670366118,0,0,0,0.0291903506410641,0.203847998015,0.283307698289761,0,0,0,0,0.0145836998086202,0,0,0,0,0,0,0,-0.0759662955633431,0,0,0,0
X5.HK.EQUITY,-0.0170916054116365,-0.197033767428859,0,0.374015819997043,0,0,0,-0.137387110450891,0,0,0,0,-0.152069745014653,0,0,0.0637157156347909,-0.0340172584801127,0.211215083005166,-0.0383680897315887,0.39175140998115,-0.112162776464553,0,0,0,0,0,0,0,0,0,0,0.43637268408239,0,0,0,-0.0797746365763106,0,0,0,0,0,0,0,-0.0429640370303735,0,0,0,0
X601988.CH.EQUITY,0.116663485691115,0,0.0418700275044501,0.053122052192374,0,0,0,0,0.0973788053029651,0.194007280354035,0.0123840571804731,0,0,0,0,0,0,0,0,0,0.468744939765385,0,0,0,0,0,0,0,0,0,0.118691326531375,0,0,0,0.061707982221151,0,0,0,0,0,0,0,-0.203604457253501,0,0,0,0,0
X600036.CH.EQUITY,0,0.374447737199475,0,0,0,0,0,0,0,0,0,0.316017311372673,0,0,0.00541083521552644,0,0.0223263338094601,0,0,0.192385149121298,0,0,0,0.203379544076959,-0.000176514726312676,0.0210278726699056,0,0,0,0.0063266560166,0,0,0,0,0,0,0,0,0,0,0.0417644166638951,0,0,3.46944695195361e-18,0,-0.0962694506162561,0,0
X1299.HK.EQUITY,0,0.244547197364405,0,0,0,0,0,0,0,-0.0299220390384257,0,0,0,-0.134284016488374,0,0.292740560023328,0.321763977558825,0,0.166300119287503,0.0705988041668923,-0.0258893165846089,0,0,0,0,-0.0501625243493656,0,0,-0.225361915745771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528612632163769,0,0
X601628.CH.EQUITY,0,0,0.029022007938017,0,0.0079546536387084,0,0,0,0,0.0715989761310918,0,0,0,0,0.158926528284127,0,0,0,0,0.100189590653445,0,0,0,-0.121223687897436,0.0732040681992958,0,0,0,-0.0587761652328942,0.290917103005811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.0101611182066442,0.0637719540314198,0,0,0.190569663223076,0,0,0.00971275306814184,0,0,0,0,0,0.203195135122945,0,0,0,0,0,0,0,0,0.402457014565083,0.255162006605568,0,0,0,0,0.16994686884442,0,0,0,0,0,0,0,0,0,-0.173220060106203,0,0,0,0,0,0,0,0
