,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.292066001654501,0,0,0,0,0,0,-0.272698007214932,0.191656483689868,-0.107986235189255,0.00943842900139593,0,0,0,0.827104455409557,-0.313462051453313,0,0,0,0,0.187232167664374,0,0,0,0,-0.0544598980595412,0,0,0,0,-0.079959024520444,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00927627998306997,0.0749332334423224,0.028408758333193,0,-0.0076281023545182,0.0636982785757718,0,0,0,0,0,0.117666749624243,0,0,0,0,0,0,0.434545266793924,0,0,0,0,0,0,0,0.0784307259648672,0,0,0,0,0.0318258294471656,0,0,0,0.0264603626213133,0.0254008746302905,0,0,0,0.166527725833657
X601939.CH.EQUITY,0.296559857399675,0,0,0,0,0,0,0,0,0,0.130001941450177,0,0,0,0,0.123296047655864,0,0,0,0,0,0,0,0,-0.115226771116694,0,0,0.0920601783911328,-0.0289477678833676,0.401768847671606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.400524451670748,0.311407190919886,0.0802311436808484,0.650101243753123,0,0,0,0,0,0,0,0,0,0,-0.138704430326642,0.0337730831720803,-0.482526280131509,0,0,0,0,0,-0.341495584979474,0.363626013332485,0,0,0,0,0.281332008141955,0,0,-0.0373660037674254,0,0,-0.0954783977431136,0,0,0,0,-0.276981386766285,-0.174698890645496
X5.HK.EQUITY,0,0,0,0,0,0.0125486433724895,0,0,0,0,0,0,0,0,0,0.0676843889258542,0,0,0.0428280969210369,0,0.232732769561464,0,0,0,0,0.053540388579217,0,0,0,0,0,0,0.12816005758759,0.133230247319848,0.076342145055972,0,0,-0.0942216418509673,0,0,0,0,0,0,0,0,0.313484142827815,0.161932820167038
X601988.CH.EQUITY,-0.154263055468823,0,0,0,0.454494406797451,0,0,0,0,0,0,0,-0.0978141143820261,0,0,0,0,0,0.552932189370608,0,0,-0.0646530231722531,0,0,0,0,0,0,-0.134332739124161,0,0,0,0,-0.196823188192998,0,0,0,0,0,0,0,0,0,0,0,0.0354892772751325,0.352972909675457,0
X600036.CH.EQUITY,0,0.284916237731373,0,0,0,0,0,0,0,0.259364066062422,0,0.282785207694241,0,0,0,0,0,0,0,0,0,0.0534364954008229,0.150642712305643,0,0,0.118324115889271,0,0,0,0,0.0358182454825879,0,0,0,0,0,0,0,0,0,0,-0.130293723316615,0.211953405366256,0,0,0.0383487529583212,0.0559527255058809,0.241685950928834
X1299.HK.EQUITY,0,0.0486887053306315,0,0,0,0,0,0,0.110868923430107,0,0,-0.0205205920855123,0,0,0,0.084779389932798,0.218455197835693,0.0164993253413094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285837011825006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0640991505822692
X601628.CH.EQUITY,0,0.10026448489499,0.0253228366572941,0.0768911460180491,0,0,0,0,0,0,0.0176635009197932,0,0.423974168060469,0,0,0,0,0,0.0692297069752957,0,0,0,0,0,0,0,0.208825296020263,0,0,0,0,0.028918627726615,0,0,0,0,0,0,0.0310969078185265,0,-0.0466141584127536,0,0,0,0,0.0153771728354638,0,0
X601328.CH.EQUITY,0,0.317393708187232,0.0744492058228416,0,0.0365248306939579,0,0.396762618935885,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.0998256379911304,0,0,0,0,0,0,0,0,0,0,0.00928844546171329,0,0,0,0,0,0,0,-0.184239770784961,6.7762635780344e-21,0,0,-0.262753168667462,0.124473146277331,0,0
X601166.CH.EQUITY,0,0,0,0.314839667058463,0,-0.0223693193169922,0,0,-1.73472347597681e-18,0,0,0.310876290003073,0.00233631704727496,0,0,0,0.0286222592170127,0,0,0,0,0.0685692008381809,0,0,0,0,0,0,-0.0305882960422848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221507217453888,0,0,0,0.113015108766425
X600000.CH.EQUITY,0,0,0,0,0,0,0.182063423924471,0,0,0.0903633824058745,0.408246935651466,0,0.0616758638122051,0,0,0,0,0,0,0,0.0824343994034403,0,0,0,-0.00155549725568298,0,0,0,0,0,0,0.0622603356590602,0,-0.133507162468191,0.0521503241774377,0,0,0,0,-0.00786914623539895,0,-0.197630670612142,0,0,0,0.30382258976359,0,0
X601601.CH.EQUITY,0,0.138893654494284,0,0,0,-0.144590303664166,0.0268889137504751,0,0.611963901418817,0,0,0.0420682811969371,0,0.0167899450744644,0,0,0,0,0,0.0170881897108893,0.0334986741714394,-0.0441826975033284,0,0,0,0,0,0,0,0,0,0,0,0.0295707682679844,0,0,0,-1.73472347597681e-18,-0.0339241696217099,0,0,0,-0.134486821981803,0,0,0,0,0
X601319.CH.EQUITY,0,0.100521715651285,0,-0.116193494080861,0,0,0,0,0,-0.0817908200468725,0,0,0.209915226888198,0,0,0,0,0,0,0,0.0856267588385945,0,0,0,0,0.294494502974394,0,0,0,0,0.176054503378308,0,0,0,0,0,0,0,0,0.0269854402653727,0,0.0284566096037307,0,0,0,-0.084716465460139,-0.0385125144793714,0
