,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X601916.CH.Equity,X002736.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.144142175168252,0,0.0542858258519501,0,0,0,0,0,0,0.146508327207923,0.364233322397033,0,-0.213478127856813,0.0685878613650878,0,0,0,0.126001484555254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1372298559065,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0418288791369169,0.0218046089956464,0,0.0892248713025494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225016758295925,0,0,0,0,-0.25440505806841,0,0.421443288089593,0.0426415943978593,0,0,0,0,0.199241435803502,0,3.46944695195361e-18,-0.0765672264789048,0,0,0.0278744783260624,0,0,0,0,0,0
X601939.CH.EQUITY,0.480878393850421,0,0,0,0,0.177276731172987,0,0,0,0,0,0,0.0587696919722143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372929464525432,-0.118424871539236,0,0.0491230896721211,0,0,-0.0461004838968063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.502953718520505,0.0244476328775705,0.240738285255533,0,0,0.0592338756441986,0,0,0,0,0,0,0,0,0,0,0,0,-0.0799083014991033,0,0,0,0,0,0.0662557656248363,0.00247510294092189,0,0,0.0255839460447541,0.0448374247679154,0,0,0,0,0,0,0,0.241605018072192,0,0,0,0,0,0,0.0232655877319449,0,-0.0555006994035291,0,0
X5.HK.EQUITY,0,0,0,0.13264958705987,0,0,0,-0.306329689347865,0,0,0.121938522387859,0,0,-0.036240319238756,0,0.75143731491315,0,0,0,0,0.137026272462475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243023671487399,0,0,0,0,0,-0.0297033339152718,0,0,0,0,0,0,1.38777878078145e-17,0
X601988.CH.EQUITY,0,-4.33680868994202e-19,0.0945414562172182,0.276956393293069,0,0,0,0,0.046927198877364,0.136901701973615,0.0172976623594457,0,0,0,0,0,0,0.364503543752568,0.147857677394675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112579633260145,0,-0.0127234372196512,0,0,0,0,-0.251856827851938,0
X600036.CH.EQUITY,0,0.0979107162685413,0,0,0.0850057737269158,0,0,0.25451074464363,0,0.0471649174283246,0.0144537572635903,0.149298041415369,0.212637487842947,0,0,0,0,0,0,0,0,0.142243577963562,0,0.107593495876817,0,0,0.016646523039478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108731187064124,0,0,-0.0385613244935211,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.201657611180304,0,0,0.0729851281985461,0,-0.0955897604895615,-0.149659710313274,0,0.351851904766761,0.306340949671176,0,0,0.0913092262860219,0,0.00201969980753024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121800673554277,0.0157656471245117,-0.00305704186955918,0.0966603786907131,0,0,0,0
X601628.CH.EQUITY,0,0.427821218660031,0,0,0,0,0,0,0,0,0,0,-0.0307569928512821,0,0,-0.114722355099338,0,0,0,0,0,0,0,0,0.0363954317957403,0,0,0,0,0.121676453159595,0,0,0,-0.134812806835269,0,0,-0.135013013828896,0,0,0,0,0,0,0,0.157951011347511,0,0,0,0
X601166.CH.EQUITY,0,0,0.0397880350014445,0,0,0,0.319604392652547,0,0,0,0,0,0,0.198964818031914,0,0,0,0,0,0.105226519339903,0,0,0.0374659220090766,0,0,0,0,0,0,0,0,0.125190231880739,0,0,0,0,0,0,0,0,0,0,0.100304239983091,0,0,0.164162096591998,0,0,0
