,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.300989426183963,0,0.342465123237746,0,0,0,0,0,0.0224627387961558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081672554179954,0,0,0.0424172680358307,0,0,6.93889390390723e-18,0,0,0,0,6.93889390390723e-18,0.0823754304184879,0,0,0
X601318.CH.EQUITY,0.304205858517648,0,0,0,0,0,0,0,0.0793638593502848,0,0,0,0,0,0.259748222065641,0.0615491880786205,0,0,0,0,0,0,0,0,0,0.0687118694359874,0.106658848207525,0,0,0,0,-0.0830500020825882,0,0.0355945650122461,0,0,0,0.0821309869820292,0,0,0,0,0,0.0305368260372788,0,0,0,0,0,0.124016577633384
X601939.CH.EQUITY,0.276417014318045,0,0,0.0477122366149818,0,0.0591728445232413,0,0,0,0,0,0,0.364961104423758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177303813743103,0,0.0442448517866822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.297474919847527,0,0.104764042982116,0,0,0.37986302573447,0,0,0,0,0,0.000238797530781871,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0827278608942048,0,0,0,0.0532111391136648,0,0,0,0,0,0,0,0,0.0390770973742781,0.0366398469686492,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517933148158338,0,0,0.112373836143633,0,0,0,0,0.143259442073733,0.0688955450169034,0,-0.00771736599863491,0,0,0,0,0,0,0,0,0,0,0,0.0331666450174713,0,0,0,0,0,0.116370824979424,0,0,0,0,0
X601988.CH.EQUITY,0.360463031306081,0,0.0425315215367811,0.120546441344846,0,0,0,0,0,0,0,0,0,0,0,0.186480212257115,0,0,0,0,0,0,0.027223237357824,0,0,0,0.108073183586275,0,0.160716296524163,0,0,0,0,0,0,0,0.0127389844661283,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.232507022803782,0,0.0145998753188437,0,0.273006501257381,0,0,0.194504195167456,0,0,0,0,0,0,0,0,0.0779518955031803,0,0,0.0320977477699441,0,0,-1.73472347597681e-18,0,0,0,0.0651340178662349,0,0,0,-0.0664730051595856,0.0851717219265307,0.0926960903702889,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.40174191119728,0,0.0437532303041026,0,0,0,0,0.0913838925843048,0,0.337397351059193,0,0.00228748424874571,0.0493840935690809,0,0,0,0,0.395777855673093,0,0,0,0,0,0,0,0,0,0,0,0,-0.164681376508265,0,0,0,-0.101445561243997,0,0,0,0,0,0,0,-0.139252036269506,0,0,0
X601628.CH.EQUITY,0.318322469570903,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.103187787395673,0,0,0,0.056682014184536,0.101913211137191,0.03660633558304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112926903573842,0.101513270763345,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.242975769900142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100830001182475,0,0,0,0.622192822345787,0,0,0,0,-0.518164553405941,0,0.656780234438716,0,0,0,-0.237146339622456,0.333447379387638,-0.130300155156099,0.121753148840876
X601328.CH.EQUITY,0,0,0.0244228908726888,0,0,0,0,0,0,0,0,0,0.686922517573246,0,0,0,0,0,0.011810228820214,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.204452984566348,0,0,0,0,0,0,0,0.0129674961380735,0,0,0,0,0,0,0.0411311672040954,0,0,0
X601166.CH.EQUITY,0,0,0.148183980342443,0,0,0,0.364517594849649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0589491346034109,0,0,0,-0.0802673670520982,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.057449865898086,0.0794245487640198,0,0,0.420183215602167,0,0
