,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY,X601211.CH.EQUITY
X601398.CH.EQUITY,0,0.297159983399319,0,0,0,0,0,0,0,0,0,0,0.0330642262662254,-4.33680868994202e-19,0.0233009218297676,0.0612230072388128,0,0,0,0,0,0,0,0.0429994747651415,0,0.0158937085379033,0,0.066086459931691,0,0,0,0.0546203459513984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0717389053491601,0,0.283610523900337,0,0,0,0,0,0,0,0,0,0.0444511660461737,0,0,0,0,-0.0501091072698381,0.0912207878111552,0.244468120886775,0,0,0.053286026220672,0,0,0,0.112953957777816,0,0,0,0,0.0406191201011405,0,0,0.0837298965933441,0,0,0,0,0,0,0,0,0.122232268469319,0,0,0,0,0,0
X601288.CH.EQUITY,0.442814373827524,0.203688457863943,0,0.188249309239104,0,0,0,0,0,0,0,0,0,0,0,-0.141623989485461,0,0,0,0,0,0,0,0,0,0,0,0.150165663154729,0,0,0,0,0,0,0,0,0,0,0,0.183920139731407,-0.141215275160793,-0.0979627704474093,0,0,0,0,0.153332235809564,0,0,0
X601988.CH.EQUITY,0.0495974375736084,0,0.703496181774446,0,0,0,0,0,0,-0.0333240147605792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184295544349638,0,-0.253305300162657,0.149863701393935,0,0,0,-0.157169835796923,0.100185009324687,0,0,0,0.191172172599776,0,0,0,0,0.171855363044014,0,-0.163150925482563,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.235651517790629,0,0,-0.0552539366295319,0,0,0.254220945332206,0,-0.139780073934119,0,0.0461711180216309,0,0,0,0.0580086987326727,0.219307458292343,0,0,0.0460515349591891,0,0,0,0,0.196214596712464,0,0,0,0,0,0.0304396547496051,0,0,0,-0.034958859899253,0,0,0,-0.143646549861062,0,0,0,0,0,0,0
X601658.CH.Equity,0.0153636061392141,0,0,0.017722864741224,0.0668672263040504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613502027663662,0,0,0,0.267363877271884,0.0678191019974138,0,0,0,0,0,0,0.09107739420586,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218659183757126,0,0,0.38857819443431,0
X601328.CH.EQUITY,0,0,0.161674396839569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12499911651598,0.0613148391052424,0,0,0.107703861351337,0,0,0,0,0,0,0,0,0.0276678163812342,0,0,0,-0.0482694526441156,0,0,0,-1.38777878078145e-17,0,0,0.112949634148683,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0996982644361436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101376582977083,0,0,0,0,0.0223013599284317,0,-6.93889390390723e-18,0,0.446859683018465,0,0,0,0,0,0,0,0,0.0949740946241321,0,0,0,0,0
X600036.CH.EQUITY,0.031062031166119,0,0,0,0,0.0165685536924541,0,0,0,0.18576437567472,0.128511179338053,0,0,0,0.0620641046720579,0.267769031060996,0.0205455901433851,0,0,0,0,0,0,0,0,0,0,0.0286016432703251,0,0,0,0.0610366859270807,0,0,0.0195113770381467,0,0,0,0,0,0,0,0,0,0,0,0.0213372477408318,0,0.215560376694766,0
X601166.CH.EQUITY,0,0,0,0,0,0.223868482008725,0,0,0.372705078649447,0,0.0356354134992852,0,0,0,0,0,0,0,0,0,-0.122658873028508,0.0510111112051088,0,0,0,0,0,0.13774670589147,0,0,0,0,0.195574326575107,0,-0.125275528875911,0,0,0.0669022457221956,0,0,-2.71050543121376e-20,0,0,0,-0.146420289392434,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,-0.0102079134981876,0,0.285341674948531,0,0,0,0,0,0,0,0.142945535836593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451255263009175,0.0553407955188067,0,-0.0583453340584726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257213156164236,0
X267.HK.EQUITY,0,0,0,0,0.356986966343576,0,0,0,0,0,0,0,0,0,0,0,-0.00936627261300326,0,0,0.163993058251925,0,0,0,0,0,0,0,0,0,0,0,0.0249288516078849,0,0,0,0,1.73472347597681e-18,0,0,0,0.135124148513853,0,0,0,0.194268053409923,0,0,0,0,0.115577531185888
X601998.CH.EQUITY,0,0,0,0.287099040820168,0,0,0,0,0,0,0,-0.0254199793951618,0,0.028982647379968,0.0997742920979601,0.000210843453069616,0,0.183520536247075,0.198241190458549,0,0,0.14370494585984,0,0,0,0,0,0,0,0.0751127400899129,0,0,0,0.121127738268708,0,0,0,0,0,-0.0452032555948784,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,-0.0825297416124832,-0.179414436623322,0,0,0,0.1092804758621,-0.0275209241276302,0,0,0.34662879342759,0,0,0,0.125548201209888,0,0,0,0.392381700485263,0,0,0,0,0.0524165524336675,0,0,0,0,0,-0.333539150646896,0,0.890477380024675,0,0,0,0,0,0,0,0,0,0,0,0.0639608835099691,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0.0560973988227459,0,0,0,0,0,0.0626630933978511,0.0584619763249467,0.216162689025512,0,0,0.0604568797793571,0,0.00733839396721256,0,0,0,0,0,0.113543930002373,0,0,0,0,0,0,0,0,-0.0478493897329337,0.0359433332385826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415116975592641,0.00745698046460789
