,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X2886.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.15934733230296,0,0.116042910744451,0,0,0,0,0,0,0.142556153589449,0,0,-0.241484727951506,0,0.0643129265038947,0,0,0,0.144338220161619,0,0,0,0.129886335602885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492134896619915,0,0,0.289756803944656,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0773205279674113,0,0,0.264948275087471,0,0,0.337912776890298,0,0.0922511768721347,0,0,0,0,0,0,0,0,0,0.0825891352097464,0,0,0,0,-0.240406055443173,0.0476161696036284,0,0.108933308998045,0,0,0,0,0.0888621729668723,0,0,-0.0159536044450489,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.477447947611855,0,0,0,0,0.184479874921646,0,0,0,0,0,0,0.0591339872015373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365355418485571,0,-0.117499506544945,0.0488090553808921,0,0,-0.0455955612027381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.541947401143236,0,0,0,0,0.115661735469935,0,0,0,0,0,0,0,-0.0748543558071097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104335580206975,0.0269348385505226,0,0.0482146924179045,0,0,0.00976143621706169,0,0,0,0,0,0,0.345942063924202,0,0,0,0,-0.0415587403941874,0,0
X5.HK.EQUITY,0,0,0.0893869226590864,0,0,0,0,-0.304280952591023,0,0,0,0.246622941510086,0,0,0,0.74464506272381,0,0,0,0,0,0,0,0,-0.00332088955517609,0,0,0,0,0,0,0,0.0278208078866089,0,0.130445699063609,0.141915003910261,0,0,0,0,-0.0345373264122959,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.11705384793205,0.295654856537767,0,0,0,0,0.211553415024712,0.119683655456832,0.161995130608466,0,0,0,0,0,0,0.111878868652113,0,0.0770469388987762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113543409037322,0
X600036.CH.EQUITY,0,0.193476963244057,0,0,0,0,0,0.0559855729423612,0,0,0,0.323465044976317,0.106345636156633,0.141055691334589,0.0464135704579787,0,0,0,0,0,0.0876885926934328,0,0,0.0678247995404671,0,0.0457433839079305,0,0,0,0.0693541708063765,0.0686570346536211,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0574323144893332,0,0,-0.0552812290878273,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.122273298014122,0,0,0.12314979580683,0,0,-0.179490094207985,0,0.380024853941605,0.27108997213254,0,0,0,0.100193790824555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178907549182961,0,0,0,-0.0413165513666017,0.0199887370709443,0.0921130335887907,0,0,0,0
X601628.CH.EQUITY,0.186535973721537,0.18068594897184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.0128662161557963,0,0,0,0,0,0,0,0,-0.15606092626117,0,0,-0.0676670748742722,0,0,0,0,0,0,0,0.11757678180014,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.257132273171767,0.195518466718107,0,0,0,0,0,0.0133898983173136,0.421824684205795,0,0,0,0,0,0,0,0,0,0.0993130361906835,0,0,0,0,0,0.19923437175006,0,0,0,0,0,0,0,0,0,0.227036768781355,0,0,0,0.0255227603092043,0,0,0,0,0
