,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0.447337088351663,0.12852366151797,0.0539829637015599,0,0.190284296337018,0,0,0,-0.0700106419181546,0.056027983006754,0,0,-0.0516456838684945,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.00995893420107812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145633401362852,0.0698646001086257,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.137992259453327,0,0,0.0671136231890574,0,0,0,0,0,0,0.232595264939312,0,0,0.281922992595734,0,0,0,0,-0.101742280298323,0,0,0.168867364229212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839823885138155,-0.00692848454298994,-0.102465835782358,0,0,0,0,0,0,0.0856163519224966,0,0
X601318.CH.EQUITY,0.104671641860583,0,0,0,0.194657556235881,0.124013943179286,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.151014739989686,1.73472347597681e-18,0,0,0,0.150291963164192,0,0,0,0,0,0,0,0,0,0,0,0.0125099887095304,0,0,0,0,0,0,0,0,0,0.137086322217493,0,0,0,0
X601288.CH.EQUITY,0.26730891445852,0.15873918794259,0,0,0.171698349381544,0,0,0,0,0,0,0,0,0.0585182819114313,0,0,0.0498077615644501,0,0,0,0,0,0,0,0,0,0.0115695816250914,0.122321492318775,0,0,0,0.0482770399055676,0,0,0,0,0,0,0,0,0,0,0.031752549773645,0.0618689432358481,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.613683119250102,0,0,0,0,0,0.354276955879147,0,0,0,0,0.0599548527286366,0,0,0,0,0,0.0828354175392817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361373212779145,0,0,0,0,0,0,0,0,0,0,0.248677761140677,0,0.114474597828343
X600036.CH.EQUITY,0,0.0721020298297565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865046060682366,0.022732820235481,0,0.265191258906794,0,0,0,0.0444047894119218,0,0,0.266957452203805,0,0,0,0,0.0899931751884136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421181653626137,0,0,0.161855738628138,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.18943415060357,0,0,0.165811362108454,0,0,0.0280632795585276,0,0.183900235474112,0,0,0,0.230180466962639,0,0,0.258887738050967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107911008956415,0,0,0,-0.473889622247108,0,0,0.813812227822143,0.598814652378316,0,0,0,0,0.1591634591324,0,0,0,0,0,0,-0.1188875824434,0,0.026597042827362,0,0,0,0.11890734845681,-0.147749036442874,0,0,0,0,0,0,-0.093318452948751
X601628.CH.EQUITY,0,0,0,0,0,0.180984815744263,0,0,0,0,0,-0.173206931202472,0,0,0,0,0,0,0.171365485899167,0,0,0,0,0,0,0,0,0.0419143536088765,0,0,0.299711047355233,0,0,0,0,0,0,0.14027249255992,0,0,0,0,0,0,0.0931360537495528,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.174448619062266,0,0,0,0,0,0,0,0,0,0,0,0,0.222757988360067,0,0,0,0,0,0,0,0,0,0,0.123335118157378,0,0,0,0,0,0,0,-1.73472347597681e-18,-8.67361737988404e-19,0.0472175349007657,0.00817744893879116,0,0,0.298216829631804,0,0.0989313994280219,0,0,0,0,0
