,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,-0.294374622975766,0,-0.145225307962946,0,0,0,0,0,0,0,0,0.743924959495258,0,0,0,0,0,0,0,0,-0.219930838401901,0,0,0,0,0,0.0347378776461787,0.743313525716706,0,0.0693787832338961,0,0,0,-0.237127405080805,0,0,0,0,0,-0.170207524274728,0,0,0,-0.0460305595925451,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0407364911624569,0,0,0.0308892492220367,0,0,0,0.244862424534244,-0.0245112969657196,0.10677928598325,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.413585408191376,0,0,0,0,0,0,0,0,0,0.0759015390198781,0,0,0.0392813933538262,0.0334222051326861,0,0,0,0
X601939.CH.EQUITY,0.262653638735792,0,0,0,0,0,0,0.0852232688475026,0,0.0244355946367732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166210942143586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230389452438792,0,0.257900018244062,0,0.0571374069130404,0,0
X601288.CH.EQUITY,0,0,0,0,0.0289044530075572,0.295651806270969,0,0,0.0591023297131986,0.0308650969756468,0,0,0.240880732659422,0,0,0,0.00874881020314115,0,0,0,0,0,0.235551128730168,0,0.0482047247161825,0,0.0939338827588692,0,0,0.0850364192711956,0,0,0,0,-0.0952015354294331,0,0,0,0,-0.0448479847783588,0,0,0,0,0,0,0.0289381322843611,0.0912171578417862
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149000706496527,0.354552048028533,0,0,0,0,0,0,0,0,0,0.104578143563569,0,0,0,-0.104923891525402,0,0,0,0,0.298827258902007,0,0,8.67361737988404e-19,0.12735152337239,0,0.072808244576473,0.076388168646023
X601988.CH.EQUITY,0.173327333648524,0,0,0.560691627970239,0.110593213625345,0,0,0,0,0,0.113236073633938,0,0.165842482995837,0,0,0,0,0.0401788685223348,0,0.00842279268583184,0,0.0239818530599062,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0124551665058151,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.298285931422259,0,0,0,0,0,0,0,0,0,0.31686848169448,0,0.113433953653389,0,0.0683694601588941,0,0,0,0,0.0743788670678279,-0.0787923185820968,0,0,-0.0371387300151517,0,0,0,0,0.110890729779909,0,0,0,0,0,-0.0772146976425333,0,0,0,0,0,0,0.294270765552805,0,-0.0558515600434625,-0.107891004398188,0.111532634942553,0
X1299.HK.EQUITY,0,0.241962538012542,0.0205174024296738,0,0,0,0.0163463834339324,0,0,0,-0.0614429287868541,0,0,0,0.317977104200328,-0.205170703757299,0.209690799321549,0.296859730888085,0,0,0,0,0,0,0,0,0,0.0436650432265376,-0.176262807328512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.069972889301911,0,0,0,0,0,0,0,0,0.137791246589263,0,0,0.262039302680996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164147742286993,0,0,0,0,0,0,0,0,0.070293258809912,0,0,0.0636922377425859,0,0,0.0468990599913825,0,0,0
X601328.CH.EQUITY,0,0,0.0359608620163009,0.415847008829768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204532937052015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.00660488227956965,0,0,0,0.226404097124686,0,0,0.375343654168817,0,0,0,0,0.0794240492893935,0,0,0,0,0,0,0,0,0,0,0.0526754362700656,0,0,0.112284628635995,0,3.46944695195361e-18,-7.56885671396729e-05,0,0,0,0,-0.124117578091713,0,0,0,0,0,0,0,0,0,0,0,0.147480396936696
