,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY,X601997.CH.EQUITY,X2887.TT.EQUITY,X2801.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0670162047857366,0.0252932522209303,0,0.0201343492015716,-0.100564771430345,0,0,0,0,0,0,0,-0.0479912812864807,0,0,1.04143560138111,0,0,-0.150309334668439,0,0,0,0,0,-1.0842021724855e-19,0,0,-0.0503877336181989,0,0,0.0150302083648965,0,0,0,0,0.0473741189949279,0,0,0,-0.0380585233176189,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.130933637050464,0,0,0,0,0,0,0,0,0,0.509503722412852,0,0.0402337113885396,0,0,0,0,0,0,-0.280073366139304,0,0,0,0,0,0,0,-0.259355751139632,0,0,0,0,-0.201498896976306,0,0,0.108602096136633,0,0,0,0,0,0,0,0.0518206761770875,0,0.0744483559286615,0.0227199868871039
X601288.CH.EQUITY,0,0.238959117905995,0,0.204204828278697,0,0,0,0,0,0,0,0.0298398585904185,0,0.0758243429727982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186109936930014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953326212453268
X601988.CH.EQUITY,0,0,0.245391182904561,0,0.210454221595273,0.0100914332583916,0,0.0627258603889062,0,0,0,0.237024639330347,0,0,0,0,0,0,0,0.0450284753361384,0,0,0,0.124790322049974,0,0,0,0,0,0,0,0,0.0247586143123961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,-8.67361737988404e-19,0,0,0,0.386645589794811,0,0.232420029665224,0,0.0575512124777534,0,0,0,0,0,0,0,-0.0651018827695957,0.122541508733225,0,0,0,0.0897477568988563,0,0.112275480752756,0,0,0,0,0,0,0,0,0,0,0,0,-0.15974647904138,0,0,0,0,0,0.092428399879795,0,0,-0.139636115618428,0,0
X601328.CH.EQUITY,0,0,0.036426529417693,0,0,0,0,0,0.141737769352234,0,0,0.200586221598473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.112725311198102,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0425615445371223,0,0,0,0,0,0,0,0,0.252996241985985,0,0,0,0,0,0,0,0.0340052541933949,0.200492266089751,0.051809129572894,0,0,0,0.00231393048172612,0,0,0.284687274739674,-0.0189302424713259,0,0,0,0,0,0,0.0133343063618721,0,0,0,-0.106598648169757,0,0,0,0,0.243900768119578,0,0
X600036.CH.EQUITY,0,0,0,0.0070861508687856,0.0385610442655529,0,-1.0842021724855e-19,0,0,0,0,0,0,0.0484623867201328,0.520560096080104,0,0,0,0.0156029662599473,0.0570132466374463,0,0,0,0,0,0,0,0,0,0,0.194448751623928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206196635549348,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.113988391323611,0,0.0263042506021569,0,0,0,0,0.0238636643869814,0,0.0109405508575168,0,0,0,0.0213266959892036,0,0.0371466936406784,0.127039761526901,0,0,0,0.0700200376021824,0.013192129825687,0.0555190278912994,0.0550392341647305,0,0,0,0,0,0,0.0342538569886096,0,0,0,0.0995142637201276,0,0,0,0,0,0,0.161541212684158,0
X600000.CH.EQUITY,0,-0.0748925875444323,0,0,0,-0.0645754363625737,0,0,0,0,0,0,0.709114786659808,0,0,0,0,0,0,0.0281791064245617,0,0,0,0,0.0402592313699906,0,0,0,-0.113020278514226,0,0,0,0,-0.00842960625732307,0,0,0,0,0.0284830196544141,0,0.0292045203681744,0,0,-0.0267212736912568,0,0.443620470440865,-0.0110971418931383,0,0.0436199879614126,0
