,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2801.TT.EQUITY,X2885.TT.EQUITY
X601398.CH.EQUITY,0,0.0914304125331113,0,0,0,0.131009273986712,0.837848285813142,0,0,-0.0484888754407685,-0.0755081429803781,0,0.0665546907406464,0,0,0,0,0,0,0,0,-0.040105381220384,0,-0.0940933931205288,0,0,0,0,0,0,0,0,0.111620188165046,0,0,0,-0.0446902103068204,-0.124007436559625,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0678779418350721,0
X601288.CH.EQUITY,0,0,0,0.571086616619352,-0.123653313095419,0,0,0.00646989855585889,0,0,0,0,0,0,0,0.0723129645356421,0,0,0.246823034138585,0,0,0,0,0,0,0,-0.0691694961225321,0.0361446463017907,0,0,0,0.0103591058549507,0,0,0,0,0,0.174018706608011,0,0,0.0682388406728825,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0631788214711006,0,0,0,0,0,0,0,0.0508201830885706,0,0,0,-8.67361737988404e-19,-0.0160932823192849,0,0,0,0,0,0.0525203904403241,0,0.874555427416108,0,0,0,0,0,0,0,0,0,0.0761013083071927,0,0,0.00235668723312969,0,0,0,0,0,0,0,0,0.0345342909893323,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.140292663881215,0,0,0.0307398449648003,0,0,0,0,0,0,0.757965600790331,-0.0132703903747668,-0.0507703247704461,0,0,0,0,0,0,0,0,0.00930888648954874,0,0,0,0,-0.0511732771022462,0,0,0,0,0,0,0,0,-0.0212830467331391,0,0,0,0.12944926133751,0,0.0180896119808655
X5.HK.EQUITY,0,0,0,0,0,0.0610349865685744,-0.0538139792406273,0,0,0.539168665052327,0,0,0,0,0,-0.208516151655026,0,0,0,0.0924597948624197,0,-0.105094067785428,0,0,0,0,0,0,0.228843026741848,0,0,0,0,-0.0132238407639266,0,0,-0.0609950544355647,0,0,0,0.323666960017325,0,0,0,0,0.222063920310534,0,0,0,0
X601658.CH.Equity,0.0957855616632302,0,0,0,0,0,0.129151591893893,0,0.503640818200466,0,0,0,0,-0.245410148825679,0,0,0.239356492182466,0,0,0,0,0,-0.200509579022983,0,0,0,0,0.0525701258079917,0,0.103032687080348,0,0.187894327776581,0,0,0,0,0,0.144199652829609,0,0.0637022564589118,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.930543615246388,0,0,0,-0.0795778916649204,0.0475678999348438,0,0,0,0,0,0,0,0,-0.0590772970487044,0,0,0,-0.135284113403159,0,0,0,0,-0.0598286710318322,0,0,0.0458597023758989,0.0113089337970174,0,0,0,0,0,0,0,0,0,0,0.0732074566644055,0,0,0,0,0,0,0.00130136664278061,0.0204068870120742,0.0343254029635208,0,0
X601318.CH.EQUITY,0,0.0512753701246797,0,0,0.00169829587924721,0,0,0,0,0,0,0.0164136816728785,0,0,0,0.100132851980042,0.456286763654682,0,0,0,0,0,0.106798689203189,0,0,0,0,0.0174563369003366,0,0.127310232356324,0,0,0,0,0.113718636877541,0,0,0.0835845359100945,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.22162816635527,0,0.388933624292455,0,0,0,0.184398814079689,0,-0.0440837030393802,0,-0.0684405324394271,0,0,0.252440555719449,0,0,0.0417847325807669,-0.140024081349734,0,0,0.253315161801076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308664686030293,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0
X267.HK.EQUITY,0,-0.0550448002531508,0,0,0.534521230624109,0,0,0,0,0,0,0,0,0.432761461122065,0.148989513756362,0,0,0,0,-0.261377075214165,0,0,0,0.00468669106618445,0,0,0,0,0,0,0,0,-0.224267506678996,0,0,0,0.0412269691357943,0,0,0,0.0601603605849091,0,0,0,0,0,0,-0.0437434917915148,4.33680868994202e-19,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.327730305570289,0,0,-0.103909776640636,0,0,0,0,0.449426531693598,0,0,0,0,0,0,0.00530261303116572,0,0,0.131920861475976,0,0,0,0,0.238337747806462,0,-0.0161864274757298,0,0.110223143784352,0,-0.0820001028612591,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.0520678814752015,0,0,0.028949280292782,0,0,0,0,0,0,0,0,0,0,0,0,0.0230880886176846,0,0,0,0,0,0,0.0853684395474814,0,0,-0.105317736850597,0,0,0,0,0,0,0,0,0.00951233289072264,0,0,0,0,0,0,0.488883716606153,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0716824384456806,0,0,0,0,0,0.0689849942317816,0.375886561464478,0,0,0,0,0.0820974399185021,0,0,0,0,0,0,0,0,0.0405148549288547,0,0,0,0,0,0,0,0.204818477687271,0,0,0,0,0,-8.67361737988404e-19,0,0.066000794809963,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.165319015319207,0,0.286050191669472,0.0257069554008769,0,0,0,0.053957832265212,0.253792606630095,0,0,1.73472347597681e-18,0,0,0,0,0,0.379100498599148,0,0,-0.385993795976361,0,0,0,0,0.0639565676280461,0.0577626645553894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
