,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601009.CH.EQUITY,X5880.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.1798466285413,0,0.340720276544855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204752673213109,0,0,0,0,0,0,0,0,0,0,0,0,0.0776002092922307,0.171186327449617,0.0953470234202287,0
X601318.CH.EQUITY,0.296449142307379,0,0,0,0,0,0,0,0.0835263521242439,-0.000654132497012375,0,0,0,0,0.237760870259268,0.0730912783526623,0,0,0,0,0,0,0,0,0,0.0832623167107802,-2.16840434497101e-19,0.118196910614808,0,0,0,-0.0576407256074144,0,0,0,0.0100823302645414,0,0.092659560499132,0,0,0,0,0,0,0,0,0,0,0,0.125049087997415
X601939.CH.EQUITY,0,0,0,0.309992542201688,0,0.0859178345234352,0,0,0,0,0,0,0.445916967808693,0,0,0,0.0362221855235814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00775015880898231,0,0,0,0.0178046918217766,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.306866084768336,0,0.109207877019902,0,0,0.34637487896886,0,0,0,0,0,0,0,0.00392034906410691,0.0300416952616296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305353952004228,0,0,0,0.0555417901373556,0,0.0768535161906613,0,0,0,0,0,0,0,0,0.0366272798940461,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0999000478669546,0,0,0,0,0,0,0,0,0,0.527083806268823,0,0,0,0.0708490629034463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17105267540551,0,0,0,0,0
X601988.CH.EQUITY,0.212809860307982,0,0.424528757937782,0,0,0,0,0,0.0868914065481515,0,0,0,0,0,0,0.148425718611339,0,0,0,0,0,0,0,0,0,0,0,0.0680659545250475,0.0580355193443695,0,0,0,0,0,0,0,0.00236233466924779,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.242164156861233,0,0.00714419321761079,0,0.263362289455378,0,0,0.212900165196593,0,0,0,0,0,0,0,0,0.0448962342361269,0,0.101058856484045,0,0.0381637266049275,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0312681628856945,0.0769056501241446,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.183726916838926,0,0.0266155808472608,0,0,0,0,0,0,0.483889843557377,0,0.0159766796963494,0.0780373175931929,0,0,0,0,0,0.439976606394268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0552880867865965,0,-0.193845878282347,-0.0074357373525351
X601628.CH.EQUITY,0.270390877660642,0,0,0,0,0,0,0.142072210002699,0,0,0,0.0744101657471218,0,0,0,-0.114536713417237,0,0,0,0,0.0132332534547542,0,0,0,0,0.256088524875849,0,0.0333444002478606,0,0,0,0,0,0,0,0,0,0.109638183056803,0,0,0,0,0,0,0.105974361662092,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215388410124782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143334971936769,0,0,0.314843055376208,0,0,0,0,0,-0.623717540246202,0,0.27377511147903,0,0,0.0680303815775037,-0.210196742036411,0.808772736660398,-0.157189987116476,0.167937823892571
X601328.CH.EQUITY,0,0,0.0100045063347767,0,0,0,0.0129847637038177,0,0,0,0,0,0.613372262405257,0,0,0,0,0,0,0,0,0.0844520353051742,0,0,0,0.0383413825223497,0,0,0,0,0,0.160455034661843,-4.33680868994202e-19,0,0,0,0,0,0,0.022769046711318,0,0,0,0,0,0,0.0352985107670865,0,0.0190755135165167,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.355365546238625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564917957356979,0,0.153015215234007,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.014047074283537,0,0,0,0,0,0.015222250232424,0,0,0,0.343739949631323,0.0734253234720507,0
X600000.CH.EQUITY,0,0,0,0.179330074907758,0,0,0,0,0,0,0.209583777988892,0,0,0,0.0256513850488605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32154951922823,0,0.0453805395064462,0,0.110268273704185,0,0,0.0129864491119569,0,0,0,0,0.0565874107222319,0,0.0912657509281135,0,0,0
X388.HK.EQUITY,0,0,0,0.136993688864037,0.177087921907307,0,0,0.201619677524162,0,0,0,0,0,0,0.188687369520461,0,0,-0.172115832689981,0,0.2201556437595,0,0,0,0,0,0,0,0,0,0.0796445722831696,0,0,0,0,0,0,0,0,-0.0443361788113501,0.103961184485101,0,0,0,0,0,0,0.0473003115042933,0,0.137440488296199,0.0595118823478236
