,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.109028443134469,0,0.298876422749255,0,0,0,0,0,0,0,0,0,0,0,0,0.334434795532695,0,0,0,0,0,0,0.0728085141684058,0,0,0,0,0.0205123016838979,0,0,0,0.071523316624196,0,0,0,0,0,0.0933276791283253,0,0,0.075698268427855,0,0,0.0656968681135065,0.00487960499153426,0,0,0
X601318.CH.EQUITY,0,0,0,0.113957969042998,0,0,0,0,0.174264847247026,0,0,0.0194354384942412,0.0191922540357244,0,0,0.0713644114161413,0,0.164737414161677,0.127344023712187,0,0.0773779278211065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129459078158904,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.202397687678714,0,0,0,0,0,0,0.224772473956772,0,0,0,0,0.16379583384399,0,0,0,-0.104911941572817,0.424108482102079,0.20781317626118,-0.00530898569306706,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0463574458699299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-1.0842021724855e-19,0.087681746976182,0.223890478835044,0,0,0.00892293633420533,0.215556286824606,0.078058497406163,0,0,0,0,0.214414998364548,0,0,0,0,0,0,0,0,0,0,0,0.212980493850117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314139181368002,0,0,0.0944685301357591,0,0,0,0
X601288.CH.EQUITY,0.138709234396698,0,0.0852644881484947,0,0,0,0,0.309659069309684,0,0,0,0,0,0,0.0585739273169083,0.177591765119386,0,0,0,0,0,0,0,0,0,0.143772587921473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161153533194784,0,0,0,0,-0.0875444562703025,0,0,0.215050369098139
X601628.CH.EQUITY,0,0,0,0,0.0516716724793835,0,0,0,0,0,0,0,0,0,0,0.0607803448626078,0,0,0,0,0.171859138300635,0,0,0,-0.0920182571542571,0,0.34868018287317,0,0.546508076187017,0,0,0,0,0.0594393890065221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.0457667470381248,0,0,-0.142026947233351,0,0.293775106340091,0,0,0,0,0.0986041610225411,0,0,0,0,0,0,0,0,0.0913371304289658,0,0,0,0,-0.0502757855849891,0.17270490177403,0,0,0,0.349505283305307,0,0,0,0,0,0,0,0,0.0357026705618361,0,0,0,0,0,0.19583022749735,0
X601988.CH.EQUITY,0.193758646655359,0,0.0890392541314303,0.221871334294388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251373673005057,0.0152059019961437,0,-0.181365032393279,0,0,0,0,0,0.0324248158680807,0,0,0,0,0,0,0,0.366547931311065,0,0,0,0.091094321367174,0.00633572687286443,0,0.0757660686969419,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.348894505900218,0,0.0645855277122392,0,0,0,0,0,0,0,0,0,0.267679678612261,0.031524856313041,0,0,0.0558211592789539,0,0,0,0,0,0.0814772705467338,0,-0.0402521090057605,-0.149295357345907,0.278997089469583,0,0,0.0499225004199827,0,0,0,0,0,0,0,0,0,0,0,0,0.11955035677039
X388.HK.EQUITY,0,0,-0.212887299038364,-0.265663094866204,0,0,0.104194113831507,0,0,0,0,0,0.15952149077717,0,0,0,0.122877746852376,0,0,0,0.239447583321763,0,0,0.205124208561417,0,0,0.0166917247544472,0,0,0,0,0,0.0567122020417055,0.0225136500986041,0,0.118904582742357,0,0,0,0,0,0,0,0,0,0,0,0.299911665847532,-0.0137580776516734,0
