,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0992206678209867,0,0,0,0,0.250759311950744,0,0,0,0,0.0746912188958571,0,0,0.236958418626336,0,0,0,0,0,0,0.00211444014389343,0.188345010813075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201087718090375,0.051021809165341,0,0,0,0.060246767399265,0,0
X601939.CH.EQUITY,0,0,0,0.27762916231971,0,0,0,0,0,0,0,0.258190603663536,0.34248089500504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289674101661927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223106121224631,0,0,0
X601318.CH.EQUITY,0.198180322792691,0,0,0,0,-0.0339579956416627,0,0,0.177590152217858,-0.0183752674609885,6.93889390390723e-18,0,0,0,0.329191750724001,0,0,0.11743754768951,0,0,0,0,0,0.0771050140848894,0.0344898627807215,0,0,0.0515123309490765,0,0,0,-0.0795915400435527,0,0,0,0,0,0,0,0.229215695127692,0,0,0.0121986464614827,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354307452962275,0,0,0,0.530356506862158,0,0.0537977500912082,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0170710684039346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00700034257227821,0,0,0,0,0,0,0,0,0.070594154308431,0,0.0275411395712027,-0.0401578914035332,0,0,0,0,0,0.0154362715835983,0,0
X601988.CH.EQUITY,0,0,0.0714614500140224,0.0134916169039556,0,0,0,0,0,0,0,0,0,0,0.180576585463571,0.0149608706356631,0,0,0.0643421266963452,0,0.195315312465873,0,0,0,0,0.188543655441891,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0.224244469556957,0,0,0,0,0,0
X5.HK.EQUITY,0.628073506679593,0,0,0,0,0,-0.384696852657087,0,0,0,0,0,0,0.393799716516888,0,0,0,0,0,0.657527774472098,0,0,0,0,0,0.0964756443845571,0,-0.178847189094468,0,0,0,0.779363078633112,0,0,0,0,0,0,0,0,-0.63025570275728,0,0.183512135767848,0,0,0.0139905988266892,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.243037952070364,0,0,0,0.141944025640157,0,0,0.113987303789041,0,0,0,0,0,0,0,0,0,0.06340968813978,0.190595276317351,0,0.133092396548149,0,0,0,0,0,0,0,0,0,0,0,0,0.0817633801599502,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.250436810149266,0,0,0,-0.0165659154030668,0,0,0,0.195817875653274,0,0,0,0.0309096849471669,0,0,0,0,0.547162365553156,-0.0637560126315992,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.0340110464396401,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0634649961569168,-0.0275274598906502,0,0,0,0
X601628.CH.EQUITY,0.350373014363583,0,0.101990690466941,0,0,0,0,0.0046972984239749,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.062816669227874,0,0.0631956007960507,0,0,0.195218331874109,0,0.0583701261392897,0,0,0,0,0,0,0,0,0.0287082379266948,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.413825774860126,0,-0.167017840642974,0,0,0,0,0,0,-0.148806075884817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198843453592052,0,0,0,0,0,0,0,0,0,0,0.0497135830707848,0,0.276267705524487,0.145172453145748,0,0,0,-0.581851947028524,0,0.338281075241275
