,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,6.93889390390723e-18,0,0.31901177546391,0,0,0,-3.46944695195361e-18,0,0.127724752597985,0,0,0,0,0,0,0,0,0,0,0,-0.185547282357248,0.0460410945712721,0,0,0,0.192441479028837,0,0,0,0,0,-0.0586927309770422,0,0,0,0,0,0,0,0,0.0468850203111271,0.0599948587173026,0,0,-0.0862087965575937
X601318.CH.EQUITY,0,0,0,0,0,0,0.04616197102544,0,0,0,0.0343987631816093,0,6.93889390390723e-18,0.119862948890406,0.255987337245174,-0.0271836563164201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392771472674836,0,0,0,0,0,0,0,0,0,0.0791140486268005,0,0,0.0494437075526992,0.0373486879971678,0,0,0,0
X601939.CH.EQUITY,0.201677888670988,0,0,0,0,0,0,0.0970453333087819,0,0,0.0087304015926628,0,0,0,0,0,0,0.0132758787081914,0,0,0,0,0,0,0,0.15104367318625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266843438645822,0,0,0,0
X601288.CH.EQUITY,0.0579079908310068,0,0,0,0,0.169546570341913,0,0,0,0,0.00524284545991333,0,0.145407449794078,0,0,0,0,0,0.0944749539037776,0,0,0,0.265545869244723,0,0,0,0,0.0731053864069201,0,0.136395920382938,0.10387162488476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531289909765173
X5.HK.EQUITY,0,-0.366765291477375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18563382374224,0.226314016057718,0,0,0,0.452334833739195,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.120291452685502,0.18648677628399,0,-0.0671038025173912,0.0580887162889157,0,0,0,0,0,0,0,0,0,0,0,0.319285009663227
X601988.CH.EQUITY,0.370371446529657,0,0,0.601131329695553,0,0,0,0,0,0.0478363149220946,0,-0.0328856530689697,0,0,0,0,0,0,0,0.0049555147729476,0.0698894252268777,0,-0.014988179395772,0,0,0.0523997519072351,0,0,0,0.0155524862366796,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405420525746039,-0.136961256768407,0,0,0,0
X600036.CH.EQUITY,0,0.300964070030642,0,0,0,0,0,0,0,0,0,0.304249387643738,0,0,0.177467174706116,0,0,0,0,0,0,0.0399056834113895,0,-0.0460612726984322,0,0,0,0,0,0.0347487858999402,0,0,0.0764100670730044,0,0,0,0,0,0,0,0,0,0.270388896293003,0,-0.063458950148238,-0.0426894588193752,0.0777501078551666,0
X1299.HK.EQUITY,0,0.226358777130142,0.0331037140632382,0,0,0,-3.46944695195361e-18,0,0,-0.0480295128080571,0,0,0,-0.212724612894889,0,0.331035076407445,0.309443158609566,0,0.233759202257248,0,0,0,0,0,0,0,0,0,-0.134367567501556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0666479688608132,0,0,0,0,0,0,0,0.12120291343576,0,0,-3.46944695195361e-18,0,0.309412635202264,0,0,0,0.0540532208812909,0,0,0,0,0,0,0,0,0.0544202133669612,0,0.0768540513823761,0,0,0,0,0,0,0,0.0457549805859508,0.127775145551858,0,0,0.0511776622128231,0,-8.67361737988404e-19,-3.46944695195361e-18,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.293226263556103,0.269214055787052,0,0.149925696675266,0,0,0,0,0,0.176746292811456,0,0,0,0,0,0,-0.0323401759474812,0,0.169699926274933,0,0.23855265876735,0,0,0,0,0,0,-0.156074909339043,0,0,0,0,0,0,0,0,0,0,0.00613204191335257,0,0,0.0405785373372845,0.0687162490306831
