,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X601838.CH.EQUITY,X2892.TT.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X600016.CH.EQUITY,0,0,0,0.0365566955373732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937064130547876,0,-0.344084933121171,0,0.713794605426896,0.013192538909617,0,-0.183476872366154,0.043607091525548,0,0,0,-0.233779112210093,-0.251113194896006,0,0,0,-0.740600962741477,0.706614207267022,0.0390084198929608,0,0,0.0512898995766803,0.176532926985397,0,0.213863954000342,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0454335307286759,0,0,0,0,0,0,0.0831404864193904,0,0,0,0,0,0,0,0.0688222907096161,0,0,0.0168243776840347,-0.0731505027240865,0,0.131928017979639,0,0,0.882669370652848,0,0,0.0848868034033737,0,0,0.0246386971784635,0,0,0,0,0,0,-0.104264638000388,0,0.0287520719796368,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.142448461764727,0,0,0,0,0,0,0,0,0.102027730478588,0,0,0,-0.245095941025461,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.665682123611566,0,0,0.199317769029262,0,0,0.0580628778600782,0,0,0,0,0,0,0.00713757125088207,0
X000001.CH.EQUITY,0,0,0,0,0,0.0859572119343437,0,0.115655154538025,0.459417199141381,0,0.000254171152952992,0.0463707434838131,0,0,0,0,0,-1.38777878078145e-17,0,-0.0601541299185541,0,0,0,0.271077560999763,0,0,0,0,0,0.136985485952094,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228339504259158,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0950589756123763,0.0902520766979804,0,0,0,0,0,0,0,0.260669762465884,0,0,0.0274889153994791,0,0,0.0423251135097874,0,0,0,0,0,0.0832723339289344,0,0,0,0.219406751437373,0,0,0,0,0,0.0678020828971292,-0.0786499237843636,0,0,0,0,0,0,0,0,0,0.0285559184185571
X601169.CH.EQUITY,-0.0472608454786762,0,0.150632350164145,0.699048451583055,0,0,0,0,0,0,0,0,-0.0831182105511531,0,0,0,0,0,0,0.0378010246923188,0,0,0,0.035747933999817,0,0,0,0,0,-0.10269238386038,0,0,0,0,0,0,0,0,0.0123169038943502,0,-0.0227620989433043,0,0,-0.0597087021077828,0,0,0,0.208144733630803,0,0
X2388.HK.EQUITY,0,0,0,0,0.305741200788806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411997571489511,0,0,0,0.00724972955417222,0,0,0,0,0,0,0,0,0,0,0,-0.0720672603319656,0.495383839186746,0,-0.0751866323446054,0,-0.033312650623887,0,0,0.0964210360015766,0,0,0,0,0
X600919.CH.EQUITY,0,0.0241398231879392,0,0,0.0841994917911383,0,0,0,0,0,0,0,0,0,0,-0.00539231632313575,0,0,0,0.0150767005493138,0,0,0,0,0,0,-0.0210646167141154,0,0,0,0.235136641285797,0,0,0,0,0,-0.154613503982089,-0.0835552450281802,0.114700823314569,0,0.139634657476734,0,0,0,0,0,0,0,0,0.313536732674067
X601229.CH.EQUITY,-0.00902704942990472,0.983227523779499,0,-0.166890461257656,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147487230628714,0,0,0,0,0,0,0,0.17604571368635,0,0,0,0,0,0,0,0,0.0975983281977178,0,0,0,0,0,0.00234487415574976,0,0,0,0,0,0.00794275535595712,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0459960842556046,0,0,0,0,0,0,0.263323058019263,0,0,-0.12342096499183,0,0,0.0996759676570911,0,0,0.145462148175904,0,0,0,0.229053086369567,0,0,0,-0.0522576904222813,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.133956244832472,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,-0.193421651023694,0.0546611241571278,0,0.0142125466892697,0.0288208516536937,0,0,0,0.059754617152154,0,0,0,0.357707054003682,0.253279370115011,0,0,0,0,0.173840132929581,0,0.185481801484222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776309314521186,0,0,0,0,0.166545784931267,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,0.111185156084998,0,0,0,0.106634203248777,0,0,0,0.0178202046063195,0,0,0,0,0,0.0254380557054206,0.09471981042667,0,0,0,0,0,0,0.101241729748267,0,0,0,0,0.0299629785353889,0,0,0,0,0,0,0,0,0,0,0.153303909642807,0,0,0.41149528926915,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.038917984584074,0,0.205768473978695,0.00374100342332305,0,0.0440179270400957,0,0,0.0489824387682899,0,0,0,0,0,0,0.207256692114642,0,0,0,0,0,0,0,0,0,0,0.335160381839418,0.00345725295612313,0,0,0,-0.112725768879577,0,0,0,0.416264753583449,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0764712934562433,0,-0.0691698181986146,0,0.123421417874198,0,0,0,0,0,0,0.0343020750616331,0.0671846321436778,0,0,0,0,0.0988818058006135,0,0.134174056232079,0,0.248254267595196,0,0,0,0,0,0,-0.347019311131133,0,0,0.0918858468594578,0,0.0691933697216948,0.351088106893811,0,0,0,0,-0.0200605528321585
X601009.CH.EQUITY,0,0,0,0,0.467260813943376,0,0,0,0,0.158202684325141,0,0,0.57692618355324,-0.211515401934392,0,0,0,0,0,-0.67987111408708,0,0,-0.0429806013402858,0,0.775042610206539,0,0.135635082829443,0,0,0.342601152854541,0.0590574543790582,0,0,0,-0.440621256546791,-0.204610252160454,0,0,0,0,0.0582119018354026,0,0,0.0505525284239802,0,0,-0.187282249354918,0,0,0
