,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0.158155467251825,0,0,0,0,0,0,0,0.0778388854960726,0,0,0,0,0,0,0.121352457402469,0,0,0,0.359951726758117,0,0,0,0,-0.0903896459800227,0,0.471546287132371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0938866086800557,0.0617727791615565,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.175991006153679,0,0.12394742169087,0,0,0.107008869935117,0,0,0,0.256345247153352,0.125133154605289,0,0,0,0,0,0,0,0,0.102180071426311,0,0,0.0782635139336939,0.07146254103794,0.0164846482751568,0,0,0,0,0.0867843561391026,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.653828919326734,0,0.0139429129197938,0,0,0,0.402217109521457,0,0,0,8.67361737988404e-19,0,0,0.0419787040528209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748226546735143,0,0,0,0,0.0123256058539485,0,0,0.147609062437975,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.24563878718754,0,0.100924518581552,0,0.894870506260022,0,0,0,0,0,0,-0.270385643906606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239010968369782,-0.0295099434032466,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0795530431064225,0.465758346064977,0,0,0,0,0,0,0,0,0,0.0335510580518963,-0.0850485846157115,0.0943518924583798,0,0,0,0,0,0,0,0,0,0.203373016270939,0,0,0,0,0,-0.0715080323923918,0,0,0,0.243780357180954,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.402546448841694,0,0,0,0.0338370816551743,0,0,0,0,0,0,0,0,-0.208479605091873,0,0,0,0.324904535257218,0,0,0,0,0,0,0,0,0.0851830433603617,0,0,0,0,0,-0.212427924304242,-0.0933714895723123,0,0,0,0,0,0,0,0,0.409419888291481,0
X1299.HK.EQUITY,0,0.00749013985093838,0,0,0.148785646112436,0,0,0,0.0570690610349261,0,0,0,0,0.375017658287935,0.285736398253814,0,0,0,0,0,0,0,0,0,0,0.0307069125292378,-0.0472287284909005,0,0,0,0,0,-0.0543037076533675,0,0,0,-0.044154355038587,0,0,0,0.0361070172631236,0,0,-0.263554102984382,0,-0.0978417019001764,0,0.208174262177337
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.468885812967028,-0.0917124814739609,0,0,0.00118492008180068,0.00543896492712869,0,0,0,0,0,0,0,0.0573368548989011,0,0,0.140266966193018,0,0,0,-0.104284696426958,0.188596142589266,0.289326593043543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.149196056159923,0,0.00509187507285456,-0.102297900033699,0,0,0,0,0,0,0.00869925717581317,0,0,0.0188921813876569,0.127995275776299,0,0,0,0,0,0,0,0,0,0.467479937135036,0,0,0,0.192291451506383,0,0.0892475444243364,0.0700907160490134,0,-0.0240123797988135,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.223918258511088,0,0,0,-0.0871313806535678,0.640002029334941,-0.115122037475719,0,0,0,0.376282801279025,0,0,0,0,0.023676214719193,0.00716137996073058,0,0.0255421683623106,0,0,0,0,0,-0.0326941870523598,0,0,0,0,0,0,0,0,0,0,-0.101377080892975,0,0,0,-0.0804389114576652,0,0,-0.0620445540219525,0,0,0
X601166.CH.EQUITY,0.0325490420211912,0,0.0776816105367615,0.269594858558697,0,0,0,0,0,0.212229901943344,0,0,0.251912789561934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244961716455899,0.129726341355171,0,0,0,0
X601319.CH.EQUITY,0,0.180358367241702,0,0,-0.171712336726565,0,0.00822564486818246,0,0,0,0,0,0,0,0,0,-0.172849234076361,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.102305253659501,0,0,0.124101792802771,0,0,2.77555756156289e-17,3.46944695195361e-18,0,0,0.0273215423304415,0,0,0.668939880270393,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.125057486205214,0.0417039734192836,0,0.261458504191675,0.351279861772936,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048905839226371,0,0,-0.0611209395049352,0.0519021033541233,0,0,0,-0.0134356462973708,0,0,0,0,0.12613153042885,0,0,0,-0.0319294994383988,0.0305789635626975,0,0,0,0.178844578860442,0
