,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X601169.CH.EQUITY,X601788.CH.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0.112514123208628,0,0,0,0,0,0,0,-0.02424414009577,0,0,0,0,0,0,0,0,0,0.461462893349641,0,0,0,-0.151628058796049,0,0.258952868088439,0,-0.199831730691059,0,0,0,0,0,0,0,0,0,0,0.0837448942313364,0,0,-0.153971841208961,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0353604072160332,0.203411317363457,0,0,0,0,0,0,0,0,0,0,0,0,0.356318500576348,0,0,0,0,0.131411865858454,0,0,0,0,0,0,0.167676911685537,0,0,0,0,0,0.0273198548450453,0,0,0,0,0,0,0,0,0.104036838259687,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.706074649878268,8.67361737988404e-19,0.102640167828114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117140013648384,0,0,0.0027549056806921,0,0,0.0468568788518317,0,0,0,0,0,0,0,0,0,0,0,0,0.0437484047779775,0,0,0.00146069775380126,0,0,0,0,0.119407925779173,0,0,0
X601288.CH.EQUITY,0,0,0.874961848274716,0,0,0,-0.049471509201897,0,0,0,0,0,0,0,0,0,0,0.00588216145392609,0,0,0,0,0.0846105279713128,0,0,0.020725129967034,-0.0131509996880572,0,0,0,0,0.0783739094688027,0,0,0,0,0,0,-0.0324762525494979,-0.0330358045309504,0,0,-0.0512293535877482,0,0,-0.057308184294964,0.0975040791591029,0,0,0
X601988.CH.EQUITY,0.0482257874836527,0,0,0,0,0,-0.270176239514675,0,0,0.0182088705282182,0,0,0.816040598636724,0,0,0.130858675208746,0,0,-0.203203627957894,0,0.113657340393724,0,0,-0.0872189432993792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786710878068061,0.164962659121999,0,0,0,0.0242870655869545,0,0.132538364644037,0,0
X600036.CH.EQUITY,0,0.0436586609009132,0.39792616395913,0.0657849035267511,0,0,0.0200123269122188,0.0129085629172051,0.0391722437193549,0,0,0,0,0,0.000700026369736619,0,0,0,0,0,0,0,0.0931443610221093,0,0,0,0.38117538120735,0,0,0,0,0,0,0,-0.0255142140896594,0.0403282056737767,0,0,0,0,0,0,0,0,0,0,-0.0861810523496749,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0112517692561653,0,0.710894583770829,0,0,0,0,0,0,0,0.0440234573639767,0,0,0,0,0,0,0.055065403499189,0,-0.117787486240461,0,0.353449638958085,0,0,0,0.253594471970857,-0.15737523479529,0,0,0.0706298675306141,0,0,0,0,0,0.0658405859719426,0.0183352580204586,0,0,0,-0.0876906449795951
X1299.HK.EQUITY,0,0.33219209452088,0,0,0,0,0.147214279575393,0,0.185783982871336,-0.0487625646412253,0.112881621897202,0,0,0,0,0,0,0,0,0,-0.0949308100173627,0,0.383504182157636,0,0,0,0,0,0,0,0,0,-0.0849362930416052,0,0,-0.0347314109047075,0,0,0.0235852455289527,0.254029630508968,0,-0.04415476647082,0,-0.0547684786350752,0,0.197519034470654,0,-0.0498701790016831,0,0
X5.HK.EQUITY,0,0,0.0235057006714061,0,0,0,-0.052119869268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6436514985442,0.0407709596819402,0.0917206623796632,0,0.178940280805706,0,0,0,0,0,0,0,0,-0.131556653357096,0.0897485582935548,0,0,0,0,0,0,0,0,0.0848024495871813,0,-0.198015350942256,0,0,0
X601658.CH.Equity,0,0,0,0.218452956479032,0,0,0,0,0,0,0,0,0,0,0,0,0.121335181410537,0.0882290809676426,0,0,0,0,0,0,0,0,0,0,0,0,0.221777902692603,0,0,0,0,0,0,0,-0.0144242552286774,0,0,0,0,0,0,0,0,0,0,0
