,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.351029265621533,0,0.252302641097692,0,0,0,0,0.0961669228007919,0,0.103925208622037,0.0201786611350349,0,0,0,0,0.153521776148241,0,0,-0.0302163797665949,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313476483176936,0,0,0
X601939.CH.EQUITY,0.405929117645387,0,0,0.0916038779824658,0,0,-0.131615984522272,0,0,0.0210311764320071,0,0,0.322307562159736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125098359737545,0,0.0457305232138703,0,-0.015781388292844,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250654146050475,0,0,0,8.67361737988404e-19,0.135366414867438,0,0,0,0.212184868888991,0,0,0,0,0.0231679814839185,0.12018553814995,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.464306669977545,0,0,0,0.218628514580272,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.09364979241348,0,0,0.00206027110118306,0,0.0404791017426077,0,0,0,0,0,0,0,0,0,0.115817751371321,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0768242709101509,0,0.099619609566469,0,0,0,0,0,0.247642855487937,0,0,0,0,0.180114680287527,0.0357465861449083,0,0,0,0,0,0,0.200116897870426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109517221798084,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.00311443167381902,0,0,0,0,0.410405213860236,0,0,0,0.0492205264790052,0,0,0,0,0,0.0982965410432398,0,0,0,0,0,0,0,0.0544576946337252,0,0.0696351231070686,0,0,0,0,0,0,0.199533033339391,0,0,0,0,0,0,0.0228341659684964,0,0,0.0523614005768619,0
X1299.HK.EQUITY,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.255601174389754,0,0.183190261999196,0,0,0,0.0416850478867219,0,0,0,0.129635105729293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257361251051103,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.278075868565003,0,0,0,0,0,0,0,0,0,0,0,0.22436060309981,0,0,0,0,0,1.00767416374911,-0.783676883609384,0,0,0.521573922645927,0,0,0,0,0,0,0.293273670731961,0,0,0,0,0,0,0,0.0023463969694259,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154113878638371,0.151870721530639,0,0,0,0,0,0.301739931954829,0,0,0,0,0,0,0,0,0,0.113465844107959,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0514097834067875,0,0,0,0,0.0607149264455726
X601658.CH.Equity,0,0,0,0.170202465413281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356859822612771,0,0.24399540205583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.26434077585621,0,0.257889074590648
