,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.330035159198601,0,0.0856007031170625,0,0,0,0,0.212891233602035,0,0.0160494842388112,0,0,0,0,0.172378502581714,0,0,0.10127593494397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420267404438932,0,0,0,0,0,0.0148570385699274,0
X601939.CH.EQUITY,0.412099479995614,0,0,0.0875677713676966,0,0,-0.130073045320155,0,0,0.0213496066722348,0,0,0.316755306118578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123485389947752,0,0.0428421376420622,0,-0.0147743973196392,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.238769531987684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.109709404059448,0,0,0,0,0,0,0,0,0.0675046375940109,0.26877852735426,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.496162328877077,0,0,0,0.179994013225786,0,0,0,0,0,0,0,0.00122997150568823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450379179283786,0,0,0,0,0.0799360831035324,0,0,0,0,0,0,0,0,0,0.0326842053391449,0,0,0,0,0.122405982367172,0,0
X601988.CH.EQUITY,0,0.219288083223199,0,0.188790008826953,0,0,0,0,0,0.239889432038554,0,0,0,0.190235469731119,0,0.0787962378542791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0165822298256461,0,0.0484176643853184,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.115070015170166,0,0,0,0,0.0871019328538908,0,0,0.00186302067773863,0,0,0,0,0,0.00947055889968434,0,0,0,0,0,0.0303128851793237,0,0,0,0,0.243813717795939,0,0,0,0,0,0,0,0,0,0,0,0,0.165414343573261,0,0,0,0.28123714568193,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257568573692692,0.152751475916489,0,0,0,0,0,0.0135513724971516,0,0.139829236096683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262733332631691,0,0,0,0,0,0,0,0,0.00918558969826994,0,0,0
X5.HK.EQUITY,0,-0.275301284370618,0,0,0,0,0,0,0,0,0,0,0,0,0.450256299990077,0,0,0,0,0.603319757370935,0,-0.874937704871262,0,0.725972398536112,0,0,0,0,0,0,0.250847720681544,0,0,-0.0929897801846873,0,0,0,0,0.133629896602276,0,0,0,0,0,0,0.0340329577772931,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0714294563358967,0,0,0,0.191453232807696,0,0,0,0,0,0,0,0,0,0.0300038619735658,0,0,0,0,0.0437632588849701,0,0.242884342705878,0,0.207773577149294,0,3.46944695195361e-18,0,0,0,0.0501896404682548,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746334243748213,0.269609099109796,0,0,0,0,0,0,0,0,0,0.0221619910235426,0,0,0,0,0,8.67361737988404e-19,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.341722479637008,0,0.230939309829159
